Token,Item Name,Variation Name,Unit and Precision,SKU,Description,Categories,Reporting Category,SEO Title,SEO Description,Permalink,GTIN,Square Online Item Visibility,Item Type,Weight (lb),Social Media Link Title,Social Media Link Description,Shipping Enabled,Self-serve Ordering Enabled,Delivery Enabled,Pickup Enabled,Price,Online Sale Price,Archived,Sellable,Contains Alcohol,Stockable,Skip Detail Screen in POS,Option Name 1,Option Value 1,Enabled Cerritos,Current Quantity Cerritos,New Quantity Cerritos,Stock Alert Enabled Cerritos,Stock Alert Count Cerritos,Price Cerritos,Enabled Mission Viejo,Current Quantity Mission Viejo,New Quantity Mission Viejo,Stock Alert Enabled Mission Viejo,Stock Alert Count Mission Viejo,Price Mission Viejo,Enabled Storage,Current Quantity Storage,New Quantity Storage,Stock Alert Enabled Storage,Stock Alert Count Storage,Price Storage,Enabled Westminster,Current Quantity Westminster,New Quantity Westminster,Stock Alert Enabled Westminster,Stock Alert Count Westminster,Price Westminster,Modifier Set - Additional Personalization (If Above Limited),Modifier Set - Personalization,Tax - Sales Tax (7.75%)
DQT3IRYTPFSO3VBZMMSND67P,1st Day of school GIRL,Regular,,845583061365,,,,,,,,,Physical good,,,,Y,,Y,Y,18.99,,N,,,,N,,,N,0,,,,,Y,5,,,,,N,0,,,,,N,0,,,,,N,N,Y
XVDLI7SNJRNPBLJO2PU4NUOT,3 PC SET - MLB - CLEVELAND INDIANS,Regular,,817285020513,"The oversized Sportula spatula is made from stainless steel and hard maple wood with a built-in bottle opener to boot. It can flip burgers and steaks, then crack open a cold drink. To grab hot dogs and more, opt for the three-piece set. It’s built just as beautifully and includes tongs and a grill fork (which also has an integrated bottle opener). Choose any NHL, NBA, MLB, and NFL team—and from over 140 college teams. If your loyalty is to the military, every branch of the service is represented, too. All of the logos are laser-etched for a bold look.","Sportula Set (UCQ2RNIGC2AX6DSFM4FWZSA4), Sportula Set (WKLOBHEKXKIVQWYU3UWLBBKL)",Sportula Set (UCQ2RNIGC2AX6DSFM4FWZSA4),,,,,unavailable,Physical good,,,,Y,,Y,Y,59.99,,Y,,N,,N,,,Y,0,,,,,Y,0,,,,,Y,,,,,,Y,0,,,,,N,N,Y
EYCZEDY4UBBDPQ4PQ5RESPS3,3 PC SET - MLB - HOUSTON ASTROS,Regular,,814357011783,"The oversized Sportula spatula is made from stainless steel and hard maple wood with a built-in bottle opener to boot. It can flip burgers and steaks, then crack open a cold drink. To grab hot dogs and more, opt for the three-piece set. It’s built just as beautifully and includes tongs and a grill fork (which also has an integrated bottle opener). Choose any NHL, NBA, MLB, and NFL team—and from over 140 college teams. If your loyalty is to the military, every branch of the service is represented, too. All of the logos are laser-etched for a bold look.","Sportula Set (UCQ2RNIGC2AX6DSFM4FWZSA4), Sportula Set (WKLOBHEKXKIVQWYU3UWLBBKL)",Sportula Set (UCQ2RNIGC2AX6DSFM4FWZSA4),,,,,unavailable,Physical good,,,,Y,,Y,Y,59.99,,Y,,N,,N,,,Y,0,,,,,Y,0,,,,,Y,,,,,,Y,0,,,,,N,N,Y
OWETZRQMHVTPKJ3QXOBTSSKG,3 PC SET - MLB - SAN FRANCISCO GIANTS,Regular,,D271837,"The oversized Sportula spatula is made from stainless steel and hard maple wood with a built-in bottle opener to boot. It can flip burgers and steaks, then crack open a cold drink. To grab hot dogs and more, opt for the three-piece set. It’s built just as beautifully and includes tongs and a grill fork (which also has an integrated bottle opener). Choose any NHL, NBA, MLB, and NFL team—and from over 140 college teams. If your loyalty is to the military, every branch of the service is represented, too. All of the logos are laser-etched for a bold look.","Sportula Set (UCQ2RNIGC2AX6DSFM4FWZSA4), Sportula Set (WKLOBHEKXKIVQWYU3UWLBBKL)",Sportula Set (UCQ2RNIGC2AX6DSFM4FWZSA4),,,,,unavailable,Physical good,,,,Y,,Y,Y,59.99,,Y,,N,,N,,,Y,0,,,,,Y,0,,,,,Y,,,,,,Y,0,,,,,N,N,Y
QI5GFNKWYEWCC5BW6BN63FFF,3 PC SET - NBA - LA CLIPPERS,Regular,,810689021377,"The oversized Sportula spatula is made from stainless steel and hard maple wood with a built-in bottle opener to boot. It can flip burgers and steaks, then crack open a cold drink. To grab hot dogs and more, opt for the three-piece set. It’s built just as beautifully and includes tongs and a grill fork (which also has an integrated bottle opener). Choose any NHL, NBA, MLB, and NFL team—and from over 140 college teams. If your loyalty is to the military, every branch of the service is represented, too. All of the logos are laser-etched for a bold look.","Sportula Set (UCQ2RNIGC2AX6DSFM4FWZSA4), Sportula Set (WKLOBHEKXKIVQWYU3UWLBBKL)",Sportula Set (UCQ2RNIGC2AX6DSFM4FWZSA4),,,,,unavailable,Physical good,,,,Y,,Y,Y,59.99,,Y,,N,,N,,,Y,0,,,,,Y,0,,,,,Y,,,,,,Y,0,,,,,N,N,Y
2MWDPUYFBCG5XYKKITLOZ5CZ,3 PC SET - NFL - BALTIMORE RAVENS,Regular,,814357012117,"The oversized Sportula spatula is made from stainless steel and hard maple wood with a built-in bottle opener to boot. It can flip burgers and steaks, then crack open a cold drink. To grab hot dogs and more, opt for the three-piece set. It’s built just as beautifully and includes tongs and a grill fork (which also has an integrated bottle opener). Choose any NHL, NBA, MLB, and NFL team—and from over 140 college teams. If your loyalty is to the military, every branch of the service is represented, too. All of the logos are laser-etched for a bold look.","Sportula Set (UCQ2RNIGC2AX6DSFM4FWZSA4), Sportula Set (WKLOBHEKXKIVQWYU3UWLBBKL)",Sportula Set (UCQ2RNIGC2AX6DSFM4FWZSA4),,,,,unavailable,Physical good,,,,Y,,Y,Y,59.99,,Y,,N,,N,,,Y,0,,,,,Y,0,,,,,Y,,,,,,Y,0,,,,,N,N,Y
G37N7FO62K3EZPYYW2KHMDCS,3 PC SET - NFL - HOUSTON TEXANS,Regular,,814357012353,"The oversized Sportula spatula is made from stainless steel and hard maple wood with a built-in bottle opener to boot. It can flip burgers and steaks, then crack open a cold drink. To grab hot dogs and more, opt for the three-piece set. It’s built just as beautifully and includes tongs and a grill fork (which also has an integrated bottle opener). Choose any NHL, NBA, MLB, and NFL team—and from over 140 college teams. If your loyalty is to the military, every branch of the service is represented, too. All of the logos are laser-etched for a bold look.","Sportula Set (UCQ2RNIGC2AX6DSFM4FWZSA4), Sportula Set (WKLOBHEKXKIVQWYU3UWLBBKL)",Sportula Set (UCQ2RNIGC2AX6DSFM4FWZSA4),,,,,unavailable,Physical good,,,,Y,,Y,Y,59.99,,Y,,N,,N,,,Y,0,,,,,Y,0,,,,,Y,,,,,,Y,0,,,,,N,N,Y
46Z7DDIRVISONZUHI222LQFP,3 PC SET - NFL - NEW ORLEANS SAINTS,Regular,,814357012537,"The oversized Sportula spatula is made from stainless steel and hard maple wood with a built-in bottle opener to boot. It can flip burgers and steaks, then crack open a cold drink. To grab hot dogs and more, opt for the three-piece set. It’s built just as beautifully and includes tongs and a grill fork (which also has an integrated bottle opener). Choose any NHL, NBA, MLB, and NFL team—and from over 140 college teams. If your loyalty is to the military, every branch of the service is represented, too. All of the logos are laser-etched for a bold look.","Sportula Set (UCQ2RNIGC2AX6DSFM4FWZSA4), Sportula Set (WKLOBHEKXKIVQWYU3UWLBBKL)",Sportula Set (UCQ2RNIGC2AX6DSFM4FWZSA4),,,,,unavailable,Physical good,,,,Y,,Y,Y,59.99,,Y,,N,,N,,,Y,0,,,,,Y,0,,,,,Y,,,,,,Y,0,,,,,N,N,Y
BGSSENHOQ7WMODNTFB34PJOR,3 PC SET - US - AIR FORCE,Regular,,814357017624,"The oversized Sportula spatula is made from stainless steel and hard maple wood with a built-in bottle opener to boot. It can flip burgers and steaks, then crack open a cold drink. To grab hot dogs and more, opt for the three-piece set. It’s built just as beautifully and includes tongs and a grill fork (which also has an integrated bottle opener). Choose any NHL, NBA, MLB, and NFL team—and from over 140 college teams. If your loyalty is to the military, every branch of the service is represented, too. All of the logos are laser-etched for a bold look.","Sportula Set (UCQ2RNIGC2AX6DSFM4FWZSA4), Sportula Set (WKLOBHEKXKIVQWYU3UWLBBKL)",Sportula Set (UCQ2RNIGC2AX6DSFM4FWZSA4),,,,,unavailable,Physical good,,,,Y,,Y,Y,59.99,,Y,,N,,N,,,Y,0,,,,,Y,0,,,,,Y,,,,,,Y,0,,,,,N,N,Y
C2CM42EZA56IPEOFM7QBVN7Y,3 PC SET - US - ARMY,Regular,,814357017600,"The oversized Sportula spatula is made from stainless steel and hard maple wood with a built-in bottle opener to boot. It can flip burgers and steaks, then crack open a cold drink. To grab hot dogs and more, opt for the three-piece set. It’s built just as beautifully and includes tongs and a grill fork (which also has an integrated bottle opener). Choose any NHL, NBA, MLB, and NFL team—and from over 140 college teams. If your loyalty is to the military, every branch of the service is represented, too. All of the logos are laser-etched for a bold look.","Sportula Set (UCQ2RNIGC2AX6DSFM4FWZSA4), Sportula Set (WKLOBHEKXKIVQWYU3UWLBBKL)",Sportula Set (UCQ2RNIGC2AX6DSFM4FWZSA4),,,,,unavailable,Physical good,,,,Y,,Y,Y,59.99,,Y,,N,,N,,,Y,0,,,,,Y,0,,,,,Y,,,,,,Y,0,,,,,N,N,Y
STEIXUNWAYL32RYHAHDWAYDQ,3 PC SET - US - COAST GUARD,Regular,,814357017761,"The oversized Sportula spatula is made from stainless steel and hard maple wood with a built-in bottle opener to boot. It can flip burgers and steaks, then crack open a cold drink. To grab hot dogs and more, opt for the three-piece set. It’s built just as beautifully and includes tongs and a grill fork (which also has an integrated bottle opener). Choose any NHL, NBA, MLB, and NFL team—and from over 140 college teams. If your loyalty is to the military, every branch of the service is represented, too. All of the logos are laser-etched for a bold look.","Sportula Set (UCQ2RNIGC2AX6DSFM4FWZSA4), Sportula Set (WKLOBHEKXKIVQWYU3UWLBBKL)",Sportula Set (UCQ2RNIGC2AX6DSFM4FWZSA4),,,,,unavailable,Physical good,,,,Y,,Y,Y,59.99,,Y,,N,,N,,,Y,0,,,,,Y,0,,,,,Y,,,,,,Y,0,,,,,N,N,Y
