STYLE,DESCRIPTION,UPC,QTY,AMOUNT,already_exists,quantity received,Total Received
PBS133 DP,STOCKING-DOGGIE PAWS,659839764579,6,$6.38,TRUE,6,TRUE
PBS113 SA,STOCKING - SANTA,659839751333,6,$6.38,TRUE,6,TRUE
PBS105 RG,STOCKING - RED AND GREEN,659839746704,6,$6.38,TRUE,6,TRUE
PBS149 SF,STOCKING- NEW SNOWFLAKE,659839774219,6,$6.38,FALSE,6,TRUE
PBS150 BR,STOCKING- BABY'S 1ST(RED),659839779061,6,$6.38,TRUE,6,TRUE
OR1575-B,BABY'S FIRST- Teddy Bear - Blue,659839703127,1,$12.00,TRUE,1,TRUE
OR1595,OCCUPATION- ARMED SERVICE UNIFORM- DARK GREEN,659839703349,1,$12.00,TRUE,1,TRUE
OR1041,CHILD-BACK HOE,659839765644,1,$36.75,TRUE,1,TRUE
OR1229,CHILD-DUMPTRUCK,659839775865,1,$38.25,TRUE,1,TRUE
OR1346,CHILD- GARBAGE TRUCK,659839779313,1,$40.50,TRUE,1,TRUE
OR1652,CHILD- BABY UNICORN-,659839707552,1,$40.50,TRUE,1,TRUE
OR1661,CHILD- PINK TUTU,659839707682,1,$38.25,TRUE,1,TRUE
OR1907,CHILD- GREEN DINOSAUR,659839714161,2,$40.50,TRUE,2,TRUE
OR2246,CHILD- NEW MONSTER TRUCK,659839726355,2,$41.25,TRUE,2,TRUE
OR2356,CHILD- EXCAVATOR,659839727550,1,$39.75,TRUE,1,TRUE
OR2820-G,CHILD- Green Backpack,659839741495,1,$38.25,TRUE,1,TRUE
OR2818,CHILD - Rainbow Castle,659839741488,1,$42.00,FALSE,1,TRUE
OR2940-P,Child- First Bike- Pink,659839742638,1,$40.50,FALSE,1,TRUE
OR2940-B,Child- First Bike- Blue,659839742621,1,$40.50,FALSE,1,TRUE
OR2936,Child- School Bus,659839742584,1,$40.50,FALSE,1,TRUE
OR813,CHILD-UNICORN,659839763046,1,$36.75,TRUE,1,TRUE
OR641-RED,CHILD- RED MONSTER TRUCK,659839702441,1,$36.75,TRUE,1,TRUE
OR906,CHILD-FAIRY,659839769536,1,$40.50,TRUE,1,TRUE
OR816-RED,CHILD- RED T-REX DINOSAUR,659839706920,1,$36.75,TRUE,1,TRUE
OR1330-RG,BABY'S FIRST- BABY IN PRESENT- RED + GREEN,659839706937,1,$38.25,TRUE,1,TRUE
OR1331-B,BABY'S FIRST-BABY BOY IN MITTEN,659839778170,1,$40.50,TRUE,1,TRUE
OR1643-P,BABY'S FIRST- NEW BABY CARRIAGE- GIRL,659839707378,1,$38.25,TRUE,1,TRUE
OR1738-RG,BABY'S FIRST- BABY SNOWMAN IN STOCKING-RED&GREEN,659839708825,1,$38.25,TRUE,1,TRUE
OR1742-P,BABY'S FIRST- SNOWBABY ON SLED- PINK,659839709181,1,$40.50,TRUE,1,TRUE
OR1742-B,BABY'S FIRST- SNOWBABY ON SLED- BLUE,659839709174,1,$40.50,TRUE,1,TRUE
OR2182,WE'RE EXPECTING- AVOCADO FAMILY EXPECTING,659839722333,1,$40.50,TRUE,1,TRUE
OR2182-1,WE'RE EXPECTING- AVOCADO FAMILY EXPECTING W/1 CHILD,659839722340,1,$40.50,TRUE,1,TRUE
OR2487-P,BABY'S FIRST- BABY IN BASKET-PINK,659839729950,1,$42.00,TRUE,1,TRUE
OR2920-RG,Baby's First- Baby Snowman- Red & Green,659839742379,1,$39.75,FALSE,1,TRUE
OR2922-B,Child- Note to Santa Wishing For Big Brother,659839742393,1,$40.50,FALSE,1,TRUE
OR2922-G,Child- Note to Santa Wishing For Big Sister,659839742409,1,$40.50,FALSE,1,TRUE
OR2924,We're Expecting- We're Expecting Peanut Couple,659839742430,2,$40.50,FALSE,2,TRUE
OR2931,We're Expecting- New Snowman Couple w/Heart Expecting,659839742522,3,$42.00,FALSE,3,TRUE
OR807,We're Expecting- We're Expecting Snowman Couple,659839762988,1,$40.50,TRUE,1,TRUE
OR807-1,We're Expecting- We're Expecting Snowman Couple w/Child,659839772079,3,$40.50,TRUE,3,TRUE
OR807-3,We're Expecting- We're Expecting Snowman Couple w/ 3 Children,659839772093,1,$42.00,TRUE,1,TRUE
PF600-B,PICTURE FRAME- BABY'S FIRST PICTURE FRAME- BLUE,659839787950,2,$40.50,TRUE,2,TRUE
PF600-P,PICTURE FRAME- BABY'S FIRST PICTURE FRAME- PINK,659839787967,2,$40.50,TRUE,2,TRUE
PF600-RG,PICTURE FRAME- CHRISTMAS BABY FRAME- RED & GREEN,659839706326,2,$38.25,TRUE,2,TRUE
OR1447,COUPLES- TUXEDO AND DRESS..,659839784768,2,$40.50,TRUE,2,TRUE
OR2345,COUPLES- MR MRS HOT COCOA,659839727420,3,$39.75,TRUE,3,TRUE
OR2348,COUPLES- BETTER TOGETHER MILK COOKIES,659839727451,1,$39.75,TRUE,1,TRUE
OR2432,Couples - Engagement Ring,659839729332,1,$42.00,TRUE,1,TRUE
OR2512,COUPLES- Snowman Engagement,659839730147,2,$42.00,TRUE,2,TRUE
OR2709,HOLIDAY THEMED- Candy Cane Heart,659839741525,1,$36.75,TRUE,1,TRUE
OR2950,"Couples- ""Olive"" You",659839742744,1,$40.50,FALSE,1,TRUE
OR2959,Couples- Gold Engagment Ring w/She said Yes Sentiment,659839742829,1,$40.50,FALSE,1,TRUE
OR361,COUPLES-REINDEER LOVE,659839748708,2,$40.50,TRUE,2,TRUE
