Order Channel,ID,Fulfillment Type,Restaurant,Type,Description,Date,Time,Subtotal,Delivery Fee,Service Fee,Service Fee Exemption,(flexible fees),Tax Fee,Tax Fee Exemption,Tip,Restaurant Total,Commission,GH+ Commission,Delivery Commission,Processing Fee,Withheld Tax,Withheld Tax Exemption,Targeted Promotion,Rewards
MARKETPLACE,W-363532581150064,Self Delivery,Ameci Pizza & Pasta - Trabuco Rd,Prepaid Order,,02/13/26,"7:39 PM PST, UTC-08:00",53.36,4.99,0,0,n/a,4.53,0,5,67.88,0,n/a,0,-2.37,0,0,0,n/a
MARKETPLACE,O-833032196252282,Grubhub Delivery,Ameci Pizza & Pasta - Trabuco Rd,Prepaid Order,,01/05/26,"5:50 PM PST, UTC-08:00",63.92,0,0,0,n/a,4.95,0,0,68.87,-7.99,n/a,0,-2.4,0,0,0,n/a
MARKETPLACE,O-645432247353749,Pick-Up,Ameci Pizza & Pasta - Trabuco Rd,Prepaid Order,,01/10/26,"5:27 PM PST, UTC-08:00",17.24,0,0,0,n/a,1.34,0,0,18.58,-2.16,n/a,0,-0.87,0,0,0,n/a
MARKETPLACE,O-780832522856167,Self Delivery,Ameci Pizza & Pasta - Trabuco Rd,Prepaid Order,,02/08/26,"3:12 PM PST, UTC-08:00",27.68,2.99,0,0,n/a,2.38,0,9,42.05,-3.83,n/a,0,-1.58,0,0,0,n/a
MARKETPLACE,O-292332233214173,Pick-Up,Ameci Pizza & Pasta - Trabuco Rd,Prepaid Order,,01/09/26,"5:58 PM PST, UTC-08:00",37.67,0,0,0,n/a,2.92,0,0,40.59,-4.71,n/a,0,-1.54,0,0,0,n/a
MARKETPLACE,O-821332578805852,Grubhub Delivery,Ameci Pizza & Pasta - Trabuco Rd,Prepaid Order,,02/12/26,"8:03 PM PST, UTC-08:00",29.98,0,0,0,n/a,2.32,0,0,32.3,-3.75,n/a,0,-1.29,0,0,0,n/a
MARKETPLACE,O-378932420501960,Grubhub Delivery,Ameci Pizza & Pasta - Trabuco Rd,Prepaid Order,,01/28/26,"7:25 PM PST, UTC-08:00",35.47,0,0,0,n/a,2.75,0,0,38.22,-4.43,n/a,0,-1.47,0,0,0,n/a
MARKETPLACE,O-074332308112409,Grubhub Delivery,Ameci Pizza & Pasta - Trabuco Rd,Prepaid Order,,01/16/26,"5:41 PM PST, UTC-08:00",54.94,0,0,0,n/a,4.26,0,0,59.2,-6.87,n/a,0,-2.11,0,0,0,n/a
MARKETPLACE,O-550432524490980,Self Delivery,Ameci Pizza & Pasta - Trabuco Rd,Prepaid Order,,02/07/26,"7:06 PM PST, UTC-08:00",34.33,2.99,0,0,n/a,2.89,0,5.83,46.04,-4.67,n/a,0,-1.7,0,0,0,n/a
MARKETPLACE,O-862532208104978,Self Delivery,Ameci Pizza & Pasta - Trabuco Rd,Cancelation of O-862532208104978,,01/06/26,"10:06 PM PST, UTC-08:00",-44.17,-2.99,0,0,n/a,-3.65,0,0,-50.81,5.9,n/a,0,1.85,0,0,0,n/a
