Order Channel,ID,Fulfillment Type,Restaurant,Type,Description,Date,Time,Subtotal,Delivery Fee,Service Fee,Service Fee Exemption,(flexible fees),Tax Fee,Tax Fee Exemption,Tip,Restaurant Total,Commission,GH+ Commission,Delivery Commission,Processing Fee,Withheld Tax,Withheld Tax Exemption,Targeted Promotion,Rewards
MARKETPLACE,W-720017986252947,Grubhub Delivery,Ameci Pizza & Pasta - Trabuco Rd,Prepaid Order,,02/15/22,"4:19 PM PST, UTC-08:00",33.72,0,0,0,n/a,2.61,0,0,36.33,0,n/a,0,-1.41,0,0,0,n/a
MARKETPLACE,O-520317819975088,Pick-Up,Ameci Pizza & Pasta - Trabuco Rd,Prepaid Order,,01/28/22,"5:03 PM PST, UTC-08:00",35.77,0,0,0,n/a,2.77,0,0,38.54,-4.47,n/a,0,-1.48,0,0,0,n/a
MARKETPLACE,O-803718968614760,Pick-Up,Ameci Pizza & Pasta - Trabuco Rd,Prepaid Order,,05/23/22,"7:44 PM PDT, UTC-07:00",37.65,0,0,0,n/a,2.92,0,0,40.57,-4.71,n/a,0,-1.54,0,0,0,n/a
MARKETPLACE,W-117017739799247,Grubhub Delivery,Ameci Pizza & Pasta - Trabuco Rd,Prepaid Order,,01/20/22,"6:44 PM PST, UTC-08:00",18.99,0,0,0,n/a,1.47,0,0,20.46,0,n/a,0,-0.92,0,0,0,n/a
MARKETPLACE,O-419717575518859,Self Delivery,Ameci Pizza & Pasta - Trabuco Rd,Prepaid Order,,01/05/22,"12:31 PM PST, UTC-08:00",36.04,2.99,0,0,n/a,3.02,0,0,42.05,-4.88,n/a,0,-1.58,0,0,0,n/a
MARKETPLACE,O-495019319331495,Grubhub Delivery,Ameci Pizza & Pasta - Trabuco Rd,Prepaid Order,,06/28/22,"4:57 PM PDT, UTC-07:00",20.33,0,0,0,n/a,1.58,0,0,21.91,-2.54,n/a,0,-0.97,0,0,0,n/a
MARKETPLACE,O-734518250933562,Self Delivery,Ameci Pizza & Pasta - Trabuco Rd,Prepaid Order,,03/13/22,"7:32 PM PDT, UTC-07:00",26.51,4.99,0,0,n/a,2.44,0,2.86,36.8,-3.94,n/a,0,-1.42,0,0,0,n/a
MARKETPLACE,O-955817657683215,Grubhub Delivery,Ameci Pizza & Pasta - Trabuco Rd,Prepaid Order,,01/12/22,"8:27 PM PST, UTC-08:00",29.97,0,0,0,n/a,2.32,0,0,32.29,-3.75,n/a,0,-1.28,0,0,0,n/a
MARKETPLACE,O-657318166567658,Self Delivery,Ameci Pizza & Pasta - Trabuco Rd,Prepaid Order,,03/04/22,"6:53 PM PST, UTC-08:00",51.96,2.99,0,0,n/a,4.26,0,5.92,65.13,-6.87,n/a,0,-2.29,0,0,0,n/a
MARKETPLACE,O-491918761309726,Pick-Up,Ameci Pizza & Pasta - Trabuco Rd,Prepaid Order,,05/03/22,"7:01 PM PDT, UTC-07:00",34.26,0,0,0,n/a,2.66,0,0,36.92,-4.28,n/a,0,-1.43,0,0,0,n/a
MARKETPLACE,O-902618097529335,Grubhub Delivery,Ameci Pizza & Pasta - Trabuco Rd,Prepaid Order,,02/26/22,"12:31 PM PST, UTC-08:00",87.72,0,0,0,n/a,6.8,0,0,94.52,-10.97,n/a,0,-3.18,0,0,0,n/a
MARKETPLACE,O-685618043323462,Grubhub Delivery,Ameci Pizza & Pasta - Trabuco Rd,Prepaid Order,,02/20/22,"7:58 PM PST, UTC-08:00",21.98,0,0,0,n/a,1.7,0,0,23.68,-2.75,n/a,0,-1.02,0,0,0,n/a
MARKETPLACE,O-024418203856349,Self Delivery,Ameci Pizza & Pasta - Trabuco Rd,Prepaid Order,,03/08/22,"7:04 PM PST, UTC-08:00",31.95,2.99,0,0,n/a,2.71,0,5.64,43.29,-4.37,n/a,0,-1.62,0,0,0,n/a
MARKETPLACE,W-230218238213408,Self Delivery,Ameci Pizza & Pasta - Trabuco Rd,Prepaid Order,,03/11/22,"7:12 PM PST, UTC-08:00",48.44,2.99,0,0,n/a,3.98,0,5,60.41,0,n/a,0,-2.14,0,0,0,n/a
MARKETPLACE,O-497818939311171,Self Delivery,Ameci Pizza & Pasta - Trabuco Rd,Prepaid Order,,05/21/22,"4:42 PM PDT, UTC-07:00",40.83,2.99,0,0,n/a,3.39,0,4.4,51.61,-5.48,n/a,0,-1.87,0,0,0,n/a
MARKETPLACE,W-840818240654767,Self Delivery,Ameci Pizza & Pasta - Trabuco Rd,Prepaid Order,,03/13/22,"4:41 PM PDT, UTC-07:00",175.46,2.99,0,0,n/a,13.83,0,15,207.28,0,n/a,0,-6.62,0,0,0,n/a
MARKETPLACE,O-643418426700989,Self Delivery,Ameci Pizza & Pasta - Trabuco Rd,Prepaid Order,,03/30/22,"7:38 PM PDT, UTC-07:00",15.98,2.99,0,0,n/a,1.47,0,3.06,23.5,-2.37,n/a,0,-1.02,0,0,0,n/a
MARKETPLACE,O-732418656333760,Pick-Up,Ameci Pizza & Pasta - Trabuco Rd,Prepaid Order,,04/22/22,"5:57 PM PDT, UTC-07:00",40.97,0,0,0,n/a,3.18,0,0,44.15,-5.12,n/a,0,-1.65,0,0,0,n/a
MARKETPLACE,O-353517668978368,Self Delivery,Ameci Pizza & Pasta - Trabuco Rd,Prepaid Order,,01/13/22,"7:27 PM PST, UTC-08:00",35.26,2.99,0,0,n/a,2.96,0,4.12,45.33,-4.78,n/a,0,-1.68,0,0,0,n/a
MARKETPLACE,O-671819000639705,Self Delivery,Ameci Pizza & Pasta - Trabuco Rd,Prepaid Order,,05/27/22,"6:11 PM PDT, UTC-07:00",32.97,4.99,0,0,n/a,2.95,0,8.18,49.09,-4.75,n/a,0,-1.8,0,0,0,n/a
MARKETPLACE,O-882118317494467,Self Delivery,Ameci Pizza & Pasta - Trabuco Rd,Prepaid Order,,03/19/22,"9:13 PM PDT, UTC-07:00",63.35,2.99,0,0,n/a,5.14,0,5,76.48,-8.29,n/a,0,-2.63,0,0,0,n/a
MARKETPLACE,O-269518619382034,Grubhub Delivery,Ameci Pizza & Pasta - Trabuco Rd,Prepaid Order,,04/19/22,"5:45 PM PDT, UTC-07:00",57.21,0,0,0,n/a,4.43,0,0,61.64,-7.15,n/a,0,-2.18,0,0,0,n/a
MARKETPLACE,O-949417859898738,Self Delivery,Ameci Pizza & Pasta - Trabuco Rd,Prepaid Order,,02/01/22,"5:48 PM PST, UTC-08:00",26.47,2.99,0,0,n/a,2.28,0,4.76,36.5,-3.68,n/a,0,-1.41,0,0,0,n/a
MARKETPLACE,O-801718517954288,Self Delivery,Ameci Pizza & Pasta - Trabuco Rd,Prepaid Order,,04/08/22,"9:18 PM PDT, UTC-07:00",15.98,2.99,0,0,n/a,1.47,0,3.06,23.5,-2.37,n/a,0,-1.02,0,0,0,n/a
MARKETPLACE,O-265218795349228,Self Delivery,Ameci Pizza & Pasta - Trabuco Rd,Prepaid Order,,05/06/22,"7:34 PM PDT, UTC-07:00",34.17,2.99,0,0,n/a,2.88,0,8.01,48.05,-4.65,n/a,0,-1.77,0,0,0,n/a
