Order Channel,ID,Fulfillment Type,Restaurant,Type,Description,Date,Time,Subtotal,Delivery Fee,Service Fee,Service Fee Exemption,(flexible fees),Tax Fee,Tax Fee Exemption,Tip,Restaurant Total,Commission,GH+ Commission,Delivery Commission,Processing Fee,Withheld Tax,Withheld Tax Exemption,Targeted Promotion,Rewards
MARKETPLACE,O-981129837465171,Self Delivery,Ameci Pizza & Pasta - Trabuco Rd,Prepaid Order,,05/14/25,"7:42 PM PDT, UTC-07:00",16.99,2.99,0,0,n/a,1.55,0,3.24,24.77,-2.5,n/a,0,-1.06,0,0,0,n/a
MARKETPLACE,O-776629622104358,Pick-Up,Ameci Pizza & Pasta - Trabuco Rd,Prepaid Order,,04/23/25,"7:11 PM PDT, UTC-07:00",27.99,0,0,0,n/a,2.17,0,0,30.16,-3.5,n/a,0,-1.22,0,0,0,n/a
MARKETPLACE,O-596829085493764,Grubhub Delivery,Ameci Pizza & Pasta - Trabuco Rd,Prepaid Order,,02/28/25,"7:17 PM PST, UTC-08:00",55.96,0,0,0,n/a,4.34,0,0,60.3,-7,n/a,0,-2.14,0,0,0,n/a
MARKETPLACE,W-753528609844627,Pick-Up,Ameci Pizza & Pasta - Trabuco Rd,Prepaid Order,,01/11/25,"5:41 PM PST, UTC-08:00",38.81,0,0,0,n/a,3.01,0,10.46,52.28,0,n/a,0,-1.89,0,0,0,n/a
MARKETPLACE,O-295729501858646,Grubhub Delivery,Ameci Pizza & Pasta - Trabuco Rd,Prepaid Order,,04/12/25,"5:10 PM PDT, UTC-07:00",54.34,0,0,0,n/a,4.21,0,0,58.55,-6.79,n/a,0,-2.09,0,0,0,n/a
MARKETPLACE,O-722129229697435,Self Delivery,Ameci Pizza & Pasta - Trabuco Rd,Prepaid Order,,03/15/25,"4:46 PM PDT, UTC-07:00",31.98,2.99,0,0,n/a,2.71,0,5.43,43.11,-4.37,n/a,0,-1.61,0,0,0,n/a
MARKETPLACE,O-816129329632647,Self Delivery,Ameci Pizza & Pasta - Trabuco Rd,Prepaid Order,,03/25/25,"12:54 PM PDT, UTC-07:00",25.98,2.99,0,0,n/a,2.24,0,5.1,36.31,-3.62,n/a,0,-1.41,0,0,0,n/a
MARKETPLACE,O-832630011901695,Self Delivery,Ameci Pizza & Pasta - Trabuco Rd,Prepaid Order,,06/01/25,"9:21 PM PDT, UTC-07:00",37.35,4.99,0,0,n/a,3.28,0,7.45,53.07,-5.29,n/a,0,-1.92,0,0,0,n/a
MARKETPLACE,O-008829939308242,Self Delivery,Ameci Pizza & Pasta - Trabuco Rd,Prepaid Order,,05/25/25,"12:00 PM PDT, UTC-07:00",63.69,2.99,0,0,n/a,5.17,0,7.21,79.06,-8.34,n/a,0,-2.71,0,0,0,n/a
MARKETPLACE,W-879529736939479,Pick-Up,Ameci Pizza & Pasta - Trabuco Rd,Prepaid Order,,05/05/25,"4:00 PM PDT, UTC-07:00",72.74,0,0,0,n/a,5.64,0,0,78.38,0,n/a,0,-2.69,0,0,0,n/a
MARKETPLACE,O-827329368628076,Self Delivery,Ameci Pizza & Pasta - Trabuco Rd,Prepaid Order,,03/29/25,"4:52 PM PDT, UTC-07:00",30.98,2.99,0,0,n/a,2.63,0,5.26,41.86,-4.25,n/a,0,-1.58,0,0,0,n/a
MARKETPLACE,O-078828819796232,Self Delivery,Ameci Pizza & Pasta - Trabuco Rd,Prepaid Order,,02/01/25,"6:45 PM PST, UTC-08:00",25.98,2.99,0,0,n/a,2.24,0,0,31.21,-3.62,n/a,0,-1.25,0,0,0,n/a
MARKETPLACE,O-307728879378268,Grubhub Delivery,Ameci Pizza & Pasta - Trabuco Rd,Prepaid Order,,02/07/25,"7:19 PM PST, UTC-08:00",33.98,0,0,0,n/a,2.63,0,0,36.61,-4.25,n/a,0,-1.42,0,0,0,n/a
