Order Channel,ID,Fulfillment Type,Restaurant,Type,Description,Date,Time,Subtotal,Delivery Fee,Service Fee,Service Fee Exemption,(flexible fees),Tax Fee,Tax Fee Exemption,Tip,Restaurant Total,Commission,GH+ Commission,Delivery Commission,Processing Fee,Withheld Tax,Withheld Tax Exemption,Targeted Promotion,Rewards
MARKETPLACE,O-727413883560560,Self Delivery,Ameci Pizza & Pasta - Trabuco Rd,Prepaid Order,,12/31/20,"6:15 PM PST, UTC-08:00",43.83,2.99,0,0,n/a,3.63,0,7.57,58.02,-5.85,n/a,0,-2.07,0,0,0,n/a
MARKETPLACE,O-506613492136401,Self Delivery,Ameci Pizza & Pasta - Trabuco Rd,Prepaid Order,,11/22/20,"7:42 PM PST, UTC-08:00",16.22,2.99,0,0,n/a,1.49,0,4.14,24.84,-2.4,n/a,0,-1.06,0,0,0,n/a
MARKETPLACE,O-814412553928036,Self Delivery,Ameci Pizza & Pasta - Trabuco Rd,Prepaid Order,,08/20/20,"6:57 PM PDT, UTC-07:00",29.97,2.99,0,0,n/a,2.55,0,7.1,42.61,-4.12,n/a,0,-1.6,0,0,0,n/a
MARKETPLACE,O-199912363554538,Self Delivery,Ameci Pizza & Pasta - Trabuco Rd,Prepaid Order,,08/01/20,"6:24 PM PDT, UTC-07:00",66.46,2.99,0,0,n/a,5.38,0,15,89.83,-8.68,n/a,0,-3.04,0,0,0,n/a
MARKETPLACE,O-920113741187145,Pick-Up,Ameci Pizza & Pasta - Trabuco Rd,Prepaid Order,,12/17/20,"5:53 PM PST, UTC-08:00",41.71,0,0,0,n/a,3.23,0,0,44.94,-5.21,n/a,0,-1.67,0,0,0,n/a
MARKETPLACE,W-180713567207502,Pick-Up,Ameci Pizza & Pasta - Trabuco Rd,Prepaid Order,,11/29/20,"5:25 PM PST, UTC-08:00",44.71,0,0,0,n/a,3.47,0,6.7,54.88,0,n/a,0,-1.97,0,0,0,n/a
MARKETPLACE,O-835312121897035,Pick-Up,Ameci Pizza & Pasta - Trabuco Rd,Prepaid Order,,07/09/20,"5:07 PM PDT, UTC-07:00",32.73,0,0,0,n/a,2.54,0,5.29,40.56,-4.09,n/a,0,-1.54,0,0,0,n/a
MARKETPLACE,O-655213596302316,Self Delivery,Ameci Pizza & Pasta - Trabuco Rd,Prepaid Order,,12/02/20,"9:38 PM PST, UTC-08:00",17.97,2.99,0,0,n/a,1.62,0,2.26,24.84,-2.62,n/a,0,-1.06,0,0,0,n/a
MARKETPLACE,O-358812477694404,Self Delivery,Ameci Pizza & Pasta - Trabuco Rd,Prepaid Order,,08/12/20,"5:49 PM PDT, UTC-07:00",30.25,2.99,0,0,n/a,2.57,0,8.95,44.76,-4.16,n/a,0,-1.67,0,0,0,n/a
MARKETPLACE,O-773912903835967,Self Delivery,Ameci Pizza & Pasta - Trabuco Rd,Prepaid Order,,09/24/20,"7:44 PM PDT, UTC-07:00",41.95,2.99,0,0,n/a,3.48,0,7.26,55.68,-5.62,n/a,0,-2,0,0,0,n/a
MARKETPLACE,O-591313276557695,Self Delivery,Ameci Pizza & Pasta - Trabuco Rd,Prepaid Order,,10/31/20,"8:30 PM PDT, UTC-07:00",24.47,2.99,0,0,n/a,2.13,0,4.44,34.03,-3.43,n/a,0,-1.34,0,0,0,n/a
MARKETPLACE,O-531112415952869,Self Delivery,Ameci Pizza & Pasta - Trabuco Rd,Prepaid Order,,08/06/20,"7:16 PM PDT, UTC-07:00",18.98,2.99,0,0,n/a,1.7,0,4.73,28.4,-2.75,n/a,0,-1.17,0,0,0,n/a
MARKETPLACE,W-132012892148198,Self Delivery,Ameci Pizza & Pasta - Trabuco Rd,Prepaid Order,,09/24/20,"5:01 PM PDT, UTC-07:00",42.22,2.99,0,0,n/a,3.5,0,9.74,58.45,0,n/a,0,-2.08,0,0,0,n/a
MARKETPLACE,O-395912742121316,Pick-Up,Ameci Pizza & Pasta - Trabuco Rd,Prepaid Order,,09/08/20,"9:12 PM PDT, UTC-07:00",17.99,0,0,0,n/a,1.39,0,0,19.38,-2.25,n/a,0,-0.89,0,0,0,n/a
MARKETPLACE,O-021713530383180,Self Delivery,Ameci Pizza & Pasta - Trabuco Rd,Prepaid Order,,11/27/20,"1:11 PM PST, UTC-08:00",32.55,2.99,0,0,n/a,2.75,0,3.5,41.79,-4.44,n/a,0,-1.57,0,0,0,n/a
MARKETPLACE,O-886112410066147,Self Delivery,Ameci Pizza & Pasta - Trabuco Rd,Prepaid Order,,08/07/20,"5:36 PM PDT, UTC-07:00",57.52,2.99,0,0,n/a,4.69,0,13.04,78.24,-7.56,n/a,0,-2.69,0,0,0,n/a
MARKETPLACE,O-727413753575871,Pick-Up,Ameci Pizza & Pasta - Trabuco Rd,Prepaid Order,,12/19/20,"2:50 PM PST, UTC-08:00",32.98,0,0,0,n/a,2.56,0,3.55,39.09,-4.12,n/a,0,-1.49,0,0,0,n/a
MARKETPLACE,O-517313672326954,Self Delivery,Ameci Pizza & Pasta - Trabuco Rd,Prepaid Order,,12/10/20,"7:33 PM PST, UTC-08:00",27.15,2.99,0,0,n/a,2.33,0,3,35.47,-3.77,n/a,0,-1.38,0,0,0,n/a
MARKETPLACE,P-CAe76756a0ac65b2d738b89207b6d31e87,Pick-Up,Ameci Pizza & Pasta - Trabuco Rd,Phone Order,,07/21/20,"9:13 PM PDT, UTC-07:00",0,0,0,0,n/a,0,0,0,0,-1,n/a,0,0,0,0,0,n/a
MARKETPLACE,W-273813565168702,Pick-Up,Ameci Pizza & Pasta - Trabuco Rd,Prepaid Order,,11/29/20,"5:00 PM PST, UTC-08:00",35.42,0,0,0,n/a,2.75,0,5.73,43.9,0,n/a,0,-1.64,0,0,0,n/a
MARKETPLACE,W-672413682648115,Pick-Up,Ameci Pizza & Pasta - Trabuco Rd,Prepaid Order,,12/11/20,"5:32 PM PST, UTC-08:00",38.25,0,0,0,n/a,2.96,0,4.12,45.33,0,n/a,0,-1.68,0,0,0,n/a
MARKETPLACE,O-864513630777549,Self Delivery,Ameci Pizza & Pasta - Trabuco Rd,Prepaid Order,,12/06/20,"7:04 PM PST, UTC-08:00",33.2,2.99,0,0,n/a,2.8,0,4,42.99,-4.52,n/a,0,-1.61,0,0,0,n/a
MARKETPLACE,O-356813053453283,Self Delivery,Ameci Pizza & Pasta - Trabuco Rd,Prepaid Order,,10/09/20,"6:08 PM PDT, UTC-07:00",51.97,2.99,0,0,n/a,4.26,0,6,65.22,-6.87,n/a,0,-2.29,0,0,0,n/a
MARKETPLACE,O-819013490373844,Self Delivery,Ameci Pizza & Pasta - Trabuco Rd,Prepaid Order,,11/22/20,"4:46 PM PST, UTC-08:00",33.96,4.99,0,0,n/a,3.02,0,8.39,50.36,-4.87,n/a,0,-1.84,0,0,0,n/a
MARKETPLACE,O-782713838320163,Self Delivery,Ameci Pizza & Pasta - Trabuco Rd,Prepaid Order,,12/26/20,"6:07 PM PST, UTC-08:00",18.77,2.99,0,0,n/a,1.68,0,3,26.44,-2.72,n/a,0,-1.11,0,0,0,n/a
MARKETPLACE,O-552412266624373,Self Delivery,Ameci Pizza & Pasta - Trabuco Rd,Prepaid Order,,07/22/20,"7:39 PM PDT, UTC-07:00",17.99,2.99,0,0,n/a,1.62,0,3.39,25.99,-2.62,n/a,0,-1.09,0,0,0,n/a
MARKETPLACE,O-458813407927425,Self Delivery,Ameci Pizza & Pasta - Trabuco Rd,Prepaid Order,,11/14/20,"4:12 PM PST, UTC-08:00",15.58,2.99,0,0,n/a,1.44,0,4,24.01,-2.32,n/a,0,-1.03,0,0,0,n/a
MARKETPLACE,W-428212902860116,Pick-Up,Ameci Pizza & Pasta - Trabuco Rd,Prepaid Order,,09/24/20,"6:19 PM PDT, UTC-07:00",35.72,0,0,0,n/a,2.77,0,0,38.49,0,n/a,0,-1.47,0,0,0,n/a
MARKETPLACE,W-655213606340715,Self Delivery,Ameci Pizza & Pasta - Trabuco Rd,Prepaid Order,,12/03/20,"6:00 PM PST, UTC-08:00",26.93,2.99,0,0,n/a,2.32,0,6.45,38.69,0,n/a,0,-1.48,0,0,0,n/a
MARKETPLACE,W-775012596976000,Self Delivery,Ameci Pizza & Pasta - Trabuco Rd,Prepaid Order,,08/24/20,"6:43 PM PDT, UTC-07:00",37.72,2.99,0,0,n/a,3.15,0,8.77,52.63,0,n/a,0,-1.91,0,0,0,n/a
MARKETPLACE,O-120413400017939,Self Delivery,Ameci Pizza & Pasta - Trabuco Rd,Prepaid Order,,11/14/20,"1:43 PM PST, UTC-08:00",29.96,2.99,0,0,n/a,2.55,0,5.33,40.83,-4.12,n/a,0,-1.55,0,0,0,n/a
MARKETPLACE,O-193612614827688,Self Delivery,Ameci Pizza & Pasta - Trabuco Rd,Prepaid Order,,08/26/20,"7:10 PM PDT, UTC-07:00",110.93,2.99,0,0,n/a,8.83,0,12.28,135.03,-14.24,n/a,0,-4.42,0,0,0,n/a
MARKETPLACE,P-CA85822402ffea6f4b10ba8b1db8aaba9d,Pick-Up,Ameci Pizza & Pasta - Trabuco Rd,Phone Order,,07/11/20,"1:07 PM PDT, UTC-07:00",0,0,0,0,n/a,0,0,0,0,-1,n/a,0,0,0,0,0,n/a
