Order Channel,ID,Fulfillment Type,Restaurant,Type,Description,Date,Time,Subtotal,Delivery Fee,Service Fee,Service Fee Exemption,(flexible fees),Tax Fee,Tax Fee Exemption,Tip,Restaurant Total,Commission,GH+ Commission,Delivery Commission,Processing Fee,Withheld Tax,Withheld Tax Exemption,Targeted Promotion,Rewards
MARKETPLACE,O-971532024901215,Self Delivery,Ameci Pizza & Pasta - Trabuco Rd,Prepaid Order,,12/19/25,"7:29 PM PST, UTC-08:00",18.97,4.99,0,0,n/a,1.86,0,0,25.82,-3,n/a,0,-1.09,0,0,0,n/a
MARKETPLACE,O-619431881088402,Self Delivery,Ameci Pizza & Pasta - Trabuco Rd,Prepaid Order,,12/05/25,"6:22 PM PST, UTC-08:00",50.36,2.99,0,0,n/a,4.13,0,8.55,66.03,-6.67,n/a,0,-2.31,0,0,0,n/a
MARKETPLACE,O-317830450600516,Pick-Up,Ameci Pizza & Pasta - Trabuco Rd,Prepaid Order,,07/16/25,"12:55 PM PDT, UTC-07:00",25.98,0,0,0,n/a,2.01,0,0,27.99,-3.25,n/a,0,-1.15,0,0,0,n/a
MARKETPLACE,O-351931455113562,Pick-Up,Ameci Pizza & Pasta - Trabuco Rd,Prepaid Order,,10/24/25,"5:01 PM PDT, UTC-07:00",22.99,0,0,0,n/a,1.78,0,0,24.77,-2.87,n/a,0,-1.06,0,0,0,n/a
MARKETPLACE,W-340332026905397,Self Delivery,Ameci Pizza & Pasta - Trabuco Rd,Prepaid Order,,12/19/25,"4:50 PM PST, UTC-08:00",68.01,2.99,0,0,n/a,5.5,0,11.54,88.04,0,n/a,0,-2.99,0,0,0,n/a
MARKETPLACE,O-411432022485786,Pick-Up,Ameci Pizza & Pasta - Trabuco Rd,Prepaid Order,,12/19/25,"6:14 PM PST, UTC-08:00",32.47,0,0,0,n/a,2.52,0,0,34.99,-4.06,n/a,0,-1.37,0,0,0,n/a
MARKETPLACE,O-052931693742584,Pick-Up,Ameci Pizza & Pasta - Trabuco Rd,Prepaid Order,,11/16/25,"4:45 PM PST, UTC-08:00",39.8,0,0,0,n/a,3.08,0,0,42.88,-4.98,n/a,0,-1.61,0,0,0,n/a
MARKETPLACE,O-817232135953774,Self Delivery,Ameci Pizza & Pasta - Trabuco Rd,Prepaid Order,,12/30/25,"6:32 PM PST, UTC-08:00",62.96,2.99,0,0,n/a,5.11,0,5,76.06,-8.24,n/a,0,-2.62,0,0,0,n/a
MARKETPLACE,O-798731324132419,Grubhub Delivery,Ameci Pizza & Pasta - Trabuco Rd,Prepaid Order,,10/11/25,"12:12 PM PDT, UTC-07:00",16.98,0,0,0,n/a,1.32,0,0,18.3,-2.12,n/a,0,-0.86,0,0,0,n/a
MARKETPLACE,O-290830986421188,Grubhub Delivery,Ameci Pizza & Pasta - Trabuco Rd,Prepaid Order,,09/07/25,"3:39 PM PDT, UTC-07:00",19.38,0,0,0,n/a,1.5,0,0,20.88,-2.42,n/a,0,-0.94,0,0,0,n/a
MARKETPLACE,O-407430359350158,Grubhub Delivery,Ameci Pizza & Pasta - Trabuco Rd,Prepaid Order,,07/05/25,"6:32 PM PDT, UTC-07:00",53.08,0,0,0,n/a,4.11,0,0,57.19,-6.64,n/a,0,-2.04,0,0,0,n/a
MARKETPLACE,O-420231959397334,Grubhub Delivery,Ameci Pizza & Pasta - Trabuco Rd,Prepaid Order,,12/12/25,"8:30 PM PST, UTC-08:00",31.97,0,0,0,n/a,2.48,0,0,34.45,-4,n/a,0,-1.35,0,0,0,n/a
MARKETPLACE,O-153430403107038,Pick-Up,Ameci Pizza & Pasta - Trabuco Rd,Prepaid Order,,07/11/25,"4:45 PM PDT, UTC-07:00",12.99,0,0,0,n/a,1.01,0,0,14,-1.62,n/a,0,-0.73,0,0,0,n/a
MARKETPLACE,O-490331249061897,Self Delivery,Ameci Pizza & Pasta - Trabuco Rd,Prepaid Order,,10/02/25,"6:00 PM PDT, UTC-07:00",17.97,4.99,0,0,n/a,1.78,0,0,24.74,-2.87,n/a,0,-1.05,0,0,0,n/a
MARKETPLACE,W-621531195404387,Self Delivery,Ameci Pizza & Pasta - Trabuco Rd,Prepaid Order,,09/28/25,"3:46 PM PDT, UTC-07:00",55.68,2.99,0,0,n/a,4.55,0,10.38,73.6,0,n/a,0,-2.54,0,0,0,n/a
MARKETPLACE,O-115930492386122,Grubhub Delivery,Ameci Pizza & Pasta - Trabuco Rd,Prepaid Order,,07/19/25,"7:32 PM PDT, UTC-07:00",58.45,0,0,0,n/a,4.53,0,0,62.98,-7.31,n/a,0,-2.22,0,0,0,n/a
