,,Ameci Pizza & Pasta - Lake Forest,,,,,
,,,,Start Date,,9/1/2020,
,,,,,End Date,10/1/2020,
,,,,Prepaid Total,,$236.78,
,,,,Taxes Withheld,,$18.00,
,Orders,Subtotal,Tax,Delivery,Tip,,Total
Card,9,$169.08,$0.00,$31.00,$36.70,$236.78,
Cash,0,$0.00,$0.00,$0.00,,-,$0.00
Total,9,$169.08,$0.00,$31.00,$36.70,$236.78,
,,Charge,,,,,Note
Prepaid Total,,$236.78,,,,,
Commission (Comm),,($29.59),,,,,
Processing (Proc),,($10.99),,,,,
Total Charges,,($40.58),,,,,
9/3/2020,,,ID,Tip,Total,Proc,Comm
12:22 PM,Delivery,CARD,22814633,$3.52,$22.29,$1.08,$2.76
9/6/2020,,,ID,Tip,Total,Proc,Comm
5:44 PM,Delivery,CARD,22889447,$5.09,$44.05,$1.84,$5.94
9/7/2020,,,ID,Tip,Total,Proc,Comm
5:26 PM,Delivery,CARD,22906289,$5.42,$27.89,$1.28,$3.41
9/9/2020,,,ID,Tip,Total,Proc,Comm
12:28 PM,Delivery,CARD,22930256,$4.33,$22.81,$1.10,$2.71
9/17/2020,,,ID,Tip,Total,Proc,Comm
12:32 PM,Delivery,CARD,23085827,$4.33,$22.81,$1.10,$2.71
9/21/2020,,,ID,Tip,Total,Proc,Comm
3:00 PM,Delivery,CARD,23174608,$4.06,$25.53,$1.19,$3.23
9/24/2020,,,ID,Tip,Total,Proc,Comm
11:32 AM,Delivery,CARD,23222162,$3.79,$23.77,$1.13,$2.97
9/26/2020,,,ID,Tip,Total,Proc,Comm
4:48 PM,Delivery,CARD,23279481,$2.70,$25.69,$1.20,$3.15
9/29/2020,,,ID,Tip,Total,Proc,Comm
12:44 PM,Delivery,CARD,23328252,$3.46,$21.94,$1.07,$2.71
,Phone: (866) 654-8777,,Email: support@eatstreet.com,,,,
