"ID","Restaurant","Type","Description","Date","Time","Subtotal","Service","Delivery","Tax","Tip","Restaurant Total","Commission","Processing Fee","Withheld Tax"
"O-636612795880320","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"9/13/20","8:45 PM","22.98","0","2.99","2.01","4.19","32.17","-3.25","-1.28","0"
"O-448112763483822","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"9/10/20","6:20 PM","30.25","0","2.99","2.57","8.95","44.76","-4.16","-1.67","0"
"O-636612795883813","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"9/13/20","6:29 PM","20.96","0","2.99","1.85","5.16","30.96","-2.99","-1.24","0"
"W-187112693807570","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"9/3/20","9:19 PM","27.95","0","0.00","2.17","1.50","31.62","0","-1.26","0"
"O-775212755866612","Ameci Pizza & Pasta - Trabuco Rd","Cash Order",,"9/9/20","6:30 PM","47.71","0","0.00","3.70","0","59.12","-5.96","0","0"
"O-604312774453926","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"9/11/20","10:00 PM","34.56","0","4.99","3.07","5.00","47.62","-4.94","-1.75","0"
"O-828012803784423","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"9/15/20","11:56 AM","19.98","0","2.99","1.78","3.71","28.46","-2.87","-1.17","0"
"O-066112792333384","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"9/13/20","6:14 PM","38.21","0","2.99","3.19","3.50","47.89","-5.15","-1.76","0"
"O-773912903835967","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"9/24/20","7:44 PM","41.95","0","2.99","3.48","7.26","55.68","-5.62","-2.00","0"
"O-631512704667687","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"9/4/20","7:21 PM","30.98","0","2.99","2.63","5.49","42.09","-4.25","-1.58","0"
"W-132012892148198","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"9/24/20","5:01 PM","42.22","0","2.99","3.50","9.74","58.45","0","-2.08","0"
"O-395912742121316","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"9/8/20","9:12 PM","17.99","0","0.00","1.39","0","19.38","-2.25","-0.89","0"
"W-708412672789990","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"9/2/20","2:00 PM","20.97","0","0.00","1.63","0","22.60","0","-0.99","0"
"W-778212774113119","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"9/11/20","6:44 PM","46.97","0","2.99","3.87","8.07","61.90","0","-2.19","0"
"O-304112867325471","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"9/20/20","6:37 PM","59.72","0","2.99","4.86","10.14","77.71","-7.84","-2.67","0"
"W-815612772079552","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"9/11/20","5:38 PM","48.45","0","0.00","3.75","7.83","60.03","0","-2.13","0"
"O-637912843260454","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"9/19/20","1:58 PM","25.48","0","2.99","2.20","6.13","36.80","-3.56","-1.42","0"
"O-356112912545188","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"9/25/20","6:01 PM","25.48","0","2.99","2.20","6.13","36.80","-3.56","-1.42","0"
