Store Name,Store ID,Order ID,Dining Mode,Order Status,Order Date / Refund date,Order Accept Time,Food Sales (excluding tax),Tax on Food Sales,Food sales (including tax),Adjustments (excluding tax),Tax on Adjustments,Promo Spend on food,Tax on Promotion on Food,Promo Spend on Delivery,Tax on Promo Spend on Delivery,Bag Fee,Marketing Service Fee Adjustment,Total Sales after Adjustments (including tax),Uber Service Fee,Dispatch Fee,Tax on Dispatch Fee,Gratuity,Misc Payment Description,Miscellaneous Payments,Marketplace Facilitator Tax,Backup Withholding Tax,Payout,Payout Date
Ameci Pizza & Pasta - Lake Forest,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ad Spend,-0.86,0,0,-0.86,9/8/20
Ameci Pizza & Pasta - Lake Forest,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ad Credits,0.86,0,0,0.86,9/8/20
Ameci Pizza & Pasta - Lake Forest,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Restaurant refunds,20.99,0,0,20.99,9/8/20
Ameci Pizza & Pasta - Lake Forest,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ad Spend,-12.36,0,0,-12.36,9/14/20
Ameci Pizza & Pasta - Lake Forest,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ad Spend,-12.36,0,0,-12.36,9/14/20
Ameci Pizza & Pasta - Lake Forest,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ad Spend,-10.44,0,0,-10.44,9/14/20
Ameci Pizza & Pasta - Lake Forest,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ad Spend,-5.37,0,0,-5.37,9/14/20
Ameci Pizza & Pasta - Lake Forest,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ad Spend,-4.35,0,0,-4.35,9/14/20
Ameci Pizza & Pasta - Lake Forest,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ad Spend,-1.7,0,0,-1.7,9/14/20
Ameci Pizza & Pasta - Lake Forest,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ad Credits,1.7,0,0,1.7,9/14/20
Ameci Pizza & Pasta - Lake Forest,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ad Credits,4.35,0,0,4.35,9/14/20
Ameci Pizza & Pasta - Lake Forest,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ad Credits,5.37,0,0,5.37,9/14/20
Ameci Pizza & Pasta - Lake Forest,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ad Credits,10.44,0,0,10.44,9/14/20
Ameci Pizza & Pasta - Lake Forest,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ad Credits,12.36,0,0,12.36,9/14/20
Ameci Pizza & Pasta - Lake Forest,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ad Credits,12.36,0,0,12.36,9/14/20
Ameci Pizza & Pasta - Lake Forest,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ad Spend,-8.15,0,0,-8.15,9/21/20
Ameci Pizza & Pasta - Lake Forest,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ad Spend,-0.78,0,0,-0.78,9/21/20
Ameci Pizza & Pasta - Lake Forest,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ad Spend,-0.5,0,0,-0.5,9/21/20
Ameci Pizza & Pasta - Lake Forest,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ad Credits,0.5,0,0,0.5,9/21/20
Ameci Pizza & Pasta - Lake Forest,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ad Credits,0.78,0,0,0.78,9/21/20
Ameci Pizza & Pasta - Lake Forest,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Restaurant refunds,0.81,0,0,0.81,9/21/20
Ameci Pizza & Pasta - Lake Forest,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Restaurant refunds,4.3,0,0,4.3,9/21/20
Ameci Pizza & Pasta - Lake Forest,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ad Credits,8.15,0,0,8.15,9/21/20
Ameci Pizza & Pasta - Lake Forest,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ad Spend,-4.66,0,0,-4.66,9/28/20
Ameci Pizza & Pasta - Lake Forest,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ad Spend,-2.38,0,0,-2.38,9/28/20
Ameci Pizza & Pasta - Lake Forest,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ad Spend,-2.37,0,0,-2.37,9/28/20
Ameci Pizza & Pasta - Lake Forest,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ad Spend,-1,0,0,-1,9/28/20
Ameci Pizza & Pasta - Lake Forest,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ad Credits,1,0,0,1,9/28/20
Ameci Pizza & Pasta - Lake Forest,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ad Credits,2.37,0,0,2.37,9/28/20
Ameci Pizza & Pasta - Lake Forest,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ad Credits,2.38,0,0,2.38,9/28/20
Ameci Pizza & Pasta - Lake Forest,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ad Credits,4.66,0,0,4.66,9/28/20
Ameci Pizza & Pasta - Lake Forest,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ad Spend,-2.73,0,0,-2.73,10/5/20
Ameci Pizza & Pasta - Lake Forest,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ad Spend,-1.15,0,0,-1.15,10/5/20
Ameci Pizza & Pasta - Lake Forest,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ad Credits,1.15,0,0,1.15,10/5/20
Ameci Pizza & Pasta - Lake Forest,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ad Credits,2.73,0,0,2.73,10/5/20
Ameci Pizza & Pasta - Lake Forest,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Restaurant refunds,4.3,0,0,4.3,10/5/20
Ameci Pizza & Pasta - Lake Forest,,#F3F02,Delivery - Partner Using Uber App,Completed,8/5/20,12:51 PM,24.97,1.94,26.91,0,0,0,0,0,0,0,0,26.91,-7.49,0,0,0,,0,0,0,19.42,9/8/20
Ameci Pizza & Pasta - Lake Forest,,#2A001,,Refund,8/30/20,1:45 PM,-1.49,-0.12,-1.61,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,-1.61,9/8/20
Ameci Pizza & Pasta - Lake Forest,,#27A7E,,Refund,8/30/20,4:19 PM,-17.99,-1.39,-19.38,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,-19.38,9/8/20
Ameci Pizza & Pasta - Lake Forest,,#27511,Pickup,Completed,9/1/20,11:46 AM,28.98,2.25,31.23,0,0,0,0,0,0,0,0,31.23,0,0,0,0,,0,0,0,31.23,9/8/20
Ameci Pizza & Pasta - Lake Forest,,#3AADD,Delivery - Partner Using Uber App,Completed,9/1/20,3:47 PM,14.74,1.14,15.88,0,0,0,0,0,0,0,0,15.88,-4.42,0,0,0,,0,0,0,11.46,9/8/20
Ameci Pizza & Pasta - Lake Forest,,#1BFC6,Delivery - Partner Using Uber App,Completed,9/1/20,3:52 PM,32.97,2.56,35.53,0,0,0,0,0,0,0,0,35.53,-9.89,0,0,0,,0,0,0,25.64,9/8/20
Ameci Pizza & Pasta - Lake Forest,,#38D27,Delivery - Partner Using Uber App,Completed,9/1/20,6:30 PM,32.71,2.54,35.25,0,0,0,0,0,0,0,0,35.25,-9.81,0,0,0,,0,0,0,25.44,9/8/20
Ameci Pizza & Pasta - Lake Forest,,#E18C7,Delivery - Partner Using Uber App,Completed,9/1/20,7:17 PM,20.27,1.57,21.84,0,0,0,0,0,0,0,0,21.84,-6.08,0,0,0,,0,0,0,15.76,9/8/20
Ameci Pizza & Pasta - Lake Forest,,#0459C,Delivery - Partner Using Uber App,Completed,9/1/20,7:57 PM,25.15,1.95,27.1,0,0,0,0,0,0,0,0,27.1,-7.55,0,0,0,,0,0,0,19.55,9/8/20
Ameci Pizza & Pasta - Lake Forest,,#08A0B,Delivery - Partner Using Uber App,Completed,9/2/20,1:23 PM,28.97,2.25,31.22,0,0,0,0,0,0,0,0,31.22,-8.69,0,0,0,,0,0,0,22.53,9/8/20
Ameci Pizza & Pasta - Lake Forest,,#A4903,Delivery - Partner Using Uber App,Completed,9/2/20,3:53 PM,28.47,2.21,30.68,0,0,0,0,0,0,0,0,30.68,-8.54,0,0,0,,0,0,0,22.14,9/8/20
Ameci Pizza & Pasta - Lake Forest,,#BF612,Delivery - Partner Using Uber App,Completed,9/2/20,4:49 PM,24.16,1.87,26.03,0,0,0,0,0,0,0,0,26.03,-7.25,0,0,0,,0,0,0,18.78,9/8/20
Ameci Pizza & Pasta - Lake Forest,,#D9DD7,Delivery - Partner Using Uber App,Completed,9/2/20,5:54 PM,26.98,2.09,29.07,0,0,0,0,0,0,0,0,29.07,-8.09,0,0,0,,0,0,0,20.98,9/8/20
Ameci Pizza & Pasta - Lake Forest,,#7A5B9,Delivery - Partner Using Uber App,Completed,9/2/20,9:24 PM,24.98,1.94,26.92,0,0,0,0,0,0,0,0,26.92,-7.49,0,0,0,,0,0,0,19.43,9/8/20
Ameci Pizza & Pasta - Lake Forest,,#0A8C1,Delivery - Partner Using Uber App,Completed,9/2/20,9:59 PM,37.96,2.94,40.9,0,0,0,0,0,0,0,0,40.9,-11.39,0,0,0,,0,0,0,29.51,9/8/20
Ameci Pizza & Pasta - Lake Forest,,#F1348,Delivery - Partner Using Uber App,Completed,9/2/20,10:22 PM,21.72,1.68,23.4,0,0,0,0,0,0,0,0,23.4,-6.52,0,0,0,,0,0,0,16.88,9/8/20
Ameci Pizza & Pasta - Lake Forest,,#46006,Delivery - Partner Using Uber App,Completed,9/3/20,11:20 AM,28.48,2.21,30.69,0,0,0,0,0,0,0,0,30.69,-8.54,0,0,0,,0,0,0,22.15,9/8/20
Ameci Pizza & Pasta - Lake Forest,,#73D3D,Delivery - Partner Using Uber App,Completed,9/3/20,11:35 AM,32.21,2.5,34.71,0,0,0,0,0,0,0,0,34.71,-9.66,0,0,0,,0,0,0,25.05,9/8/20
Ameci Pizza & Pasta - Lake Forest,,#80A65,Delivery - Partner Using Uber App,Completed,9/3/20,5:12 PM,35.98,2.79,38.77,0,0,0,0,0,0,0,0,38.77,-10.79,0,0,0,,0,0,0,27.98,9/8/20
Ameci Pizza & Pasta - Lake Forest,,#ABE34,Delivery - Partner Using Uber App,Completed,9/3/20,5:32 PM,22.97,1.78,24.75,0,0,0,0,0,0,0,0,24.75,-6.89,0,0,0,,0,0,0,17.86,9/8/20
Ameci Pizza & Pasta - Lake Forest,,#0453A,Delivery - Partner Using Uber App,Completed,9/3/20,6:16 PM,14.7,1.14,15.84,0,0,0,0,0,0,0,0,15.84,-4.41,0,0,0,,0,0,0,11.43,9/8/20
Ameci Pizza & Pasta - Lake Forest,,#A8C19,Delivery - Partner Using Uber App,Completed,9/3/20,7:53 PM,27.23,2.11,29.34,0,0,0,0,0,0,0,0,29.34,-8.17,0,0,0,,0,0,0,21.17,9/8/20
Ameci Pizza & Pasta - Lake Forest,,#B458F,Delivery - Partner Using Uber App,Completed,9/3/20,8:56 PM,16.97,1.32,18.29,0,0,0,0,0,0,0,0,18.29,-5.09,0,0,0,,0,0,0,13.2,9/8/20
Ameci Pizza & Pasta - Lake Forest,,#5DD1C,Delivery - Partner Using Uber App,Completed,9/3/20,10:05 PM,32.57,2.52,35.09,0,0,0,0,0,0,0,0,35.09,-9.77,0,0,0,,0,0,0,25.32,9/8/20
Ameci Pizza & Pasta - Lake Forest,,#F35B0,Delivery - Partner Using Uber App,Completed,9/4/20,4:25 PM,12.99,1.01,14,0,0,0,0,0,0,0,0,14,-3.9,0,0,0,,0,0,0,10.1,9/8/20
Ameci Pizza & Pasta - Lake Forest,,#7CF2A,Delivery - Partner Using Uber App,Completed,9/4/20,5:40 PM,38.97,3.02,41.99,0,0,0,0,0,0,0,0,41.99,-11.69,0,0,0,,0,0,0,30.3,9/8/20
Ameci Pizza & Pasta - Lake Forest,,#706F8,Delivery - Partner Using Uber App,Completed,9/4/20,5:56 PM,47.46,3.68,51.14,0,0,0,0,0,0,0,0,51.14,-14.24,0,0,0,,0,0,0,36.9,9/8/20
Ameci Pizza & Pasta - Lake Forest,,#DB424,Delivery - Partner Using Uber App,Completed,9/4/20,6:03 PM,42.47,3.29,45.76,0,0,0,0,0,0,0,0,45.76,-12.74,0,0,0,,0,0,0,33.02,9/8/20
Ameci Pizza & Pasta - Lake Forest,,#A4B66,Delivery - Partner Using Uber App,Completed,9/4/20,6:39 PM,20.74,1.61,22.35,0,0,0,0,0,0,0,0,22.35,-6.22,0,0,0,,0,0,0,16.13,9/8/20
Ameci Pizza & Pasta - Lake Forest,,#712F9,Delivery - Partner Using Uber App,Completed,9/4/20,8:49 PM,27.73,2.15,29.88,0,0,0,0,0,0,0,0,29.88,-8.32,0,0,0,,0,0,0,21.56,9/8/20
Ameci Pizza & Pasta - Lake Forest,,#750B4,Delivery - Partner Using Uber App,Unfulfilled,9/4/20,9:19 PM,23.98,1.86,25.84,0,0,0,0,0,0,0,0,25.84,-7.19,0,0,0,,0,0,0,18.65,9/8/20
Ameci Pizza & Pasta - Lake Forest,,#62353,Delivery - Partner Using Uber App,Completed,9/4/20,10:11 PM,22.99,1.78,24.77,0,0,0,0,0,0,0,0,24.77,-6.9,0,0,0,,0,0,0,17.87,9/8/20
Ameci Pizza & Pasta - Lake Forest,,#C3BEF,Delivery - Partner Using Uber App,Completed,9/5/20,2:10 PM,17.99,1.39,19.38,0,0,0,0,0,0,0,0,19.38,-5.4,0,0,0,,0,0,0,13.98,9/8/20
Ameci Pizza & Pasta - Lake Forest,,#EB361,Delivery - Partner Using Uber App,Completed,9/5/20,4:39 PM,17.99,1.39,19.38,0,0,0,0,0,0,0,0,19.38,-5.4,0,0,0,,0,0,0,13.98,9/8/20
Ameci Pizza & Pasta - Lake Forest,,#269DB,Delivery - Partner Using Uber App,Completed,9/5/20,5:06 PM,44.71,3.47,48.18,0,0,0,0,0,0,0,0,48.18,-13.41,0,0,0,,0,0,0,34.77,9/8/20
Ameci Pizza & Pasta - Lake Forest,,#90332,Delivery - Partner Using Uber App,Completed,9/5/20,5:21 PM,31.7,2.46,34.16,0,0,0,0,0,0,0,0,34.16,-9.51,0,0,0,,0,0,0,24.65,9/8/20
Ameci Pizza & Pasta - Lake Forest,,#196C1,Delivery - Partner Using Uber App,Completed,9/5/20,6:33 PM,36.45,2.82,39.27,0,0,0,0,0,0,0,0,39.27,-10.94,0,0,0,,0,0,0,28.33,9/8/20
Ameci Pizza & Pasta - Lake Forest,,#4A039,Delivery - Partner Using Uber App,Completed,9/5/20,7:59 PM,21.24,1.65,22.89,0,0,0,0,0,0,0,0,22.89,-6.37,0,0,0,,0,0,0,16.52,9/8/20
Ameci Pizza & Pasta - Lake Forest,,#AADB1,Delivery - Partner Using Uber App,Completed,9/6/20,12:30 PM,18.24,1.41,19.65,0,0,0,0,0,0,0,0,19.65,-5.47,0,0,0,,0,0,0,14.18,9/8/20
Ameci Pizza & Pasta - Lake Forest,,#27A2C,Pickup,Completed,9/6/20,5:47 PM,18.73,1.45,20.18,0,0,0,0,0,0,0,0,20.18,0,0,0,0,,0,0,0,20.18,9/8/20
Ameci Pizza & Pasta - Lake Forest,,#5ED8C,Delivery - Partner Using Uber App,Completed,9/6/20,6:36 PM,25.48,1.97,27.45,0,0,0,0,0,0,0,0,27.45,-7.64,0,0,0,,0,0,0,19.81,9/8/20
Ameci Pizza & Pasta - Lake Forest,,#2AE55,Pickup,Completed,9/6/20,8:02 PM,23.49,1.82,25.31,0,0,0,0,0,0,0,0,25.31,0,0,0,0,,0,0,0,25.31,9/8/20
Ameci Pizza & Pasta - Lake Forest,,#42D8F,Delivery - Partner Using Uber App,Completed,9/6/20,8:36 PM,15.97,1.24,17.21,0,0,0,0,0,0,0,0,17.21,-4.79,0,0,0,,0,0,0,12.42,9/8/20
Ameci Pizza & Pasta - Lake Forest,,#C8064,Delivery - Partner Using Uber App,Completed,9/6/20,8:52 PM,44.44,3.44,47.88,0,0,0,0,0,0,0,0,47.88,-13.33,0,0,0,,0,0,0,34.55,9/8/20
