Store Name,Store ID,Order ID,Dining Mode,Order Status,Order Date / Refund date,Order Accept Time,Food Sales (excluding tax),Tax on Food Sales,Food sales (including tax),Adjustments (excluding tax),Tax on Adjustments,Promo Spend on food,Tax on Promotion on Food,Promo Spend on Delivery,Tax on Promo Spend on Delivery,Bag Fee,Marketing Service Fee Adjustment,Total Sales after Adjustments (including tax),Uber Service Fee,Delivery Network Fee,Order Processing Fee,Dispatch Fee,Tax on Dispatch Fee,Gratuity,Misc Payment Description,Miscellaneous Payments,Marketplace Facilitator Tax,Backup Withholding Tax,Payout,Payout Date
Ameci Pizza & Pasta - Lake Forest,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ad Spend,-8.85,0,0,-8.85,2020-10-05
Ameci Pizza & Pasta - Lake Forest,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ad Spend,-8.78,0,0,-8.78,2020-10-05
Ameci Pizza & Pasta - Lake Forest,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ad Spend,-7.45,0,0,-7.45,2020-10-05
Ameci Pizza & Pasta - Lake Forest,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ad Spend,-4.54,0,0,-4.54,2020-10-05
Ameci Pizza & Pasta - Lake Forest,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Restaurant refunds,1.09,0,0,1.09,2020-10-05
Ameci Pizza & Pasta - Lake Forest,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ad Credits,3.76,0,0,3.76,2020-10-05
Ameci Pizza & Pasta - Lake Forest,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ad Credits,7.45,0,0,7.45,2020-10-05
Ameci Pizza & Pasta - Lake Forest,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ad Credits,8.78,0,0,8.78,2020-10-05
Ameci Pizza & Pasta - Lake Forest,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ad Credits,8.85,0,0,8.85,2020-10-05
Ameci Pizza & Pasta - Lake Forest,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Restaurant refunds,18.96,0,0,18.96,2020-10-05
Ameci Pizza & Pasta - Lake Forest,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Restaurant refunds,2.43,0,0,2.43,2020-10-19
Ameci Pizza & Pasta - Lake Forest,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Restaurant refunds,10.5,0,0,10.5,2020-10-19
Ameci Pizza & Pasta - Lake Forest,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Restaurant refunds,15.07,0,0,15.07,2020-10-19
Ameci Pizza & Pasta - Lake Forest,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Restaurant refunds,10.49,0,0,10.49,2020-11-02
Ameci Pizza & Pasta - Lake Forest,,#8847F,,Refund,2020-09-28,18:11,-5.98,-0.46,-6.44,0,0,0,0,0,0,0,,0,0,,,0,0,0,,0,0,0,-6.44,2020-10-05
Ameci Pizza & Pasta - Lake Forest,,#F9BF2,Delivery - Partner Using Uber App,Completed,2020-10-01,18:46,31.95,2.48,34.43,0,0,0,0,0,0,0,0,34.43,-9.59,0,0,0,0,0,,0,0,0,24.84,2020-10-05
Ameci Pizza & Pasta - Lake Forest,,#E2F30,Delivery - Partner Using Uber App,Completed,2020-10-01,20:12,31.52,2.44,33.96,0,0,0,0,0,0,0,0,33.96,-9.46,0,0,0,0,0,,0,0,0,24.5,2020-10-05
Ameci Pizza & Pasta - Lake Forest,,#A29D2,Delivery - Partner Using Uber App,Completed,2020-10-01,22:11,21.98,1.7,23.68,0,0,0,0,0,0,0,0,23.68,-6.59,0,0,0,0,0,,0,0,0,17.09,2020-10-05
Ameci Pizza & Pasta - Lake Forest,,#7BCF9,Delivery - Partner Using Uber App,Completed,2020-10-02,11:36,18.73,1.45,20.18,0,0,0,0,0,0,0,0,20.18,-5.62,0,0,0,0,0,,0,0,0,14.56,2020-10-05
Ameci Pizza & Pasta - Lake Forest,,#31F83,Delivery - Partner Using Uber App,Completed,2020-10-02,12:43,57.14,4.43,61.57,0,0,0,0,0,0,0,0,61.57,-17.14,0,0,0,0,0,,0,0,0,44.43,2020-10-05
Ameci Pizza & Pasta - Lake Forest,,#DE821,Pickup,Completed,2020-10-02,12:44,23.98,1.86,25.84,0,0,0,0,0,0,0,0,25.84,0,0,0,0,0,0,,0,0,0,25.84,2020-10-05
Ameci Pizza & Pasta - Lake Forest,,#1F768,Delivery - Partner Using Uber App,Completed,2020-10-02,12:51,14.74,1.14,15.88,0,0,0,0,0,0,0,0,15.88,-4.42,0,0,0,0,0,,0,0,0,11.46,2020-10-05
Ameci Pizza & Pasta - Lake Forest,,#A539D,Delivery - Partner Using Uber App,Completed,2020-10-02,16:22,55.72,4.32,60.04,0,0,0,0,0,0,0,0,60.04,-16.72,0,0,0,0,0,,0,0,0,43.32,2020-10-05
Ameci Pizza & Pasta - Lake Forest,,#965A4,Delivery - Partner Using Uber App,Completed,2020-10-02,18:02,23.97,1.86,25.83,0,0,0,0,0,0,0,0,25.83,-7.19,0,0,0,0,0,,0,0,0,18.64,2020-10-05
Ameci Pizza & Pasta - Lake Forest,,#BE8B8,Delivery - Partner Using Uber App,Completed,2020-10-03,11:40,52.95,4.1,57.05,0,0,0,0,0,0,0,0,57.05,-15.89,0,0,0,0,0,,0,0,0,41.16,2020-10-05
Ameci Pizza & Pasta - Lake Forest,,#823FA,Delivery - Partner Using Uber App,Completed,2020-10-03,17:53,25.98,2.01,27.99,0,0,0,0,0,0,0,0,27.99,-7.79,0,0,0,0,0,,0,0,0,20.2,2020-10-05
Ameci Pizza & Pasta - Lake Forest,,#4A541,Delivery - Partner Using Uber App,Completed,2020-10-03,18:27,38.42,2.98,41.4,0,0,0,0,0,0,0,0,41.4,-11.53,0,0,0,0,0,,0,0,0,29.87,2020-10-05
Ameci Pizza & Pasta - Lake Forest,,#A656B,Delivery - Partner Using Uber App,Completed,2020-10-03,18:36,31.98,2.48,34.46,0,0,0,0,0,0,0,0,34.46,-9.59,0,0,0,0,0,,0,0,0,24.87,2020-10-05
Ameci Pizza & Pasta - Lake Forest,,#2EB5A,Delivery - Partner Using Uber App,Completed,2020-10-03,19:19,21.98,1.7,23.68,0,0,0,0,0,0,0,0,23.68,-6.59,0,0,0,0,0,,0,0,0,17.09,2020-10-05
Ameci Pizza & Pasta - Lake Forest,,#E8965,Delivery - Partner Using Uber App,Completed,2020-10-03,19:42,26.48,2.05,28.53,0,0,0,0,0,0,0,0,28.53,-7.94,0,0,0,0,0,,0,0,0,20.59,2020-10-05
Ameci Pizza & Pasta - Lake Forest,,#B6CAB,Delivery - Partner Using Uber App,Completed,2020-10-03,20:54,17.97,1.39,19.36,0,0,0,0,0,0,0,0,19.36,-5.39,0,0,0,0,0,,0,0,0,13.97,2020-10-05
Ameci Pizza & Pasta - Lake Forest,,#E7707,Delivery - Partner Using Uber App,Completed,2020-10-04,19:10,18.99,1.47,20.46,0,0,0,0,0,0,0,0,20.46,-5.7,0,0,0,0,0,,0,0,0,14.76,2020-10-05
Ameci Pizza & Pasta - Lake Forest,,#186AE,Delivery - Partner Using Uber App,Completed,2020-10-04,22:15,20.98,1.63,22.61,0,0,0,0,0,0,0,0,22.61,-6.29,0,0,0,0,0,,0,0,0,16.32,2020-10-05
Ameci Pizza & Pasta - Lake Forest,,#1D78B,Delivery - Partner Using Uber App,Completed,2020-10-05,12:05,95.16,7.37,102.53,0,0,0,0,0,0,0,0,102.53,-28.55,0,0,0,0,0,,0,0,0,73.98,2020-10-12
Ameci Pizza & Pasta - Lake Forest,,#CDDB2,Delivery - Partner Using Uber App,Completed,2020-10-05,13:56,46.73,3.62,50.35,0,0,0,0,0,0,0,0,50.35,-14.02,0,0,0,0,0,,0,0,0,36.33,2020-10-12
Ameci Pizza & Pasta - Lake Forest,,#5372B,Delivery - Partner Using Uber App,Completed,2020-10-05,16:46,15.49,1.2,16.69,0,0,0,0,0,0,0,0,16.69,-4.65,0,0,0,0,0,,0,0,0,12.04,2020-10-12
Ameci Pizza & Pasta - Lake Forest,,#2C744,Delivery - Partner Using Uber App,Completed,2020-10-05,17:30,32.93,2.55,35.48,0,0,0,0,0,0,0,0,35.48,-9.88,0,0,0,0,0,,0,0,0,25.6,2020-10-12
Ameci Pizza & Pasta - Lake Forest,,#18211,Pickup,Completed,2020-10-05,19:23,22.98,1.78,24.76,0,0,0,0,0,0,0,0,24.76,0,0,0,0,0,0,,0,0,0,24.76,2020-10-12
Ameci Pizza & Pasta - Lake Forest,,#5986D,Delivery - Partner Using Uber App,Completed,2020-10-05,21:34,26.96,2.09,29.05,0,0,0,0,0,0,0,0,29.05,-8.09,0,0,0,0,0,,0,0,0,20.96,2020-10-12
Ameci Pizza & Pasta - Lake Forest,,#72C0C,Delivery - Partner Using Uber App,Completed,2020-10-06,17:43,17.99,1.39,19.38,0,0,0,0,0,0,0,0,19.38,-5.4,0,0,0,0,0,,0,0,0,13.98,2020-10-12
Ameci Pizza & Pasta - Lake Forest,,#C0A4F,Delivery - Partner Using Uber App,Completed,2020-10-06,17:57,34.97,2.71,37.68,0,0,0,0,0,0,0,0,37.68,-10.49,0,0,0,0,0,,0,0,0,27.19,2020-10-12
Ameci Pizza & Pasta - Lake Forest,,#03CFE,Pickup,Completed,2020-10-06,18:35,21.24,1.65,22.89,0,0,0,0,0,0,0,0,22.89,0,0,0,0,0,0,,0,0,0,22.89,2020-10-12
Ameci Pizza & Pasta - Lake Forest,,#B1217,Delivery - Partner Using Uber App,Completed,2020-10-06,18:44,20.99,1.63,22.62,0,0,0,0,0,0,0,0,22.62,-6.3,0,0,0,0,0,,0,0,0,16.32,2020-10-12
Ameci Pizza & Pasta - Lake Forest,,#44761,Delivery - Partner Using Uber App,Completed,2020-10-06,19:26,22.23,1.72,23.95,0,0,0,0,0,0,0,0,23.95,-6.67,0,0,0,0,0,,0,0,0,17.28,2020-10-12
Ameci Pizza & Pasta - Lake Forest,,#44761,,Refund,2020-10-06,19:26,-2.25,-0.18,-2.43,0,0,0,0,0,0,0,,0,0,,,0,0,0,,0,0,0,-2.43,2020-10-12
Ameci Pizza & Pasta - Lake Forest,,#D7891,Delivery - Partner Using Uber App,Completed,2020-10-06,20:09,34.41,2.67,37.08,0,0,0,0,0,0,0,0,37.08,-10.32,0,0,0,0,0,,0,0,0,26.76,2020-10-12
Ameci Pizza & Pasta - Lake Forest,,#82C09,Pickup,Completed,2020-10-07,15:54,24.99,1.94,26.93,0,0,0,0,0,0,0,0,26.93,0,0,0,0,0,0,,0,0,0,26.93,2020-10-12
Ameci Pizza & Pasta - Lake Forest,,#20D8A,Delivery - Partner Using Uber App,Completed,2020-10-07,18:21,22.74,1.76,24.5,0,0,0,0,0,0,0,0,24.5,-6.82,0,0,0,0,0,,0,0,0,17.68,2020-10-12
