,,Ameci Pizza & Pasta - Lake Forest,,,,,
,,,,Start Date,,11/1/2020,
,,,,,End Date,12/1/2020,
,,,,Prepaid Total,,$440.39,
,,,,Taxes Withheld,,$33.68,
,Orders,Subtotal,Tax,Delivery,Tip,,Total
Card,16,$327.15,$0.00,$47.00,$66.24,$440.39,
Cash,0,$0.00,$0.00,$0.00,,-,$0.00
Total,16,$327.15,$0.00,$47.00,$66.24,$440.39,
,,Charge,,,,,Note
Prepaid Total,,$440.39,,,,,
Commission (Comm),,($57.25),,,,,
Processing (Proc),,($20.21),,,,,
Total Charges,,($77.46),,,,,
11/2/2020,,,ID,Tip,Total,Proc,Comm
12:38 PM,Delivery,CARD,24011196,$3.52,$22.29,$1.08,$2.76
11/4/2020,,,ID,Tip,Total,Proc,Comm
12:15 PM,Delivery,CARD,24046476,$3.52,$22.29,$1.08,$2.76
11/6/2020,,,ID,Tip,Total,Proc,Comm
12:08 PM,Delivery,CARD,24084899,$3.52,$22.29,$1.08,$2.76
5:51 PM,Delivery,CARD,24101632,$3.00,$45.45,$1.89,$6.55
11/9/2020,,,ID,Tip,Total,Proc,Comm
2:11 PM,Delivery,CARD,24154395,$3.52,$22.29,$1.08,$2.76
11/11/2020,,,ID,Tip,Total,Proc,Comm
2:27 PM,Delivery,CARD,24188833,$3.52,$22.29,$1.08,$2.76
11/15/2020,,,ID,Tip,Total,Proc,Comm
1:26 PM,Delivery,CARD,24279258,$4.35,$26.90,$1.24,$3.42
11/17/2020,,,ID,Tip,Total,Proc,Comm
12:53 PM,Delivery,CARD,24312587,$4.00,$22.77,$1.10,$2.76
7:59 PM,Takeout,CARD,24323611,$3.92,$27.89,$1.28,$4.19
11/19/2020,,,ID,Tip,Total,Proc,Comm
12:25 PM,Delivery,CARD,24348368,$3.52,$22.29,$1.08,$2.76
11/21/2020,,,ID,Tip,Total,Proc,Comm
2:39 PM,Delivery,CARD,24400160,$4.41,$27.46,$1.26,$3.51
11/23/2020,,,ID,Tip,Total,Proc,Comm
12:40 PM,Delivery,CARD,24439597,$3.52,$22.29,$1.08,$2.76
4:28 PM,Delivery,CARD,24446279,$7.13,$53.09,$2.16,$7.52
6:40 PM,Delivery,CARD,24449397,$5.09,$33.56,$1.47,$4.46
11/25/2020,,,ID,Tip,Total,Proc,Comm
3:12 PM,Delivery,CARD,24478424,$5.29,$24.06,$1.14,$2.76
11/30/2020,,,ID,Tip,Total,Proc,Comm
12:13 PM,Delivery,CARD,24545886,$4.41,$23.18,$1.11,$2.76
,Phone: (866) 654-8777,,Email: support@eatstreet.com,,,,
