"ID","Restaurant","Type","Description","Date","Time","Subtotal","Service","Delivery","Tax","Tip","Restaurant Total","Commission","Processing Fee","Withheld Tax"
"O-466613342006054","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/8/20","2:08 PM","28.96","0","4.99","2.63","3.00","39.58","-4.24","-1.51","0"
"O-506613492136401","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/22/20","7:42 PM","16.22","0","2.99","1.49","4.14","24.84","-2.40","-1.06","0"
"O-643113474772692","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/20/20","7:54 PM","26.96","0","0.00","2.09","5.81","34.86","-3.37","-1.36","0"
"W-594513486904971","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/21/20","5:22 PM","39.96","0","0.00","3.10","0","43.06","0","-1.61","0"
"W-180713567207502","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/29/20","5:25 PM","44.71","0","0.00","3.47","6.70","54.88","0","-1.97","0"
"O-727513316532128","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/4/20","6:09 PM","23.57","0","4.99","2.22","4.62","35.40","-3.57","-1.38","0"
"W-560613414902752","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/14/20","5:53 PM","60.45","0","2.99","4.91","13.67","82.02","0","-2.80","0"
"W-594513486912414","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/22/20","12:49 PM","10.99","0","0.00","0.85","0","11.84","0","-0.66","0"
"O-021713530383180","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/27/20","1:11 PM","32.55","0","2.99","2.75","3.50","41.79","-4.44","-1.57","0"
"O-117713306390317","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/3/20","7:56 PM","26.48","0","2.99","2.28","4.76","36.51","-3.68","-1.41","0"
"W-273813565168702","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/29/20","5:00 PM","35.42","0","0.00","2.75","5.73","43.90","0","-1.64","0"
"W-532413402336497","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/13/20","5:41 PM","62.47","0","0.00","4.84","10.10","77.41","0","-2.66","0"
"O-218413383311619","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/12/20","2:04 PM","29.48","0","2.99","2.51","5.25","40.23","-4.06","-1.53","0"
"W-521213470669922","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/20/20","5:36 PM","44.87","0","2.99","3.71","7.74","59.31","0","-2.11","0"
"O-527513498027793","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/22/20","6:14 PM","18.06","0","0.00","1.40","0","19.46","-2.26","-0.89","0"
"O-841113331826251","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/7/20","3:08 PM","37.72","0","2.99","3.15","4.00","47.86","-5.09","-1.76","0"
"O-819013490373844","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/22/20","4:46 PM","33.96","0","4.99","3.02","8.39","50.36","-4.87","-1.84","0"
"O-018713270876575","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/1/20","12:57 PM","17.97","0","2.99","1.62","4.52","27.10","-2.62","-1.13","0"
"O-458813407927425","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/14/20","4:12 PM","15.58","0","2.99","1.44","4.00","24.01","-2.32","-1.03","0"
"W-218413393332343","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/12/20","4:57 PM","51.20","0","0.00","3.97","0","55.17","0","-1.98","0"
"O-120413400017939","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/14/20","1:43 PM","29.96","0","2.99","2.55","5.33","40.83","-4.12","-1.55","0"
"O-731113570771611","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/30/20","5:41 PM","30.25","0","2.99","2.57","8.95","44.76","-4.16","-1.67","0"
"W-769413513867525","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/24/20","6:41 PM","54.44","0","2.99","4.45","5.00","66.88","0","-2.34","0"
"O-718113283327212","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/1/20","5:32 PM","20.98","0","4.99","2.02","2.00","29.99","-3.25","-1.21","0"
"O-654413290988449","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/3/20","4:15 PM","31.98","0","0.00","2.48","0","34.46","-4.00","-1.35","0"
"O-834013512896846","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/24/20","6:15 PM","49.96","0","0.00","3.87","8.07","61.90","-6.25","-2.19","0"
