Store Name,Store ID,Order ID,Dining Mode,Order Channel,Order Status,Order Date / Refund date,Order Accept Time,Food Sales (excluding tax),Tax on Food Sales,Food sales (including tax),Adjustments (excluding tax),Tax on Adjustments,Promo Spend on food,Tax on Promotion on Food,Promo Spend on Delivery,Tax on Promo Spend on Delivery,Bag Fee,Marketing Service Fee Adjustment,Total Sales after Adjustments (including tax),Uber Service Fee,Delivery Network Fee,Order Processing Fee,Dispatch Fee,Tax on Dispatch Fee,Gratuity,Misc Payment Description,Miscellaneous Payments,Marketplace Facilitator Tax,Backup Withholding Tax,Payout,Payout Date
Ameci Pizza & Pasta - Lake Forest,,,,Unknown,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Restaurant refunds,10.76,0,0,10.76,2020-11-02
Ameci Pizza & Pasta - Lake Forest,,,,Unknown,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Restaurant refunds,5.2,0,0,5.2,2020-11-23
Ameci Pizza & Pasta - Lake Forest,,,,Unknown,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Restaurant refunds,23.42,0,0,23.42,2020-11-23
Ameci Pizza & Pasta - Lake Forest,,,,Unknown,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Restaurant refunds,13.99,0,0,13.99,2020-11-30
Ameci Pizza & Pasta - Lake Forest,,,,Unknown,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Restaurant refunds,13.99,0,0,13.99,2020-11-30
Ameci Pizza & Pasta - Lake Forest,,,,Unknown,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Restaurant refunds,15.07,0,0,15.07,2020-11-30
Ameci Pizza & Pasta - Lake Forest,,#76F50,Delivery - Partner Using Uber App,iOS,Completed,2020-10-31,19:02,59.72,4.63,64.35,0,0,0,0,0,0,0,0,64.35,-11.35,0,0,0,0,0,,0,0,0,53,2020-11-02
Ameci Pizza & Pasta - Lake Forest,,#43D7B,Delivery - Partner Using Uber App,iOS,Completed,2020-11-01,11:36,21.24,1.65,22.89,0,0,0,0,0,0,0,0,22.89,-4.04,0,0,0,0,0,,0,0,0,18.85,2020-11-02
Ameci Pizza & Pasta - Lake Forest,,#1202D,Delivery - Partner Using Uber App,iOS,Completed,2020-11-01,12:57,25.47,1.97,27.44,0,0,0,0,0,0,0,0,27.44,-4.84,0,0,0,0,0,,0,0,0,22.6,2020-11-02
Ameci Pizza & Pasta - Lake Forest,,#231E1,Delivery - Partner Using Uber App,Android,Completed,2020-11-01,15:12,35.98,2.79,38.77,0,0,0,0,0,0,0,0,38.77,-6.84,0,0,0,0,0,,0,0,0,31.93,2020-11-02
Ameci Pizza & Pasta - Lake Forest,,#BAF56,Delivery - Partner Using Uber App,iOS,Completed,2020-11-01,16:35,51.46,3.99,55.45,0,0,0,0,0,0,0,0,55.45,-9.78,0,0,0,0,0,,0,0,0,45.67,2020-11-02
Ameci Pizza & Pasta - Lake Forest,,#C9240,Delivery - Partner Using Uber App,Android,Completed,2020-11-01,16:55,24.99,1.94,26.93,0,0,0,0,0,0,0,0,26.93,-4.75,0,0,0,0,0,,0,0,0,22.18,2020-11-02
Ameci Pizza & Pasta - Lake Forest,,#5A29D,Delivery - Partner Using Uber App,iOS,Completed,2020-11-01,20:29,36.73,2.85,39.58,0,0,0,0,0,0,0,0,39.58,-6.98,0,0,0,0,0,,0,0,0,32.6,2020-11-02
Ameci Pizza & Pasta - Lake Forest,,#C7193,Delivery - Partner Using Uber App,Android,Completed,2020-11-01,22:18,17.24,1.34,18.58,0,0,0,0,0,0,0,0,18.58,-3.28,0,0,0,0,0,,0,0,0,15.3,2020-11-02
