"STORE_ID","STORE_NAME","BUSINESS_ID","MERCHANT_STORE_ID","PAYOUT_DATE","SUBTOTAL","TAX_SUBTOTAL","COMMISSION","commission tax","drive charge","marketing fees","error charges","adjustments","total before adjustments","net payout","TRANSACTIONS_START_LOCAL_DATE","TRANSACTIONS_END_LOCAL_DATE","TRANSACTIONS_START_UTC_DATE","TRANSACTIONS_END_UTC_DATE","PAYOUT_ID","TAX_REMITTED_BY_DOORDASH_TO_STATE"
111737,"Ameci Pizza & Pasta (Trabuco Rd)",43504,"NULL","2020-12-01",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,561.70,561.70,"2020-12-01","2020-12-01","2020-12-01","2020-12-01","73386547",0.00
111737,"Ameci Pizza & Pasta (Trabuco Rd)",43504,"NULL","2020-12-02",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,858.80,858.80,"2020-12-02","2020-12-02","2020-12-02","2020-12-02","73421196",0.00
111737,"Ameci Pizza & Pasta (Trabuco Rd)",43504,"NULL","2020-12-03",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,641.80,641.80,"2020-12-03","2020-12-03","2020-12-03","2020-12-03","73469576",0.00
111737,"Ameci Pizza & Pasta (Trabuco Rd)",43504,"NULL","2020-12-04",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,553.28,553.28,"2020-12-04","2020-12-04","2020-12-04","2020-12-04","73737285",0.00
111737,"Ameci Pizza & Pasta (Trabuco Rd)",43504,"NULL","2020-12-07",2161.43,193.66,532.79,0.00,0.00,0.00,7.14,0.00,1815.16,1815.16,"2020-12-01","2020-12-07","2020-12-01","2020-12-07","73786177",0.00
111737,"Ameci Pizza & Pasta (Trabuco Rd)",43504,"NULL","2020-12-08",920.88,82.90,220.34,0.00,0.00,0.00,4.55,0.00,778.89,778.89,"2020-12-04","2020-12-08","2020-12-04","2020-12-08","74593361",0.00
111737,"Ameci Pizza & Pasta (Trabuco Rd)",43504,"NULL","2020-12-09",778.77,70.08,194.73,0.00,0.00,0.00,9.90,0.00,644.22,644.22,"2020-12-05","2020-12-09","2020-12-05","2020-12-09","74633302",0.00
111737,"Ameci Pizza & Pasta (Trabuco Rd)",43504,"NULL","2020-12-10",887.92,79.92,222.02,0.00,0.00,0.00,4.55,0.00,741.27,741.27,"2020-12-06","2020-12-10","2020-12-06","2020-12-10","74679813",0.00
111737,"Ameci Pizza & Pasta (Trabuco Rd)",43504,"NULL","2020-12-11",343.39,30.92,85.87,0.00,0.00,0.00,0.00,0.00,288.44,288.44,"2020-12-07","2020-12-11","2020-12-07","2020-12-11","74955022",0.00
111737,"Ameci Pizza & Pasta (Trabuco Rd)",43504,"NULL","2020-12-14",2336.98,210.37,572.25,0.00,0.00,0.00,13.14,0.00,1961.96,1961.96,"2020-12-08","2020-12-14","2020-12-08","2020-12-14","75002726",0.00
111737,"Ameci Pizza & Pasta (Trabuco Rd)",43504,"NULL","2020-12-15",1356.87,122.14,337.60,0.00,0.00,0.00,14.88,0.00,1126.53,1126.53,"2020-12-11","2020-12-15","2020-12-11","2020-12-15","75814000",0.00
111737,"Ameci Pizza & Pasta (Trabuco Rd)",43504,"NULL","2020-12-16",1369.18,123.25,339.08,0.00,0.00,0.00,12.82,0.00,1140.53,1140.53,"2020-12-12","2020-12-16","2020-12-12","2020-12-16","75851574",0.00
111737,"Ameci Pizza & Pasta (Trabuco Rd)",43504,"NULL","2020-12-17",943.81,84.96,236.01,0.00,0.00,0.00,8.48,0.00,784.28,784.28,"2020-12-13","2020-12-17","2020-12-13","2020-12-17","75900006",0.00
111737,"Ameci Pizza & Pasta (Trabuco Rd)",43504,"NULL","2020-12-18",557.57,44.18,118.20,0.00,0.00,0.00,0.00,0.00,483.55,483.55,"2020-12-14","2020-12-18","2020-12-14","2020-12-18","76180942",0.00
111737,"Ameci Pizza & Pasta (Trabuco Rd)",43504,"NULL","2020-12-21",2335.02,210.19,576.31,0.00,0.00,0.00,33.49,0.00,1935.41,1935.41,"2020-12-15","2020-12-21","2020-12-15","2020-12-21","76248702",0.00
111737,"Ameci Pizza & Pasta (Trabuco Rd)",43504,"NULL","2020-12-22",1364.84,122.88,336.82,0.00,0.00,0.00,14.48,0.00,1136.42,1136.42,"2020-12-18","2020-12-22","2020-12-18","2020-12-22","77144940",0.00
111737,"Ameci Pizza & Pasta (Trabuco Rd)",43504,"NULL","2020-12-23",1067.07,96.07,262.54,0.00,0.00,0.00,0.00,0.00,900.60,900.60,"2020-12-19","2020-12-23","2020-12-19","2020-12-23","77182407",0.00
111737,"Ameci Pizza & Pasta (Trabuco Rd)",43504,"NULL","2020-12-24",1097.35,98.80,271.41,0.00,0.00,0.00,0.00,0.00,924.74,924.74,"2020-12-20","2020-12-24","2020-12-20","2020-12-24","77231591",0.00
111737,"Ameci Pizza & Pasta (Trabuco Rd)",43504,"NULL","2020-12-25",958.89,86.35,230.95,0.00,0.00,0.00,0.00,0.00,814.29,814.29,"2020-12-21","2020-12-25","2020-12-21","2020-12-25","77511903",0.00
111737,"Ameci Pizza & Pasta (Trabuco Rd)",43504,"NULL","2020-12-28",2404.81,216.45,588.34,0.00,0.00,0.00,17.99,0.00,2014.93,2014.93,"2020-12-22","2020-12-28","2020-12-22","2020-12-28","77575685",0.00
111737,"Ameci Pizza & Pasta (Trabuco Rd)",43504,"NULL","2020-12-30",608.53,54.76,152.16,0.00,0.00,0.00,0.00,0.00,511.13,511.13,"2020-12-26","2020-12-30","2020-12-26","2020-12-30","78410301",0.00
111737,"Ameci Pizza & Pasta (Trabuco Rd)",43504,"NULL","2020-12-31",1238.68,111.50,303.10,0.00,0.00,0.00,16.51,0.00,1030.57,1030.57,"2020-12-26","2020-12-31","2020-12-26","2020-12-31","78456794",0.00
111737,"Ameci Pizza & Pasta (Trabuco Rd)",43504,"NULL","2021-01-01",1237.44,111.38,305.29,0.00,0.00,0.00,22.54,0.00,0.00,0.00,"2020-12-28","2020-12-28","2020-12-28","2020-12-29","78733504",0.00
111737,"Ameci Pizza & Pasta (Trabuco Rd)",43504,"NULL","2021-01-04",3092.04,278.36,770.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"2020-12-29","2020-12-31","2020-12-29","2021-01-01","78803064",0.00
111737,"Ameci Pizza & Pasta (Trabuco Rd)",43504,"NULL","PENDING",0.00,0.00,0.00,0.00,0.00,0.00,6.10,11.95,-11.95,5.85,"2020-12-01","2020-12-26","2020-12-02","2020-12-26","PENDING",0.00
