,,Ameci Pizza & Pasta - Lake Forest,,,,,
,,,,Start Date,,12/1/2020,
,,,,,End Date,1/1/2021,
,,,,Prepaid Total,,$450.85,
,,,,Taxes Withheld,,$34.07,
,Orders,Subtotal,Tax,Delivery,Tip,,Total
Card,17,$327.67,$0.00,$51.00,$72.18,$450.85,
Cash,0,$0.00,$0.00,$0.00,,-,$0.00
Total,17,$327.67,$0.00,$51.00,$72.18,$450.85,
,,Charge,,,,,Note
Prepaid Total,,$450.85,,,,,
Commission (Comm),,($57.35),,,,,
Processing (Proc),,($20.87),,,,,
Total Charges,,($78.22),,,,,
12/2/2020,,,ID,Tip,Total,Proc,Comm
12:31 PM,Delivery,CARD,24578195,$4.41,$23.18,$1.11,$2.76
12/4/2020,,,ID,Tip,Total,Proc,Comm
12:24 PM,Delivery,CARD,24616019,$3.52,$22.29,$1.08,$2.76
12/7/2020,,,ID,Tip,Total,Proc,Comm
2:06 PM,Delivery,CARD,24685949,$4.41,$23.18,$1.11,$2.76
12/9/2020,,,ID,Tip,Total,Proc,Comm
12:45 PM,Delivery,CARD,24717094,$4.41,$23.18,$1.11,$2.76
12/11/2020,,,ID,Tip,Total,Proc,Comm
12:29 PM,Delivery,CARD,24755427,$4.41,$23.18,$1.11,$2.76
12/15/2020,,,ID,Tip,Total,Proc,Comm
11:43 AM,Delivery,CARD,24838481,$4.41,$23.18,$1.11,$2.76
12/17/2020,,,ID,Tip,Total,Proc,Comm
12:29 PM,Delivery,CARD,24874467,$4.41,$23.18,$1.11,$2.76
12:58 PM,Delivery,CARD,24874887,$6.00,$52.35,$2.13,$7.59
1:37 PM,Delivery,CARD,24875478,$2.00,$24.74,$1.17,$3.45
12/18/2020,,,ID,Tip,Total,Proc,Comm
8:09 PM,Delivery,CARD,24914049,$2.00,$30.47,$1.37,$4.46
12/19/2020,,,ID,Tip,Total,Proc,Comm
4:42 PM,Delivery,CARD,24932095,$3.06,$23.04,$1.11,$2.97
5:41 PM,Delivery,CARD,24934531,$5.58,$28.63,$1.30,$3.51
12/21/2020,,,ID,Tip,Total,Proc,Comm
2:50 PM,Delivery,CARD,24963235,$3.52,$22.29,$1.08,$2.76
12/22/2020,,,ID,Tip,Total,Proc,Comm
3:04 PM,Delivery,CARD,24979960,$4.41,$23.18,$1.11,$2.76
12/26/2020,,,ID,Tip,Total,Proc,Comm
4:43 PM,Delivery,CARD,25038417,$5.58,$28.63,$1.30,$3.51
12/29/2020,,,ID,Tip,Total,Proc,Comm
11:46 AM,Delivery,CARD,25081036,$4.47,$27.52,$1.26,$3.51
12/30/2020,,,ID,Tip,Total,Proc,Comm
12:22 PM,Delivery,CARD,25098289,$5.58,$28.63,$1.30,$3.51
,Phone: (866) 654-8777,,Email: support@eatstreet.com,,,,
