Store Name,Store ID,Order ID,Workflow ID,Dining Mode,Order Channel,Order Status,Order Date / Refund date,Order Accept Time,Food Sales (excluding tax),Tax on Food Sales,Food sales (including tax),Adjustments (excluding tax),Tax on Adjustments,Promo Spend on food,Tax on Promotion on Food,Promo Spend on Delivery,Tax on Promo Spend on Delivery,Bag Fee,Marketing Service Fee Adjustment,Total Sales after Adjustments (including tax),Uber Service Fee,Delivery Network Fee,Order Processing Fee,Dispatch Fee,Tax on Dispatch Fee,Gratuity,Misc Payment Description,Miscellaneous Payments,Marketplace Facilitator Tax,Backup Withholding Tax,Payout,Payout Date
Ameci Pizza & Pasta - Lake Forest,,,,,Unknown,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Restaurant refunds,15.88,0,0,15.88,2020-12-07
Ameci Pizza & Pasta - Lake Forest,,,,,Unknown,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Restaurant refunds,4.3,0,0,4.3,2020-12-21
Ameci Pizza & Pasta - Lake Forest,,,,,Unknown,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Restaurant refunds,9.69,0,0,9.69,2020-12-21
Ameci Pizza & Pasta - Lake Forest,,,,,Unknown,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Restaurant refunds,9.69,0,0,9.69,2020-12-21
Ameci Pizza & Pasta - Lake Forest,,,,,Unknown,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Restaurant refunds,16.15,0,0,16.15,2020-12-21
Ameci Pizza & Pasta - Lake Forest,,,,,Unknown,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Restaurant refunds,46.79,0,0,46.79,2021-01-04
Ameci Pizza & Pasta - Lake Forest,,#55939,fa76538c-115c-4e08-a3c5-bd04be155939,,Unknown,Refund,2020-11-29,18:18,-14.74,-1.14,-15.88,0,0,0,0,0,0,0,,0,0,,,0,0,0,,0,0,0,-15.88,2020-12-07
Ameci Pizza & Pasta - Lake Forest,,#C9210,908b19bc-f938-4dd7-9a12-0241ca0c9210,Delivery - Partner Using Uber App,Uber Eats Web,Completed,2020-12-01,11:57,132.23,10.25,142.48,0,0,0,0,0,0,0,0,142.48,-25.12,0,0,0,0,0,,0,0,0,117.36,2020-12-07
Ameci Pizza & Pasta - Lake Forest,,#10EC7,0291cc89-6388-424f-ad1b-8af17fd10ec7,Delivery - Partner Using Uber App,Uber Eats Web,Completed,2020-12-01,15:54,24.47,1.9,26.37,0,0,0,0,0,0,0,0,26.37,-4.65,0,0,0,0,0,,0,0,0,21.72,2020-12-07
Ameci Pizza & Pasta - Lake Forest,,#E0B7F,d9089374-c340-4145-9364-f84ae57e0b7f,Delivery - Partner Using Uber App,Android,Completed,2020-12-01,16:07,10.28,0.8,11.08,0,0,0,0,0,0,0,0,11.08,-1.95,0,0,0,0,0,,0,0,0,9.13,2020-12-07
Ameci Pizza & Pasta - Lake Forest,,#62854,9dbae616-4864-46ed-acc2-adef54062854,Delivery - Partner Using Uber App,iOS,Completed,2020-12-01,16:49,61.96,4.8,66.76,0,0,0,0,0,0,0,0,66.76,-11.77,0,0,0,0,0,,0,0,0,54.99,2020-12-07
Ameci Pizza & Pasta - Lake Forest,,#2D849,1ff273ce-f2c4-45bf-b8ce-62ec3d92d849,Delivery - Partner Using Uber App,Android,Completed,2020-12-01,18:12,20.99,1.63,22.62,0,0,0,0,0,0,0,0,22.62,-3.99,0,0,0,0,0,,0,0,0,18.63,2020-12-07
Ameci Pizza & Pasta - Lake Forest,,#DAA42,b70febe7-b9d7-49cc-a349-c6ef02ddaa42,Delivery - Partner Using Uber App,iOS,Completed,2020-12-01,20:38,27.23,2.11,29.34,0,0,0,0,0,0,0,0,29.34,-5.17,0,0,0,0,0,,0,0,0,24.17,2020-12-07
