Ameci Pizza,,,,,,& Pasta - Lake,,,,Forest,,
,,,,,,Start Date,,,,1/1/2021,,
,,,,,,End Date,,,,2/1/2021,,
,,,,,,Prepaid Total,,,,$546.17,,
,,,,,,Taxes Withheld,,,,$43.44,,
,Orders,,,Subtotal,Tax,Delivery,,Tip,,Total,,
Card,21,,,$392.65,$0.00,$65.00,,$88.52,,$546.17,,
Cash,0,,,$0.00,$0.00,$0.00,,-,,$0.00,,
Total,21,,,$392.65,$0.00,$65.00,,$88.52,,$546.17,,
,,,,Charge,Note,,,,,,,
Prepaid Total,,,,$546.17,,,,,,,,
Commission (Comm),,,,($68.70),,,,,,,,
Processing (Proc),,,,($25.41),,,,,,,,
Total Charges,,,,($94.11),,,,,,,,
1/2/2021,,,,,ID,Tip,Total,,Proc,,Comm,
12:15 PM,,,Delivery,CARD,25165046,$5.58,$28.63,,$1.30,,$3.51,
1/4/2021,,,,,ID,Tip,Total,,Proc,,Comm,
12:07 PM,,,Delivery,CARD,25206053,$3.52,$22.29,,$1.08,,$2.76,
1/6/2021,,,,,ID,Tip,Total,,Proc,,Comm,
11:44 AM,,,Delivery,CARD,25239929,$3.52,$22.29,,$1.08,,$2.76,
1/7/2021,,,,,ID,Tip,Total,,Proc,,Comm,
11:52 AM,,,Delivery,CARD,25259041,$4.41,$23.18,,$1.11,,$2.76,
1/8/2021,,,,,ID,Tip,Total,,Proc,,Comm,
12:08 PM,,,Delivery,CARD,25279461,$4.41,$23.18,,$1.11,,$2.76,
1/10/2021,,,,,ID,Tip,Total,,Proc,,Comm,
3:50 PM,,,Delivery,CARD,25336955,$5.00,$37.97,,$1.63,,$5.24,
1/11/2021,,,,,ID,Tip,Total,,Proc,,Comm,
11:32 AM,,,Delivery,CARD,25347136,$3.52,$22.29,,$1.08,,$2.76,
1/12/2021,,,,,ID,Tip,Total,,Proc,,Comm,
12:33 PM,,,Delivery,CARD,25363661,$3.52,$22.29,,$1.08,,$2.76,
1/14/2021,,,,,ID,Tip,Total,,Proc,,Comm,
11:30,,AM,Delivery,CARD,25397264,$3.52,$22.29,,$1.08,,$2.76,
4:15,,PM,Delivery,CARD,25405528,$3.82,$28.06,,$1.28,,$3.72,
1/15/2021,,,,,ID,Tip,Total,,Proc,,Comm,
5:47,,PM,Delivery,CARD,25434144,$4.89,$29.86,,$1.35,,$3.84,
1/17/2021,,,,,ID,Tip,Total,,Proc,,Comm,
2:29,,PM,Delivery,CARD,25470718,$4.35,$22.91,,$1.10,,$2.72,
1/19/2021,,,,,ID,Tip,Total,,Proc,,Comm,
11:35,,AM,Delivery,CARD,25501696,$4.54,$23.81,,$1.13,,$2.85,
1/20/2021,,,,,ID,Tip,Total,,Proc,,Comm,
11:59,,AM,Delivery,CARD,25518959,$4.41,$23.18,,$1.11,,$2.76,
1/21/2021,,,,,ID,Tip,Total,,Proc,,Comm,
11:48,,AM,Delivery,CARD,25537562,$4.41,$23.18,,$1.11,,$2.76,
12:40,,PM,Delivery,CARD,25538278,$1.00,$25.97,,$1.21,,$3.84,
1/24/2021,,,,,ID,Tip,Total,,Proc,,Comm,
3:10,,PM,Delivery,CARD,25614402,$4.01,$24.98,,$1.17,,$3.14,
8:22,,PM,Delivery,CARD,25622528,$6.34,$43.06,,$1.81,,$5.55,
1/26/2021,,,,,ID,Tip,Total,,Proc,,Comm,
11:56,,AM,Delivery,CARD,25642796,$4.34,$23.11,,$1.11,,$2.76,
1/28/2021,,,,,ID,Tip,Total,,Proc,,Comm,
11:44,,AM,Delivery,CARD,25679159,$4.41,$23.18,,$1.11,,$2.76,
1/31/2021,,,,,ID,Tip,Total,,Proc,,Comm,
2:30,,PM,Delivery,CARD,25754304,$5.00,$30.46,,$1.37,,$3.93,
Phone: (866) 654-8777     Email: support@eatstreet.com,,,,,,,,,,,,
