,"902 Broadway New York, NY 10010",Ameci Pizza & Pasta,,
,"Activity Period: Fri Jan 1, 2021 to Sun Jan","25431 Trabuco Rd, Lake Forest CA, 92630",,
,"31, 2021",Account ID: 3057,,
,W-9 form reminder,,,
,"For legal reasons, we need your W-9 form and Slice Agreement Acknowledgement. If you haven’t",,,
,"already, return them asap. Talk to your Account Manager or email Partner@SliceLife.com",,,
Summary of Your Activity,,,"From January 1, 2021 to January 31, 2021,",
Prepaid orders,,"$3,011.88","your restaurant made $3,026.38 with Slice.",
86 orders,,"$3,593.65",Activity Details,
Processing fee,,-$143.92,Net Sales,"$2,788.53"
Slice partnership fee,,-$193.50,"Taxes
Sales Tax Withholding","$244.35
-$244.35"
Sales tax withholding,,-$244.35,Cust. Delivery fee,$201.40
6 Phone orders,$250.72,,"Tips
Slice Adjustments","$364.36
$28.00"
Slice partnership fee,,-$13.50,Slice Fees,-$350.92
"6 Slice
Adjustments",,$28.00,Total Earnings,"$3,026.38"
"TOTAL OF 92
ORDERS",$250.72,"$3,026.38",,
,"Paid directly by
your custom ers",Total Earnings,,
Order Activity Report Reminder,,,,
The order activity report is not a statement and it does not,,,,
correspond to a payment. The amounts on this report are,,,,
for your reference and reporting needs. Please refer to your,,,,
official statement on the Owner’s Portal for the finalized,,,,
reporting.,,,,

"902 Broadway New York, NY 10010",,,,,Ameci Pizza & Pasta,,,,,,
"Activity Period: Fri Jan 1, 2021 to Sun Jan",,,,,"25431 Trabuco Rd, Lake Forest CA, 92630",,,,,,
"31, 2021",,,,,Account ID: 3057,,,,,,
Transactions,,,,,,,,,,,
,,,,,Cust.,,,,,,
,,Order,Pickup,,,Order,,,Order,P'ship,Proc.
Date & Time,Order ID,,,Subtotal,Delivery,,Tax,Tips,,,
,,Type,Delivery,,,Adjust.,,,Total,Fee,Fee
,,,,,Fee,,,,,,
"Jan 01, 2021
Friday
11:48am",39239611,Credit,Delivery,$33.99,$2.99,-$0.01,$3.03,$5.10,$45.10,-$2.25,-$1.80
"Jan 01, 2021
Friday
7:13pm",39278239,Credit,Delivery,$25.16,$2.99,$0.00,$2.33,$5.03,$35.51,-$2.25,-$1.42
"Jan 02, 2021
Saturday
2:35pm",39305511,Credit,Pickup,$21.25,$0.00,$0.00,$1.78,$0.00,$23.03,-$2.25,-$0.92
"Jan 02, 2021
Saturday
4:00pm",39320909,Credit,Pickup,$19.00,$0.00,-$0.01,$1.60,$0.00,$20.59,-$2.25,-$0.82
"Jan 02, 2021
Saturday
5:58pm",39333007,Credit,Delivery,$35.97,$1.99,$0.00,$3.04,$5.40,$46.40,-$2.25,-$1.86
"Jan 03, 2021
Sunday
12:00pm",39348515,Credit,Delivery,$18.97,$2.99,$0.00,$1.76,$2.85,$26.57,-$2.25,-$1.06
"Jan 03, 2021
Sunday
3:25pm",39371270,Credit,Delivery,$43.55,$4.99,$0.00,$3.96,$8.71,$61.21,-$2.25,-$2.45
"Jan 03, 2021
Sunday
4:21pm",39376843,Credit,Delivery,$30.00,$2.99,-$0.01,$2.64,$4.50,$40.12,-$2.25,-$1.60
"Jan 03, 2021
Sunday
5:22pm",11648841,Phone,-,-,-,-,-,-,-,-$2.25,-
"Jan 04, 2021
Monday
5:02pm",39412003,Credit,Pickup,$72.44,$0.00,$0.00,$5.80,$10.87,$89.11,-$2.25,-$3.56
"Jan 04, 2021
Monday
6:23pm",39414913,Credit,Delivery,$39.96,$2.99,$0.00,$3.44,$10.00,$56.39,-$2.25,-$2.26
"Jan 04, 2021
Monday
6:50pm",39415429,Credit,Delivery,$37.62,$2.99,$0.00,$3.32,$5.64,$49.57,-$2.25,-$1.98
"Jan 04, 2021
Monday
7:11pm",39415717,Credit,Delivery,$16.43,$1.99,$0.00,$1.55,$5.00,$24.97,-$2.25,-$1.00
"Jan 05, 2021",,,,,,,,,,,
Tuesday,39435627,Credit,Delivery,$34.48,$1.99,-$0.01,$2.92,$3.45,$42.83,-$2.25,-$1.71
2:53pm,,,,,,,,,,,

"Jan 05, 2021
Tuesday
4:10pm",39443320,Credit,Delivery,$16.98,$1.99,$0.00,$1.52,$2.00,$22.49,-$2.25,-$0.90
"Jan 05, 2021
Tuesday
4:49pm",39446139,Credit,Delivery,$33.72,$2.99,$0.00,$3.01,$4.00,$43.72,-$2.25,-$1.75
"Jan 05, 2021
Tuesday
4:53pm",39446381,Credit,Delivery,$41.96,$1.99,$0.00,$3.52,$6.29,$53.76,-$2.25,-$2.15
"Jan 05, 2021
Tuesday
6:25pm",39450274,Credit,Delivery,$52.72,$2.99,$0.00,$4.46,$5.27,$65.44,-$2.25,-$2.62
"Jan 06, 2021
Wednesday
6:25pm",39492564,Credit,Delivery,$40.71,$6.99,$0.00,$3.89,$4.07,$55.66,-$2.25,-$2.23
"Jan 07, 2021
Thursday
5:29pm",39533096,Credit,Delivery,$27.97,$2.99,$0.00,$2.48,$5.59,$39.03,-$2.25,-$1.56
"Jan 07, 2021
Thursday
6:23pm",39535338,Credit,Pickup,$26.46,$0.00,$0.00,$2.12,$3.97,$32.55,-$2.25,-$1.30
"Jan 08, 2021
Friday
5:07pm",39608100,Credit,Pickup,$24.99,$0.00,$0.00,$2.00,$0.00,$26.99,-$2.25,-$1.08
"Jan 08, 2021
Friday
7:08pm",39617438,Credit,Delivery,$36.72,$6.99,$0.00,$3.57,$7.00,$54.28,-$2.25,-$2.17
