"TIMESTAMP_UTC_TIME","TIMESTAMP_UTC_DATE","TIMESTAMP_LOCAL_TIME","TIMESTAMP_LOCAL_DATE","PAYOUT_TIME","PAYOUT_DATE","STORE_ID","BUSINESS_ID","STORE_NAME","MERCHANT_STORE_ID","TRANSACTION_TYPE","TRANSACTION_ID","DOORDASH_ORDER_ID","MERCHANT_DELIVERY_ID","EXTERNAL_ID","DESCRIPTION","FINAL_ORDER_STATUS","CURRENCY","SUBTOTAL","TAX_SUBTOTAL","COMMISSION","COMMISSION_TAX_AMOUNT","MARKETING_FEES","STAFF_TIP","CREDIT","DEBIT","DOORDASH_TRANSACTION_ID","PAYOUT_ID","DRIVE_CHARGE","TAX_REMITTED_BY_DOORDASH_TO_STATE","PAYOUT_STATUS"
"08:35:12","2021-02-01","00:35:12","2021-02-01","2021-02-01 08:35:12.480229000","2021-02-01",111737,43504,"Ameci Pizza & Pasta (Trabuco Rd)","NULL","PAYOUT","120531309","NULL","N/A","N/A","NULL","N/A","USD",2516.94,0.00,0.00,0.00,0.00,0.00,0.00,2516.94,"NULL",120531309,0.00,0.00,"paid"
"20:07:12","2021-02-01","12:07:12","2021-02-01","2021-02-05 08:33:10.935212000","2021-02-05",111737,43504,"Ameci Pizza & Pasta (Trabuco Rd)","NULL","DELIVERY","be8be1c6-b45d-4d21-be11-ef9a74d33d57","=""74d33d57""","NULL","NULL","Order Received Time: 2021-02-01 19:43:51.587568000
Order Pickup Time: 2021-02-01 20:07:12.334363000","Delivered","USD",22.98,2.07,5.75,0.00,0.00,0.00,19.30,0.00,"1766883769",121878552,0.00,0.00,"paid"
"20:28:53","2021-02-01","12:28:53","2021-02-01","2021-02-05 08:33:10.935212000","2021-02-05",111737,43504,"Ameci Pizza & Pasta (Trabuco Rd)","NULL","DELIVERY","ae75cd41-ded5-4a77-81cb-b23aad5df0bf","=""ad5df0bf""","NULL","NULL","Order Received Time: 2021-02-01 20:12:40.224324000
Order Pickup Time: 2021-02-01 20:28:53.435092000","Delivered","USD",25.97,2.34,6.49,0.00,0.00,0.00,21.82,0.00,"1766983253",121878552,0.00,0.00,"paid"
"21:03:37","2021-02-01","13:03:37","2021-02-01","2021-02-05 08:33:10.935212000","2021-02-05",111737,43504,"Ameci Pizza & Pasta (Trabuco Rd)","NULL","DELIVERY","9c409b4d-e169-40b1-8b2c-fb46f6afeb5d","=""f6afeb5d""","NULL","NULL","Order Received Time: 2021-02-01 20:46:36.470593000
Order Pickup Time: 2021-02-01 21:03:37.448944000","Delivered","USD",23.97,2.16,5.99,0.00,0.00,0.00,20.14,0.00,"1767138675",121878552,0.00,0.00,"paid"
"22:44:20","2021-02-01","14:44:20","2021-02-01","2021-02-05 08:33:10.935212000","2021-02-05",111737,43504,"Ameci Pizza & Pasta (Trabuco Rd)","NULL","DELIVERY","8326c6d4-ee8b-4bc1-8df1-d8024c112c28","=""4c112c28""","NULL","NULL","Order Received Time: 2021-02-01 22:25:32.233203000
Order Pickup Time: 2021-02-01 22:44:20.421857000","Delivered","USD",14.99,1.35,3.75,0.00,0.00,0.00,12.59,0.00,"1767604710",121878552,0.00,0.00,"paid"
"00:13:09","2021-02-02","16:13:09","2021-02-01","2021-02-05 08:33:10.935212000","2021-02-05",111737,43504,"Ameci Pizza & Pasta (Trabuco Rd)","NULL","DELIVERY","ddf914f0-bdfb-4647-85a9-4aa6050dc5b0","=""050dc5b0""","NULL","NULL","Order Received Time: 2021-02-01 23:53:12.175269000
Order Pickup Time: 2021-02-02 00:13:09.924286000","Delivered","USD",13.99,1.26,3.50,0.00,0.00,0.00,11.75,0.00,"1768117507",121878552,0.00,0.00,"paid"
"00:30:41","2021-02-02","16:30:41","2021-02-01","2021-02-05 08:33:10.935212000","2021-02-05",111737,43504,"Ameci Pizza & Pasta (Trabuco Rd)","NULL","DELIVERY","9b7b3c12-5c3a-44f5-ad92-d3248388c809","=""8388c809""","NULL","NULL","Order Received Time: 2021-02-02 00:09:40.281555000
Order Pickup Time: 2021-02-02 00:30:41.006624000","Delivered","USD",20.98,1.89,5.25,0.00,0.00,0.00,17.62,0.00,"1768228306",121878552,0.00,0.00,"paid"
"01:27:34","2021-02-02","17:27:34","2021-02-01","2021-02-05 08:33:10.935212000","2021-02-05",111737,43504,"Ameci Pizza & Pasta (Trabuco Rd)","NULL","DELIVERY","16a001b4-51e3-468c-8860-1515884dd7e9","=""884dd7e9""","NULL","NULL","Order Received Time: 2021-02-02 00:56:20.767152000
Order Pickup Time: 2021-02-02 01:27:34.200969000","Delivered","USD",82.37,7.41,20.59,0.00,0.00,0.00,69.19,0.00,"1768593678",121878552,0.00,0.00,"paid"
"01:31:21","2021-02-02","17:31:21","2021-02-01","2021-02-05 08:33:10.935212000","2021-02-05",111737,43504,"Ameci Pizza & Pasta (Trabuco Rd)","NULL","DELIVERY","06a5b0fe-b6a0-4c1e-981a-5626483201e7","=""483201e7""","NULL","NULL","Order Received Time: 2021-02-02 01:07:45.161331000
Order Pickup Time: 2021-02-02 01:31:21.642673000","Delivered","USD",36.95,3.33,9.24,0.00,0.00,0.00,31.04,0.00,"1768617973",121878552,0.00,0.00,"paid"
"01:33:02","2021-02-02","17:33:02","2021-02-01","2021-02-05 08:33:10.935212000","2021-02-05",111737,43504,"Ameci Pizza & Pasta (Trabuco Rd)","NULL","DELIVERY","ab3fe11a-a144-426d-af2b-d83fe91acac5","=""e91acac5""","NULL","NULL","Order Received Time: 2021-02-02 01:12:32.699734000
Order Pickup Time: 2021-02-02 01:33:02.523090000","Delivered","USD",23.97,2.16,5.99,0.00,0.00,0.00,20.14,0.00,"1768629094",121878552,0.00,0.00,"paid"
