,"902 Broadway New York, NY 10010",Ameci Pizza & Pasta,,
,"Activity Period: Mon Feb 1, 2021 to Sun","25431 Trabuco Rd, Lake Forest CA, 92630",,
,"Feb 28, 2021",Account ID: 3057,,
,W-9 form reminder,,,
,"For legal reasons, we need your W-9 form and Slice Agreement Acknowledgement. If you haven’t",,,
,"already, return them asap. Talk to your Account Manager or email Partner@SliceLife.com",,,
Summary of Your Activity,,,"From February 1, 2021 to February 28,",
Prepaid orders,,"$2,733.21","2021, your restaurant made $2,764.46 with
Slice.",
74 orders,,"$3,250.89",Activity Details,
Processing fee,,-$130.16,,
Slice partnership fee,,-$166.50,"Net Sales
Taxes","$2,550.86
$221.02"
Sales tax withholding,,-$221.02,Sales Tax Withholding,-$221.02
7 Phone orders,$307.78,,"Cust. Delivery fee
Tips","$163.54
$315.47"
Slice partnership fee,,-$15.75,"Slice Adjustments
Slice Fees","$47.00
-$312.41"
7 Slice,,$47.00,,
Adjustments,,,Total Earnings,"$2,764.46"
TOTAL OF 81,$307.78,"$2,764.46",,
ORDERS,,,,
,"Paid directly by
your custom ers",Total Earnings,,
Order Activity Report Reminder,,,,
The order activity report is not a statement and it does not,,,,
correspond to a payment. The amounts on this report are,,,,
for your reference and reporting needs. Please refer to your,,,,
official statement on the Owner’s Portal for the finalized,,,,
reporting.,,,,

"902 Broadway New York, NY 10010",,,,,Ameci Pizza & Pasta,,,,,,
"Activity Period: Mon Feb 1, 2021 to Sun",,,,,"25431 Trabuco Rd, Lake Forest CA, 92630",,,,,,
"Feb 28, 2021",,,,,Account ID: 3057,,,,,,
Transactions,,,,,,,,,,,
,,,,,Cust.,,,,,,
,,Order,Pickup,,,Order,,,Order,P'ship,Proc.
Date & Time,Order ID,,,Subtotal,Delivery,,Tax,Tips,,,
,,Type,Delivery,,,Adjust.,,,Total,Fee,Fee
,,,,,Fee,,,,,,
"Feb 01, 2021
Monday
6:38pm",40821000,Credit,Delivery,$25.00,$4.99,$0.00,$2.40,$3.75,$36.22,-$2.25,-$1.45
"Feb 02, 2021
Tuesday
3:41pm",40848976,Credit,Pickup,$35.95,$0.00,$0.00,$2.88,$0.00,$38.90,-$2.25,-$1.56
"Feb 03, 2021
Wednesday
1:45pm",40875089,Credit,Delivery,$16.98,$1.99,$0.00,$1.52,$4.25,$24.81,-$2.25,-$0.99
"Feb 03, 2021
Wednesday
3:14pm",40886484,Credit,Pickup,$45.71,$0.00,$0.00,$3.66,$6.86,$56.30,-$2.25,-$2.25
"Feb 03, 2021
Wednesday
6:13pm",11816142,Phone,-,-,-,-,-,-,-,-$2.25,-
"Feb 04, 2021
Thursday
11:09am",40910947,Credit,Pickup,$45.39,$0.00,$0.00,$3.63,$0.00,$49.10,-$2.25,-$1.96
"Feb 04, 2021
Thursday
5:15pm",40943099,Credit,Pickup,$30.97,$0.00,$0.00,$2.48,$0.00,$33.45,-$2.25,-$1.34
"Feb 04, 2021
Thursday
6:01pm",40945534,Credit,Delivery,$46.97,$2.99,$0.00,$4.00,$5.00,$58.96,-$2.25,-$2.36
"Feb 04, 2021
Thursday
6:12pm",40945979,Credit,Pickup,$21.24,$0.00,$0.00,$1.70,$0.00,$22.94,-$2.25,-$0.92
"Feb 04, 2021
Thursday
6:28pm",40946478,Credit,Delivery,$34.48,$2.99,$0.00,$3.00,$6.90,$47.37,-$2.25,-$1.89
"Feb 05, 2021
Friday
4:25pm",41014488,Credit,Delivery,$34.22,$2.99,$0.00,$2.98,$6.84,$47.03,-$2.25,-$1.88
"Feb 05, 2021
Friday
4:53pm",41019279,Credit,Pickup,$24.99,$0.00,$0.00,$2.00,$0.00,$26.99,-$2.25,-$1.08
"Feb 05, 2021
Friday
6:05pm",41027617,Credit,Delivery,$63.96,$1.99,$0.00,$5.28,$6.40,$77.63,-$2.25,-$3.11
"Feb 05, 2021",,,,,,,,,,,
Friday,41031429,Credit,Pickup,$16.49,$0.00,$0.00,$1.32,$0.00,$17.89,-$2.25,-$0.72
7:15pm,,,,,,,,,,,

"Feb 06, 2021
Saturday
11:15am",41042650,Credit,Delivery,$17.48,$4.99,$0.00,$1.80,$2.62,$26.89,-$2.25,-$1.08
"Feb 06, 2021
Saturday
5:22pm",41090792,Credit,Pickup,$19.00,$0.00,-$0.01,$1.52,$0.00,$20.59,-$2.25,-$0.82
"Feb 06, 2021
Saturday
5:46pm",41092918,Credit,Delivery,$38.21,$4.99,$0.00,$3.46,$7.64,$54.30,-$2.25,-$2.17
"Feb 06, 2021
Saturday
7:12pm",41097433,Credit,Delivery,$63.94,$4.99,$0.00,$5.51,$12.79,$87.23,-$2.25,-$3.49
"Feb 07, 2021
Sunday
2:25pm",11840486,Phone,-,-,-,-,-,-,-,-$2.25,-
"Feb 07, 2021
Sunday
2:44pm",11840944,Phone,-,-,-,-,-,-,-,-$2.25,-
"Feb 07, 2021
Sunday
5:01pm",41161867,Credit,Pickup,$28.16,$0.00,$0.00,$2.25,$0.00,$30.49,-$2.25,-$1.22
"Feb 07, 2021
Sunday
7:19pm",41166255,Credit,Pickup,$22.51,$0.00,$0.00,$1.80,$0.00,$24.39,-$2.25,-$0.98
"Feb 08, 2021
Monday
4:47pm",41190503,Credit,Delivery,$17.24,$4.99,$0.00,$1.78,$2.59,$26.60,-$2.25,-$1.06
"Feb 09, 2021
Tuesday
6:56pm",41238285,Credit,Delivery,$29.98,$6.99,$0.00,$2.96,$4.50,$44.43,-$2.25,-$1.78
"Feb 09, 2021
Tuesday
7:11pm",41238582,Credit,Pickup,$30.00,$0.00,-$0.01,$2.40,$0.00,$32.39,-$2.25,-$1.30
"Feb 10, 2021
Wednesday
1:03pm",41250681,Credit,Pickup,$22.25,$0.00,$0.00,$1.78,$3.00,$27.11,-$2.25,-$1.08
"Feb 10, 2021
Wednesday
5:17pm",11855676,Phone,-,-,-,-,-,-,-,-$2.25,-
"Feb 10, 2021
Wednesday
6:14pm",41277302,Credit,Delivery,$34.47,$2.99,$0.00,$3.00,$10.00,$50.46,-$2.25,-$2.02
"Feb 10, 2021
Wednesday
7:22pm",41278724,Credit,Delivery,$68.96,$2.99,$0.00,$5.76,$6.00,$83.78,-$2.25,-$3.35
"Feb 11, 2021
Thursday
5:21pm",11860587,Phone,-,-,-,-,-,-,-,-$2.25,-
"Feb 11, 2021",,,,,,,,,,,
Thursday,41320872,Credit,Delivery,$34.96,$2.99,$0.00,$3.04,$6.99,$47.98,-$2.25,-$1.92
5:32pm,,,,,,,,,,,

"Feb 12, 2021
Friday
12:47pm",41340118,Credit,Delivery,$26.67,$4.99,$0.00,$2.53,$4.00,$38.27,-$2.25,-$1.53
"Feb 12, 2021
Friday
2:31pm",41358749,Credit,Pickup,$26.99,$0.00,$0.00,$2.16,$0.00,$29.15,-$2.25,-$1.17
"Feb 12, 2021
Friday
6:01pm",41401525,Credit,Pickup,$26.73,$0.00,$0.00,$2.14,$4.01,$32.95,-$2.25,-$1.32
"Feb 12, 2021
Friday
8:08pm",41406646,Credit,Delivery,$35.97,$1.99,$0.00,$3.04,$5.40,$46.40,-$2.25,-$1.86
"Feb 12, 2021
Friday
8:20pm",41406836,Credit,Pickup,$24.96,$0.00,$0.00,$2.00,$3.53,$30.49,-$2.25,-$1.22
