Store Name,Store ID,Order ID,Workflow ID,Dining Mode,Order Channel,Order Status,Order Date / Refund date,Order Accept Time,Food Sales (excluding tax),Tax on Food Sales,Food sales (including tax),Adjustments (excluding tax),Tax on Adjustments,Promo Spend on food,Tax on Promotion on Food,Special Offer - Delivery,Tax on Special Offer - Delivery,Bag Fee,Marketing Service Fee Adjustment,Total Sales after Adjustments (including tax),Uber Service Fee,Delivery Network Fee,Order Processing Fee,Dispatch Fee,Tax on Dispatch Fee,Gratuity,Misc Payment Description,Miscellaneous Payments,Marketplace Facilitator Tax,Backup Withholding Tax,Payout,Payout Date
Ameci Pizza & Pasta - Lake Forest,,,,,Unknown,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Restaurant refunds,16.15,0,0,16.15,2021-02-15
Ameci Pizza & Pasta - Lake Forest,,,,,Unknown,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Restaurant refunds,35.43,0,0,35.43,2021-02-15
Ameci Pizza & Pasta - Lake Forest,,,,,Unknown,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Restaurant refunds,24.32,0,0,24.32,2021-02-22
Ameci Pizza & Pasta - Lake Forest,,#9FA2A,eb5d6eec-895b-43da-b66f-6ed2dc59fa2a,Delivery - Partner Using Uber App,iOS,Completed,2021-02-01,22:11,40.23,3.12,43.35,0,0,0,0,0,0,0,0,43.35,-7.64,0,0,0,0,0,,0,0,0,35.71,2021-02-08
Ameci Pizza & Pasta - Lake Forest,,#586DE,bb2e8548-a0ef-49b6-8f14-64d0ca7586de,Delivery - Partner Using Uber App,Android,Completed,2021-02-02,14:50,20.98,1.63,22.61,0,0,0,0,0,0,0,0,22.61,-3.99,0,0,0,0,0,,0,0,0,18.62,2021-02-08
Ameci Pizza & Pasta - Lake Forest,,#4A90F,1b642af1-04f6-4174-afb2-f2fdab34a90f,Delivery - Partner Using Uber App,iOS,Completed,2021-02-02,18:24,39.48,3.06,42.54,0,0,0,0,0,0,0,0,42.54,-7.5,0,0,0,0,0,,0,0,0,35.04,2021-02-08
Ameci Pizza & Pasta - Lake Forest,,#0318A,eb0d16e0-4d58-4016-aa7b-42ccc290318a,Delivery - Partner Using Uber App,iOS,Completed,2021-02-02,20:18,18.73,1.45,20.18,0,0,0,0,0,0,0,0,20.18,-3.56,0,0,0,0,0,,0,0,0,16.62,2021-02-08
Ameci Pizza & Pasta - Lake Forest,,#6ED68,11e3d85e-49a0-4782-a0b7-3db1c086ed68,Delivery - Partner Using Uber App,iOS,Completed,2021-02-03,13:06,27.46,2.13,29.59,0,0,0,0,0,0,0,0,29.59,-5.22,0,0,0,0,0,,0,0,0,24.37,2021-02-08
Ameci Pizza & Pasta - Lake Forest,,#4F288,aceafaf5-c93f-46a5-9d09-8bbd9fb4f288,Delivery - Partner Using Uber App,iOS,Completed,2021-02-03,17:32,17.47,1.35,18.82,0,0,0,0,0,0,0,0,18.82,-3.32,0,0,0,0,0,,0,0,0,15.5,2021-02-08
Ameci Pizza & Pasta - Lake Forest,,#16D60,1da1d875-87b7-48ae-acf6-2df028516d60,Delivery - Partner Using Uber App,iOS,Completed,2021-02-03,17:35,16.74,1.3,18.04,0,0,0,0,0,0,0,0,18.04,-3.18,0,0,0,0,0,,0,0,0,14.86,2021-02-08
Ameci Pizza & Pasta - Lake Forest,,#37278,f9173cf3-b85f-40c2-b546-032b9a837278,Delivery - Partner Using Uber App,iOS,Completed,2021-02-03,18:18,18.98,1.47,20.45,0,0,0,0,0,0,0,0,20.45,-3.61,0,0,0,0,0,,0,0,0,16.84,2021-02-08
Ameci Pizza & Pasta - Lake Forest,,#35A80,b353f441-572f-4f6f-8fb0-ad6cbc635a80,Delivery - Partner Using Uber App,iOS,Completed,2021-02-03,21:37,16.97,1.32,18.29,0,0,0,0,0,0,0,0,18.29,-3.22,0,0,0,0,0,,0,0,0,15.07,2021-02-08
Ameci Pizza & Pasta - Lake Forest,,#58667,3c2dbbc3-ac05-4b6c-9f9d-83782e358667,Delivery - Partner Using Uber App,Android,Completed,2021-02-04,17:55,28.32,2.19,30.51,0,0,0,0,0,0,0,0,30.51,-5.38,0,0,0,0,0,,0,0,0,25.13,2021-02-08
Ameci Pizza & Pasta - Lake Forest,,#20926,0ea64210-93a2-4c7d-968b-bad5ab420926,Delivery - Partner Using Uber App,iOS,Completed,2021-02-04,18:19,15.98,1.24,17.22,0,0,0,0,0,0,0,0,17.22,-3.04,0,0,0,0,0,,0,0,0,14.18,2021-02-08
Ameci Pizza & Pasta - Lake Forest,,#EDFDC,6b2956f8-6769-47dd-8214-8b2b8cfedfdc,Delivery - Partner Using Uber App,iOS,Completed,2021-02-04,18:19,21.98,1.7,23.68,0,0,0,0,0,0,0,0,23.68,-4.18,0,0,0,0,0,,0,0,0,19.5,2021-02-08
Ameci Pizza & Pasta - Lake Forest,,#28149,e9f4d85a-24bf-4932-92fd-4caf0c328149,Delivery - Partner Using Uber App,iOS,Completed,2021-02-04,18:20,28.97,2.25,31.22,0,0,0,0,0,0,0,0,31.22,-5.5,0,0,0,0,0,,0,0,0,25.72,2021-02-08
Ameci Pizza & Pasta - Lake Forest,,#BBC3E,190f6a30-7bf8-46da-9dc8-37e7686bbc3e,Delivery - Partner Using Uber App,iOS,Completed,2021-02-04,18:46,40.99,3.18,44.17,0,0,0,0,0,0,0,0,44.17,-7.79,0,0,0,0,0,,0,0,0,36.38,2021-02-08
Ameci Pizza & Pasta - Lake Forest,,#22B5B,a2ef5a10-ac73-4bf1-939b-122f36322b5b,Delivery - Partner Using Uber App,iOS,Completed,2021-02-04,21:19,15.48,1.2,16.68,0,0,0,0,0,0,0,0,16.68,-2.94,0,0,0,0,0,,0,0,0,13.74,2021-02-08
