,"902 Broadway New York, NY 10010",Ameci Pizza & Pasta,,
,"Activity Period: Mon Mar 1, 2021 to Wed","25431 Trabuco Rd, Lake Forest CA, 92630",,
,"Mar 31, 2021",Account ID: 3057,,
,W-9 form reminder,,,
,"For legal reasons, we need your W-9 form and Slice Agreement Acknowledgement. If you haven’t",,,
,"already, return them asap. Talk to your Account Manager or email Partner@SliceLife.com",,,
Summary of Your Activity,,,"From March 1, 2021 to March 31, 2021,",
Prepaid orders,,"$3,904.86","your restaurant made $3,927.60 with Slice.",
100 orders,,"$4,626.15",Activity Details,
Processing fee,,-$185.21,Net Sales,"$3,627.20"
Slice partnership fee,,-$225.00,"Taxes
Sales Tax Withholding","$308.45
-$311.08"
Sales tax withholding,,-$311.08,Cust. Delivery fee,$196.36
13 Phone orders,$601.87,,"Tips
Slice Adjustments","$459.54
$51.99"
Slice partnership fee,,-$29.25,Slice Fees,-$439.46
"7 Slice
Adjustments",,$51.99,Total Earnings,"$3,927.60"
"TOTAL OF 113
ORDERS",$601.87,"$3,927.60",,
,"Paid directly by
your custom ers",Total Earnings,,
Order Activity Report Reminder,,,,
The order activity report is not a statement and it does not,,,,
correspond to a payment. The amounts on this report are,,,,
for your reference and reporting needs. Please refer to your,,,,
official statement on the Owner’s Portal for the finalized,,,,
reporting.,,,,

"902 Broadway New York, NY 10010",,,,,Ameci Pizza & Pasta,,,,,,
"Activity Period: Mon Mar 1, 2021 to Wed",,,,,"25431 Trabuco Rd, Lake Forest CA, 92630",,,,,,
"Mar 31, 2021",,,,,Account ID: 3057,,,,,,
Transactions,,,,,,,,,,,
,,,,,Cust.,,,,,,
,,Order,Pickup,,,Order,,,Order,P'ship,Proc.
Date & Time,Order ID,,,Subtotal,Delivery,,Tax,Tips,,,
,,Type,Delivery,,,Adjust.,,,Total,Fee,Fee
,,,,,Fee,,,,,,
"Mar 01, 2021
Monday
11:20am",11970806,Phone,-,-,-,-,-,-,-,-$2.25,-
"Mar 01, 2021
Monday
5:36pm",42304943,Credit,Delivery,$30.00,$2.99,-$0.01,$2.64,$4.50,$40.12,-$2.25,-$1.60
"Mar 01, 2021
Monday
7:03pm",42307361,Credit,Pickup,$18.99,$0.00,$0.00,$1.52,$2.85,$23.36,-$2.25,-$0.73
"Mar 01, 2021
Monday
7:10pm",11973764,Phone,-,-,-,-,-,-,-,-$2.25,-
"Mar 02, 2021
Tuesday
12:03pm",11975443,Phone,-,-,-,-,-,-,-,-$2.25,-
"Mar 02, 2021
Tuesday
6:12pm",42344286,Credit,Delivery,$37.32,$2.99,$0.00,$3.22,$7.46,$50.99,-$2.25,-$2.04
"Mar 03, 2021
Wednesday
4:38pm",42381269,Credit,Pickup,$48.71,$0.00,$0.00,$3.90,$7.31,$59.99,-$2.25,-$2.40
"Mar 04, 2021
Thursday
2:28pm",42410200,Credit,Pickup,$23.89,$0.00,$0.00,$1.91,$0.00,$25.88,-$2.25,-$1.04
"Mar 04, 2021
Thursday
4:04pm",42424587,Credit,Delivery,$30.97,$2.99,$0.00,$2.72,$6.19,$42.87,-$2.25,-$1.71
"Mar 04, 2021
Thursday
6:06pm",42434565,Credit,Delivery,$52.24,$4.99,$0.00,$4.58,$5.00,$66.88,-$2.25,-$2.68
"Mar 04, 2021
Thursday
6:13pm",42434872,Credit,Pickup,$21.98,$0.00,$0.00,$1.76,$0.00,$23.81,-$2.25,-$0.95
"Mar 04, 2021
Thursday
6:45pm",42435879,Credit,Delivery,$49.97,$2.99,$0.00,$4.24,$5.00,$62.20,-$2.25,-$2.49
"Mar 05, 2021
Friday
11:04am",42448919,Credit,Delivery,$157.52,$2.99,$0.00,$12.84,$20.00,$193.43,-$2.25,-$7.74
"Mar 05, 2021",,,,,,,,,,,
Friday,42472661,Credit,Delivery,$30.56,$2.99,$0.00,$2.68,$6.11,$42.42,-$2.25,-$1.70
2:24pm,,,,,,,,,,,

"Mar 05, 2021
Friday
2:54pm",42482490,Credit,Pickup,$26.99,$0.00,$0.00,$2.16,$0.00,$29.15,-$2.25,-$1.17
"Mar 05, 2021
Friday
4:34pm",11997159,Phone,-,-,-,-,-,-,-,-$2.25,-
"Mar 05, 2021
Friday
4:51pm",42515315,Credit,Delivery,$28.98,$2.99,$0.00,$2.56,$5.00,$39.60,-$2.25,-$1.58
"Mar 05, 2021
Friday
4:52pm",42515479,Credit,Delivery,$28.23,$6.99,$0.00,$2.82,$4.23,$42.27,-$2.25,-$1.69
"Mar 05, 2021
Friday
6:10pm",42525128,Credit,Delivery,$34.47,$2.99,$0.00,$3.00,$10.00,$50.46,-$2.25,-$2.02
"Mar 05, 2021
Friday
6:47pm",42527805,Credit,Pickup,$20.43,$0.00,$0.00,$1.63,$0.00,$22.14,-$2.25,-$0.89
"Mar 05, 2021
Friday
7:30pm",42529766,Credit,Pickup,$12.97,$0.00,$0.00,$1.04,$3.54,$17.55,-$2.25,-$0.70
"Mar 06, 2021
Saturday
2:59pm",42567432,Credit,Delivery,$19.00,$2.99,-$0.01,$1.76,$3.80,$27.54,-$2.25,-$1.10
"Mar 06, 2021
Saturday
3:38pm",42576088,Credit,Delivery,$60.55,$2.99,$0.00,$5.08,$0.00,$68.62,-$2.25,-$2.74
"Mar 06, 2021
Saturday
5:26pm",42594197,Credit,Pickup,$28.94,$0.00,$0.00,$2.32,$4.34,$35.67,-$2.25,-$1.23
