Ameci Pizza,,,,,,& Pasta - Lake,,,,Forest,,
,,,,,,Start Date,,,,4/1/2021,,
,,,,,,End Date,,,,5/1/2021,,
,,,,,,Prepaid Total,,,,$426.76,,
,,,,,,Taxes Withheld,,,,$35.22,,
,Orders,,,Subtotal,Tax,Delivery,,Tip,,Total,,
Card,14,,,$312.08,$0.00,$44.00,,$70.68,,$426.76,,
Cash,0,,,$0.00,$0.00,$0.00,,-,,$0.00,,
Total,14,,,$312.08,$0.00,$44.00,,$70.68,,$426.76,,
,,,,Charge,Note,,,,,,,
Prepaid Total,,,,$426.76,,,,,,,,
Commission (Comm),,,,($54.60),,,,,,,,
Processing (Proc),,,,($19.15),,,,,,,,
Total Charges,,,,($73.75),,,,,,,,
4/2/2021,,,,,ID,Tip,Total,,Proc,,Comm,
12:21 PM,,,Delivery,CARD,26997933,$4.41,$23.18,,$1.11,,$2.76,
4/4/2021,,,,,ID,Tip,Total,,Proc,,Comm,
12:23 PM,,,Delivery,CARD,27042250,$6.43,$28.90,,$1.31,,$3.41,
4/5/2021,,,,,ID,Tip,Total,,Proc,,Comm,
12:31 PM,,,Delivery,CARD,27058763,$4.41,$23.18,,$1.11,,$2.76,
4/7/2021,,,,,ID,Tip,Total,,Proc,,Comm,
12:01 PM,,,Delivery,CARD,27093134,$4.25,$23.02,,$1.11,,$2.76,
4/9/2021,,,,,ID,Tip,Total,,Proc,,Comm,
11:12 AM,,,Delivery,CARD,27133811,$4.25,$23.02,,$1.11,,$2.76,
4/11/2021,,,,,ID,Tip,Total,,Proc,,Comm,
11:25 AM,,,Delivery,CARD,27184349,$4.00,$22.56,,$1.09,,$2.72,
4/12/2021,,,,,ID,Tip,Total,,Proc,,Comm,
11:39 AM,,,Delivery,CARD,27204735,$5.00,$29.97,,$1.35,,$3.84,
4/13/2021,,,,,ID,Tip,Total,,Proc,,Comm,
12:17 PM,,,Delivery,CARD,27221904,$4.52,$24.29,,$1.15,,$2.93,
4/14/2021,,,,,ID,Tip,Total,,Proc,,Comm,
"11:07
4/17/2021",,AM,Delivery,CARD,"27239188
ID","$4.52
Tip","$24.29
Total",,"$1.15
Proc",,"$2.93
Comm",
1:41,,PM,Delivery,CARD,27307549,$5.60,$34.58,,$1.51,,$4.55,
4/26/2021,,,,,ID,Tip,Total,,Proc,,Comm,
6:20,,PM,Delivery,CARD,27500583,$8.11,$56.18,,$2.27,,$7.89,
4/29/2021,,,,,ID,Tip,Total,,Proc,,Comm,
5:37,,PM,Delivery,CARD,27554383,$6.61,$53.68,,$2.18,,$7.71,
4/30/2021,,,,,ID,Tip,Total,,Proc,,Comm,
12:10,,PM,Delivery,CARD,27563808,$4.69,$29.46,,$1.33,,$3.81,
5:02,,PM,Delivery,CARD,27575871,$3.88,$30.45,,$1.37,,$3.77,
Phone: (866) 654-8777     Email: support@eatstreet.com,,,,,,,,,,,,
