"ID","Restaurant","Type","Description","Date","Time","Subtotal","Service","Delivery","Tax","Tip","Restaurant Total","Commission","Processing Fee","Withheld Tax"
"O-443014931385735","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"4/15/21","6:16 PM","33.47","0","2.99","2.82","5.89","45.17","-4.56","-1.68","0"
"O-756714868858637","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"4/9/21","5:42 PM","29.95","0","2.99","2.55","5.32","40.81","-4.12","-1.54","0"
"O-586814868654455","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"4/8/21","7:57 PM","48.84","0","2.99","4.02","8.37","64.22","-6.48","-2.26","0"
"O-436414898357693","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"4/11/21","6:12 PM","50.96","0","2.99","4.18","8.72","66.85","-6.74","-2.34","0"
"O-586814818654590","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"4/3/21","7:38 PM","47.55","0","4.99","4.08","14.16","70.78","-6.57","-2.46","0"
"O-150314866139380","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"4/8/21","9:16 PM","44.95","0","2.99","3.71","7.74","59.39","-5.99","-2.11","0"
"O-185015059794908","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"4/27/21","8:18 PM","44.50","0","0.00","3.45","0","47.95","-5.56","-1.76","0"
"W-230514892549250","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"4/12/21","4:31 PM","18.27","0","2.99","1.65","3.44","26.35","0","-1.10","0"
"O-686215021346334","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"4/24/21","6:18 PM","10.99","0","0.00","0.85","1.77","13.61","-1.37","-0.72","0"
"O-686215001388502","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"4/23/21","12:00 PM","33.97","0","4.99","3.02","5.00","46.98","-4.87","-1.73","0"
"W-165014954378904","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"4/17/21","5:49 PM","15.98","0","0.00","1.24","0.86","18.08","0","-0.85","0"
"W-628715028441709","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"4/25/21","4:22 PM","20.98","0","0.00","1.63","2.26","24.87","0","-1.06","0"
"O-947315043166849","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"4/27/21","2:19 PM","22.98","0","0.00","1.78","0","24.76","-2.87","-1.06","0"
"O-838715075618910","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"4/29/21","9:46 PM","18.99","0","2.99","1.70","3.55","27.23","-2.75","-1.13","0"
