,"902 Broadway New York, NY 10010",Ameci Pizza & Pasta,,
,"Activity Period: Thu Apr 1, 2021 to Fri Apr","25431 Trabuco Rd, Lake Forest CA, 92630",,
,"30, 2021",Account ID: 3057,,
,W-9 form reminder,,,
,"For legal reasons, we need your W-9 form and Slice Agreement Acknowledgement. If you haven’t",,,
,"already, return them asap. Talk to your Account Manager or email Partner@SliceLife.com",,,
Summary of Your Activity,,,"From April 1, 2021 to April 30, 2021, your",
Prepaid orders,,"$3,931.50","restaurant made $3,988.74 with Slice.",
100 orders,,"$4,659.41",Activity Details,
Processing fee,,-$186.49,Net Sales,"$3,657.23"
Slice partnership fee,,-$225.00,"Taxes
Sales Tax Withholding","$316.42
-$316.42"
Sales tax withholding,,-$316.42,Cust. Delivery fee,$196.38
19 Phone orders,$886.08,,"Tips
Slice Adjustments","$489.38
$99.99"
Slice partnership fee,,-$42.75,Slice Fees,-$454.24
"11 Slice
Adjustments",,$99.99,Total Earnings,"$3,988.74"
"TOTAL OF 119
ORDERS",$886.08,"$3,988.74",,
,"Paid directly by
your custom ers",Total Earnings,,
Order Activity Report Reminder,,,,
The order activity report is not a statement and it does not,,,,
correspond to a payment. The amounts on this report are,,,,
for your reference and reporting needs. Please refer to your,,,,
official statement on the Owner’s Portal for the finalized,,,,
reporting.,,,,

"902 Broadway New York, NY 10010",,,,,Ameci Pizza & Pasta,,,,,,
"Activity Period: Thu Apr 1, 2021 to Fri Apr",,,,,"25431 Trabuco Rd, Lake Forest CA, 92630",,,,,,
"30, 2021",,,,,Account ID: 3057,,,,,,
Transactions,,,,,,,,,,,
,,,,,Cust.,,,,,,
,,Order,Pickup,,,Order,,,Order,P'ship,Proc.
Date & Time,Order ID,,,Subtotal,Delivery,,Tax,Tips,,,
,,Type,Delivery,,,Adjust.,,,Total,Fee,Fee
,,,,,Fee,,,,,,
"Apr 01, 2021
Thursday
4:56pm",44060663,Credit,Delivery,$29.98,$2.99,$0.00,$2.64,$4.50,$40.11,-$2.25,-$1.60
"Apr 01, 2021
Thursday
5:23pm",44063802,Credit,Pickup,$27.96,$0.00,$0.00,$2.24,$4.19,$34.46,-$2.25,-$1.26
"Apr 01, 2021
Thursday
6:04pm",44067286,Credit,Delivery,$15.98,$2.99,$0.00,$1.52,$5.00,$25.49,-$2.25,-$1.02
"Apr 01, 2021
Thursday
6:48pm",44069629,Credit,Delivery,$35.46,$2.99,$0.00,$3.08,$7.09,$48.62,-$2.25,-$1.94
"Apr 01, 2021
Thursday
7:49pm",44071273,Credit,Delivery,$35.72,$1.99,$0.00,$3.02,$5.36,$46.09,-$2.25,-$1.84
"Apr 01, 2021
Thursday
8:28pm",44071973,Credit,Delivery,$21.99,$1.99,$0.00,$1.92,$5.00,$30.97,-$2.25,-$1.24
"Apr 02, 2021
Friday
5:18pm",44151863,Credit,Pickup,$26.99,$0.00,$0.00,$2.16,$0.00,$29.15,-$2.25,-$1.17
"Apr 02, 2021
Friday
5:49pm",44156579,Credit,Delivery,$19.00,$2.99,-$0.01,$1.76,$3.80,$27.54,-$2.25,-$0.90
"Apr 02, 2021
Friday
7:09pm",44163411,Credit,Delivery,$30.00,$2.99,-$0.01,$2.64,$4.50,$40.12,-$2.25,-$1.60
"Apr 03, 2021
Saturday
3:57pm",44211137,Credit,Pickup,$28.98,$0.00,$0.00,$2.32,$0.00,$31.37,-$2.25,-$1.25
"Apr 03, 2021
Saturday
5:10pm",44223343,Credit,Pickup,$22.58,$0.00,$0.00,$1.81,$0.00,$24.46,-$2.25,-$0.98
"Apr 03, 2021
Saturday
5:16pm",44224175,Credit,Pickup,$14.67,$0.00,$0.00,$1.17,$2.20,$18.12,-$2.25,-$0.12
"Apr 03, 2021
Saturday
6:21pm",44231423,Credit,Delivery,$30.75,$2.99,-$0.01,$2.70,$4.61,$41.04,-$2.25,-$1.64
"Apr 03, 2021",,,,,,,,,,,
Saturday,44233928,Credit,Delivery,$40.21,$2.99,$0.00,$3.46,$8.04,$54.70,-$2.25,-$2.19
7:01pm,,,,,,,,,,,

"Apr 04, 2021
Sunday
5:29pm",12190852,Phone,-,-,-,-,-,-,-,-$2.25,-
"Apr 04, 2021
Sunday
5:40pm",44257368,Credit,Pickup,$19.00,$0.00,-$0.01,$1.52,$0.00,$20.59,-$2.25,-$0.82
"Apr 04, 2021
Sunday
5:56pm",44257929,Credit,Delivery,$49.75,$2.99,$0.00,$4.22,$10.00,$67.04,-$2.25,-$2.68
"Apr 04, 2021
Sunday
7:27pm",44259994,Credit,Pickup,$26.96,$0.00,$0.00,$2.16,$5.39,$34.58,-$2.25,-$0.78
"Apr 05, 2021
Monday
5:30pm",44296516,Credit,Delivery,$33.97,$2.99,$0.00,$2.96,$6.79,$46.71,-$2.25,-$1.87
"Apr 07, 2021
Wednesday
4:24pm",44384640,Credit,Delivery,$21.93,$2.99,$0.00,$1.99,$4.39,$31.30,-$2.25,-$1.25
"Apr 07, 2021
Wednesday
4:38pm",12207075,Phone,-,-,-,-,-,-,-,-$2.25,-
"Apr 07, 2021
Wednesday
6:26pm",44394794,Credit,Pickup,$53.71,$0.00,$0.00,$4.30,$0.00,$58.01,-$2.25,-$2.32
"Apr 08, 2021
Thursday
12:51pm",44411157,Credit,Delivery,$25.18,$2.99,$0.00,$2.25,$4.00,$34.50,-$2.25,-$1.38
