Store Name,Store ID,Order ID,Workflow ID,Dining Mode,Order Channel,Order Status,Order Date / Refund date,Order Accept Time,Food Sales (excluding tax),Tax on Food Sales,Food sales (including tax),Adjustments (excluding tax),Tax on Adjustments,Promo Spend on food,Tax on Promotion on Food,Special Offer - Delivery,Tax on Special Offer - Delivery,Bag Fee,Marketing Service Fee Adjustment,Total Sales after Adjustments (including tax),Uber Service Fee,Delivery Network Fee,Order Processing Fee,Dispatch Fee,Tax on Dispatch Fee,Gratuity,Misc Payment Description,Miscellaneous Payments,Marketplace Facilitator Tax,Backup Withholding Tax,Payout,Payout Date,Markup Amount,Markup Tax,Service Fee %
Ameci Pizza & Pasta - Lake Forest,,#C788A,f5fcdb49-d5ca-4eda-a427-89ec0c9c788a,,Unknown,Refund,2021-03-29,19:29,-21.74,-1.68,-23.42,0,0,0,0,0,0,0,,0,0,,,0,0,0,,0,0,0,-23.42,2021-04-05,,,
Ameci Pizza & Pasta - Lake Forest,,#3DDA4,b90f0e10-737f-4b51-96cd-70a55f83dda4,Delivery - Partner Using Uber App,Uber Eats Web,Completed,2021-04-01,19:30,14.99,1.16,16.15,0,0,0,0,0,0,0,0,16.15,-2.85,0,0,0,0,0,,0,-1.16,0,12.14,2021-04-05,0,0,
Ameci Pizza & Pasta - Lake Forest,,#85EBB,d34f9e5e-d774-4588-9dd5-23cb6dd85ebb,Delivery - Partner Using Uber App,iOS,Completed,2021-04-01,19:55,33.96,2.63,36.59,0,0,0,0,0,0,0,0,36.59,-6.45,0,0,0,0,0,,0,-2.63,0,27.51,2021-04-05,0,0,
Ameci Pizza & Pasta - Lake Forest,,#52BE5,a0660de6-0bb3-4b23-9c92-1fe498452be5,Delivery - Partner Using Uber App,iOS,Completed,2021-04-02,17:52,29.96,2.32,32.28,0,0,0,0,0,0,0,0,32.28,-5.69,0,0,0,0,0,,0,-2.32,0,24.27,2021-04-05,0,0,
Ameci Pizza & Pasta - Lake Forest,,#EBC81,acc3b870-22a0-4af9-821c-ca7a0f0ebc81,Delivery - Partner Using Uber App,Android,Completed,2021-04-02,18:49,22.73,1.76,24.49,0,0,0,0,0,0,0,0,24.49,-4.32,0,0,0,0,0,,0,-1.76,0,18.41,2021-04-05,0,0,
Ameci Pizza & Pasta - Lake Forest,,#EB632,24a7a249-5da8-489a-8f44-ad715d9eb632,Delivery - Partner Using Uber App,Uber Eats Web,Completed,2021-04-02,20:46,15.48,1.2,16.68,0,0,0,0,0,0,0,0,16.68,-2.94,0,0,0,0,0,,0,-1.2,0,12.54,2021-04-05,0,0,
Ameci Pizza & Pasta - Lake Forest,,#EC270,df48eb5d-6bb6-4217-bed8-7fdbb1cec270,Delivery - Partner Using Uber App,iOS,Completed,2021-04-03,16:26,41.95,3.25,45.2,0,0,0,0,0,0,0,0,45.2,-7.97,0,0,0,0,0,,0,-3.25,0,33.98,2021-04-05,0,0,19
Ameci Pizza & Pasta - Lake Forest,,#760FF,6d0f2105-d8a6-4ce6-a735-ed5eec2760ff,Delivery - Partner Using Uber App,iOS,Completed,2021-04-03,17:06,40.43,3.13,43.56,0,0,0,0,0,0,0,0,43.56,-7.68,0,0,0,0,0,,0,-3.13,0,32.75,2021-04-05,0,0,19
Ameci Pizza & Pasta - Lake Forest,,#14D5E,d183b7f5-25ba-4435-8a85-8af686b14d5e,Delivery - Partner Using Uber App,iOS,Completed,2021-04-03,16:46,19.52,1.51,21.03,0,0,0,0,0,0,0,0,21.03,-3.71,0,0,0,0,0,,0,-1.51,0,15.81,2021-04-05,0,0,19
Ameci Pizza & Pasta - Lake Forest,,#28289,1c175c07-623e-424d-8f0f-343c42c28289,Delivery - Partner Using Uber App,iOS,Completed,2021-04-03,18:57,48.25,3.74,51.99,0,0,0,0,0,0,0,0,51.99,-9.17,0,0,0,0,0,,0,-3.74,0,39.08,2021-04-05,0,0,19
Ameci Pizza & Pasta - Lake Forest,,#623EF,2646c399-95d9-4e69-96f7-190ea81623ef,Delivery - Partner Using Uber App,iOS,Completed,2021-04-03,19:45,26.73,2.07,28.8,0,0,0,0,0,0,0,0,28.8,-5.08,0,0,0,0,0,,0,-2.07,0,21.65,2021-04-05,0,0,19
Ameci Pizza & Pasta - Lake Forest,,#194CB,16951144-722e-43ac-9460-e45b268194cb,Delivery - Partner Using Uber App,iOS,Completed,2021-04-03,19:55,15.74,1.22,16.96,0,0,0,0,0,0,0,0,16.96,-2.99,0,0,0,0,0,,0,-1.22,0,12.75,2021-04-05,0,0,19
Ameci Pizza & Pasta - Lake Forest,,#E3FAB,7140a50f-846b-4f80-b54f-7b872c3e3fab,Delivery - Partner Using Uber App,Uber Eats Web,Completed,2021-04-03,20:48,11.99,0.93,12.92,0,0,0,0,0,0,0,0,12.92,-2.28,0,0,0,0,0,,0,-0.93,0,9.71,2021-04-05,0,0,19
Ameci Pizza & Pasta - Lake Forest,,#B012E,511fc4a4-ff04-4509-823d-3f879c1b012e,Pickup,iOS,Completed,2021-04-04,17:45,34.97,2.71,37.68,0,0,0,0,0,0,0,0,37.68,0,0,0,0,0,0,,0,-2.71,0,34.97,2021-04-05,0,0,
Ameci Pizza & Pasta - Lake Forest,,#A8062,da8234f6-7507-42ce-8967-0f7ee8da8062,Delivery - Partner Using Uber App,iOS,Completed,2021-04-04,19:38,96.86,7.51,104.37,0,0,0,0,0,0,0,0,104.37,-18.4,0,0,0,0,0,,0,-7.51,0,78.46,2021-04-05,0,0,19
