Ameci Pizza,,,,,,& Pasta - Lake,,,,Forest,,
,,,,,,Start Date,,,,5/1/2021,,
,,,,,,End Date,,,,6/1/2021,,
,,,,,,Prepaid Total,,,,$439.83,,
,,,,,,Taxes Withheld,,,,$31.43,,
,Orders,,,Subtotal,Tax,Delivery,,Tip,,Total,,
Card,10,,,$345.38,$0.00,$32.00,,$62.45,,$439.83,,
Cash,1,,,$57.47,$5.17,$0.00,,-,,$62.64,,
Total,11,,,$402.85,$5.17,$32.00,,$62.45,,$502.47,,
,,,,Charge,Note,,,,,,,
Prepaid Total,,,,$439.83,,,,,,,,
Commission (Comm),,,,($70.49),,,,,,,,
Processing (Proc),,,,($18.39),,,,,,,,
Total Charges,,,,($88.88),,,,,,,,
5/1/2021,,,,,ID,Tip,Total,,Proc,,Comm,
6:04 PM,,,Takeout,CASH,27599350,$0.00,$62.64,,$0.00,,$10.06,
6:52 PM,,,Delivery,CARD,27601252,$8.20,$56.74,,$2.29,,$7.97,
5/2/2021,,,,,ID,Tip,Total,,Proc,,Comm,
6:31 PM,,,Delivery,CARD,27620450,$4.84,$25.80,,$1.20,,$3.14,
5/4/2021,,,,,ID,Tip,Total,,Proc,,Comm,
5:39 PM,,,Delivery,CARD,27652151,$6.07,$42.77,,$1.80,,$5.90,
5/7/2021,,,,,ID,Tip,Total,,Proc,,Comm,
1:46 PM,,,Delivery,CARD,27699229,$3.87,$24.83,,$1.17,,$3.14,
5/13/2021,,,,,ID,Tip,Total,,Proc,,Comm,
4:53 PM,,,Delivery,CARD,27812645,$6.14,$50.08,,$2.05,,$7.16,
5/15/2021,,,,,ID,Tip,Total,,Proc,,Comm,
8:28 PM,,,Delivery,CARD,27857508,$13.54,$93.78,,$3.58,,$13.17,
5/18/2021,,,,,ID,Tip,Total,,Proc,,Comm,
6:38 PM,,,Delivery,CARD,27902783,$6.00,$39.94,,$1.70,,$5.41,
5/22/2021,,,,,ID,Tip,Total,,Proc,,Comm,
11:40 AM,,,Delivery,CARD,27960871,$4.01,$24.97,,$1.17,,$3.14,
5/23/2021,,,,,ID,Tip,Total,,Proc,,Comm,
,,,,,,,,,,,,
"5:50
5/27/2021",,PM,Delivery,CARD,"27989384
ID","$3.69
Tip","$31.26
Total",,"$1.39
Proc",,"$4.30
Comm",
6:28,,PM,Delivery,CARD,28051159,$6.09,$49.66,,$2.04,,$7.10,
Phone: (866) 654-8777     Email: support@eatstreet.com,,,,,,,,,,,,
