"ID","Restaurant","Type","Description","Date","Time","Subtotal","Service","Delivery","Tax","Tip","Restaurant Total","Commission","Processing Fee","Withheld Tax"
"W-673115114398489","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"5/4/21","2:25 PM","16.98","0","2.99","1.55","4.30","25.82","0","-1.09","0"
"W-402415367703451","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"5/28/21","7:33 PM","53.69","0","0.00","4.16","2.89","60.74","0","-2.15","0"
"O-201115325501219","Ameci Pizza & Pasta - Trabuco Rd","Adjustment of O-201115325501219","MISSING_ITEM - Refund requested by diner via help interaction","5/25/21","5:34 PM","-8.99","0","0.00","-0.69","0","-9.68","0","0","0"
"O-437115262732531","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"5/19/21","12:32 PM","24.56","0","4.99","2.29","5.00","36.84","-3.69","-1.42","0"
"O-928515339281410","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"5/25/21","8:25 PM","31.27","0","0.00","2.42","0","33.69","-3.91","-1.33","0"
"O-283015239964984","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"5/16/21","1:14 PM","21.97","0","2.99","1.93","4.03","30.92","-3.12","-1.24","0"
"O-402415387703423","Ameci Pizza & Pasta - Trabuco Rd","Adjustment of O-402415387703423","Refund for missing item(s)
4 Pieces Side of Meatballs & Chicken Caesar Salad.","5/30/21","9:35 PM","-16.48","0","0.00","-1.28","0","-17.76","0","0","0"
"O-740215258230717","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"5/17/21","5:50 PM","35.16","0","4.99","3.11","5.68","48.94","-5.02","-1.79","0"
"O-679115262804226","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"5/20/21","11:45 AM","187.97","0","4.99","14.96","20.00","227.92","-33.77","-7.25","0"
"W-925215264019656","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"5/18/21","6:40 PM","33.45","0","2.99","2.82","4.74","44.00","0","-1.64","0"
"O-457815331309919","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"5/25/21","8:45 PM","37.97","0","0.00","2.94","0","40.91","-4.75","-1.55","0"
"O-857715360278462","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"5/28/21","7:12 PM","45.96","0","2.99","3.79","5.00","57.74","-6.12","-2.06","0"
"O-259915355001801","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"5/28/21","5:38 PM","29.58","0","2.99","2.52","5.26","40.35","-4.07","-1.53","0"
"O-895215382561990","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"5/31/21","3:00 PM","27.47","0","2.99","2.36","3.00","35.82","-3.81","-1.39","0"
"O-063615238433778","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"5/16/21","2:34 PM","34.97","0","0.00","2.71","5.65","43.33","-4.37","-1.62","0"
"W-739015153993526","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"5/7/21","6:53 PM","29.98","0","2.99","2.55","5.33","40.85","0","-1.55","0"
"O-881415150309158","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"5/7/21","5:56 PM","23.98","0","2.99","2.09","4.35","33.41","-3.37","-1.32","0"
"O-661515133317429","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"5/6/21","12:59 PM","21.98","0","4.99","2.09","5.00","34.06","-3.37","-1.34","0"
