,"902 Broadway New York, NY 10010",Ameci Pizza & Pasta,,
,"Activity Period: Sat May 1, 2021 to Mon","25431 Trabuco Rd, Lake Forest CA, 92630",,
,"May 31, 2021",Account ID: 3057,,
,W-9 form reminder,,,
,"For legal reasons, we need your W-9 form and Slice Agreement Acknowledgement. If you haven’t",,,
,"already, return them asap. Talk to your Account Manager or email Partner@SliceLife.com",,,
Summary of Your Activity,,,"From May 1, 2021 to May 31, 2021, your",
Online Orders,,"$4,824.86","restaurant made $4,887.70 with Slice.",
119 orders,,"$5,711.38",Activity Details,
Processing fee,,-$231.35,Net Sales,"$4,550.00"
Slice partnership fee,,-$267.75,"Taxes
Sales Tax Withholding","$387.42
-$387.42"
Sales tax withholding,,-$387.42,Cust. Delivery fee,$273.26
21 Phone Orders,"$1,008.83",,"Tips
Slice Adjustments","$500.86
$110.09"
Slice partnership fee,,-$47.25,Slice Fees,-$546.35
"5 Slice
Adjustments",,$110.09,Total Earnings,"$4,887.70"
"TOTAL OF 140
ORDERS","$1,008.83","$4,887.70","Slice spent $11.00
in funding promo codes",
,"Paid directly by
your custom ers",Total Earnings,for your customers! *,
Order Activity Report Reminder,,,,
The order activity report is not a statement and it does not,,,,
correspond to a payment. The amounts on this report are,,,,
for your reference and reporting needs. Please refer to your,,,,
official statement on the Owner’s Portal for the finalized,,,,
reporting.,,,,

"902 Broadway New York, NY 10010",,,,,Ameci Pizza & Pasta,,,,,,
"Activity Period: Sat May 1, 2021 to Mon",,,,,"25431 Trabuco Rd, Lake Forest CA, 92630",,,,,,
"May 31, 2021",,,,,Account ID: 3057,,,,,,
Online Orders,,,,,,,,,,,
,,,,,Cust.,,,,,,
,,Order,Pickup,,,Order,,,Order,P'ship,Proc.
Date & Time,Order ID,,,Subtotal,Delivery,,Tax,Tips,,,
,,Type,Delivery,,,Adjust.,,,Total,Fee,Fee
,,,,,Fee,,,,,,
"May 01, 2021
Saturday
7:27am",45828960,Credit,Pickup,$43.96,$0.00,$0.00,$3.52,$3.00,$50.48,-$2.25,-$2.02
"May 01, 2021
Saturday
3:19pm",12378124,Phone,-,-,-,-,-,-,-,-$2.25,-
"May 01, 2021
Saturday
4:09pm",45875999,Credit,Delivery,$21.57,$2.99,$0.00,$1.96,$5.39,$31.91,-$2.25,-$1.28
"May 01, 2021
Saturday
5:21pm",45888628,Credit,Pickup,$38.73,$0.00,$0.00,$3.10,$5.81,$47.64,-$2.25,-$1.91
"May 01, 2021
Saturday
5:46pm",45892056,Credit,Delivery,$40.44,$2.99,$0.00,$3.47,$4.04,$50.94,-$2.25,-$2.04
"May 01, 2021
Saturday
6:01pm",45893847,Credit,Delivery,$20.00,$2.99,-$0.01,$1.84,$2.00,$26.82,-$2.25,-$1.07
"May 01, 2021
Saturday
7:05pm",45898847,Credit,Pickup,$46.65,$0.00,$0.00,$3.73,$0.00,$50.38,-$2.25,-$2.02
"May 01, 2021
Saturday
8:23pm",45901796,Credit,Delivery,$16.98,$2.99,$0.00,$1.60,$2.55,$24.12,-$2.25,-$0.96
"May 01, 2021
Saturday
9:20pm",45902836,Credit,Delivery,$19.73,$4.99,$0.00,$1.98,$2.96,$29.66,-$2.25,-$1.19
"May 02, 2021
Sunday
7:21pm",45958273,Credit,Pickup,$21.98,$0.00,$0.00,$1.76,$3.30,$27.04,-$2.25,-$1.08
"May 02, 2021
Sunday
7:38pm",12388309,Phone,-,-,-,-,-,-,-,-$2.25,-
"May 02, 2021
Sunday
9:48pm",12388458,Phone,-,-,-,-,-,-,-,-$2.25,-
"May 03, 2021
Monday
3:48pm",45985306,Credit,Pickup,$22.58,$0.00,$0.00,$1.81,$4.54,$28.93,-$2.25,-$1.16
"May 03, 2021",,,,,,,,,,,
Monday,45997420,Credit,Pickup,$43.99,$0.00,-$0.01,$3.52,$4.40,$51.90,-$2.25,-$2.08
7:13pm,,,,,,,,,,,

"May 04, 2021
Tuesday
11:08am",46006492,Credit,Pickup,$16.88,$0.00,$0.00,$1.35,$1.69,$19.92,-$2.25,-$0.80
"May 04, 2021
Tuesday
7:29pm",46041346,Credit,Pickup,$47.92,$0.00,$0.00,$3.83,$0.00,$51.75,-$2.25,-$1.87
"May 04, 2021
Tuesday
8:40pm",46042268,Credit,Delivery,$36.86,$6.99,$0.00,$3.51,$5.53,$52.89,-$2.25,-$2.12
"May 05, 2021
Wednesday
2:00pm",46059032,Credit,Delivery,$41.98,$4.99,-$0.01,$3.76,$8.39,$59.11,-$2.25,-$2.36
"May 06, 2021
Thursday
6:21pm",12411934,Phone,-,-,-,-,-,-,-,-$2.25,-
"May 07, 2021
Friday
4:07pm",46203640,Credit,Delivery,$49.34,$1.99,$0.00,$4.11,$7.00,$62.44,-$2.25,-$2.50
"May 07, 2021
Friday
4:20pm",46206901,Credit,Pickup,$26.99,$0.00,$0.00,$2.16,$0.00,$29.15,-$2.25,-$1.17
"May 07, 2021
Friday
5:46pm",12422212,Phone,-,-,-,-,-,-,-,-$2.25,-
"May 07, 2021
Friday
6:00pm",46224763,Credit,Delivery,$15.57,$2.99,$0.00,$1.48,$2.34,$22.38,-$2.25,-$0.90
"May 07, 2021
Friday
6:13pm",12422590,Phone,-,-,-,-,-,-,-,-$2.25,-
"May 07, 2021
Friday
6:52pm",46229239,Credit,Delivery,$52.91,$4.99,$0.00,$4.63,$7.94,$70.47,-$2.25,-$2.82
"May 07, 2021
Friday
7:48pm",46231996,Credit,Pickup,$20.00,$0.00,-$0.01,$1.60,$0.00,$21.59,-$2.25,-$0.86
"May 08, 2021
Saturday
2:22pm",46261387,Credit,Delivery,$71.30,$10.00,-$0.01,$6.50,$15.00,$102.79,-$2.25,-$4.08
"May 08, 2021
Saturday
4:38pm",46287778,Credit,Delivery,$27.84,$2.99,$0.00,$2.47,$5.57,$38.87,-$2.25,-$1.55
"May 08, 2021
Saturday
5:37pm",12431015,Phone,-,-,-,-,-,-,-,-$2.25,-
"May 08, 2021
Saturday
6:19pm",46301352,Credit,Delivery,$46.46,$1.99,$0.00,$3.88,$6.97,$59.30,-$2.25,-$2.37
"May 08, 2021",,,,,,,,,,,
Saturday,46303582,Credit,Pickup,$26.73,$0.00,$0.00,$2.14,$0.00,$28.87,-$2.25,-$1.16
6:50pm,,,,,,,,,,,

"May 08, 2021
Saturday
6:51pm",46303596,Credit,Pickup,$37.99,$0.00,-$0.01,$3.04,$0.00,$41.02,-$2.25,-$1.64
"May 08, 2021
Saturday
6:53pm",46303712,Credit,Pickup,$32.00,$0.00,-$0.01,$2.56,$0.00,$34.55,-$2.25,-$1.39
"May 08, 2021
Saturday
7:21pm",46305169,Credit,Delivery,$27.97,$2.99,$0.00,$2.48,$4.20,$37.64,-$2.25,-$1.51
"May 09, 2021
Sunday
3:15pm",46345180,Credit,Delivery,$31.96,$1.99,$0.00,$2.72,$4.79,$41.46,-$2.25,-$1.66
"May 09, 2021
Sunday
6:51pm",46366330,Credit,Delivery,$29.48,$1.99,$0.00,$2.52,$5.00,$38.99,-$2.25,-$1.56
"May 09, 2021
Sunday
8:15pm",46368101,Credit,Pickup,$43.97,$0.00,$0.00,$3.52,$2.00,$49.49,-$2.25,-$1.98
"May 09, 2021
Sunday
8:21pm",46368168,Credit,Delivery,$52.12,$2.99,$0.00,$4.49,$7.82,REFUNDED,-$2.25,-$2.70
