Store Name,Store ID,Order ID,Workflow ID,Dining Mode,Order Channel,Order Status,Order Date / Refund date,Order Accept Time,Food Sales (excluding tax),Tax on Food Sales,Food sales (including tax),Adjustments (excluding tax),Tax on Adjustments,Promo Spend on food,Tax on Promotion on Food,Special Offer - Delivery,Tax on Special Offer - Delivery,Bag Fee,Marketing Service Fee Adjustment,Total Sales after Adjustments (including tax),Uber Service Fee,Delivery Network Fee,Order Processing Fee,Merchant Fee,Tax on Merchant Fee,Gratuity,Misc Payment Description,Miscellaneous Payments,Marketplace Facilitator Tax,Backup Withholding Tax,Payout,Payout Date,Markup Amount,Markup Tax,Service Fee %
Ameci Pizza & Pasta - Lake Forest,,#806DA,9b4f8a07-8041-4a71-85ce-0ac7dfc806da,Delivery - Partner Using Uber App,UberEats iOS,Completed,5/1/21,5:51 PM,43.76,3.39,47.15,0,0,0,0,0,0,0,0,47.15,-8.31,0,0,0,0,0,,0,-3.39,0,35.45,5/3/21,0,0,19
Ameci Pizza & Pasta - Lake Forest,,#ECE97,fb865e63-57f6-49a7-971e-151534cece97,Delivery - Partner Using Uber App,UberEats iOS,Completed,5/1/21,7:26 PM,145.3,11.26,156.56,0,0,0,0,0,0,0,0,156.56,-27.61,0,0,0,0,0,,0,-11.26,0,117.69,5/3/21,0,0,19
Ameci Pizza & Pasta - Lake Forest,,#4E0DF,074dc558-fd86-4597-90de-090d2df4e0df,Delivery - Partner Using Uber App,UberEats Android,Completed,5/1/21,7:12 PM,91.64,7.1,98.74,0,0,0,0,0,0,0,0,98.74,-17.41,0,0,0,0,0,,0,-7.1,0,74.23,5/3/21,0,0,19
Ameci Pizza & Pasta - Lake Forest,,#3C223,5d51a865-7d3a-4a28-bfef-dc572613c223,Delivery - Partner Using Uber App,UberEats iOS,Completed,5/2/21,4:49 PM,40.46,3.14,43.6,0,0,0,0,0,0,0,0,43.6,-7.69,0,0,0,0,0,,0,-3.14,0,32.77,5/3/21,0,0,19
Ameci Pizza & Pasta - Lake Forest,,#67BFC,6eeb19ed-138b-4e0f-b5f1-b9d0af567bfc,Delivery - Partner Using Uber App,Postmates iOS,Completed,5/2/21,5:14 PM,25.97,2.01,27.98,0,0,0,0,0,0,0,0,27.98,-5.19,0,0,0,0,0,,0,-2.01,0,20.78,5/3/21,0,0,20
Ameci Pizza & Pasta - Lake Forest,,#EAFA0,801fc8ef-7dec-44ee-bc55-820471feafa0,Delivery - Partner Using Uber App,UberEats Web,Completed,5/2/21,6:23 PM,41.42,3.21,44.63,0,0,0,0,0,0,0,0,44.63,-7.87,0,0,0,0,0,,0,-3.21,0,33.55,5/3/21,0,0,19
Ameci Pizza & Pasta - Lake Forest,,#17253,fbd1bc35-1ddd-4c01-a4ea-9b6b0f717253,Pickup,UberEats iOS,Completed,5/3/21,5:03 PM,46.21,3.58,49.79,0,0,0,0,0,0,0,0,49.79,0,0,0,0,0,0,,0,-3.58,0,46.21,5/10/21,0,0,
Ameci Pizza & Pasta - Lake Forest,,#43EA7,ea141eb8-ba90-4f86-bb73-75746c043ea7,Delivery - Partner Using Uber App,UberEats iOS,Completed,5/3/21,6:50 PM,23.98,1.86,25.84,0,0,0,0,0,0,0,0,25.84,-4.56,0,0,0,0,0,,0,-1.86,0,19.42,5/10/21,0,0,19
Ameci Pizza & Pasta - Lake Forest,,#D60D9,81ae7ffa-6af2-4ab1-b864-1ca2963d60d9,Delivery - Partner Using Uber App,UberEats iOS,Completed,5/4/21,11:20 AM,22.95,1.78,24.73,0,0,0,0,0,0,0,0,24.73,-4.36,0,0,0,0,0,,0,-1.78,0,18.59,5/10/21,0,0,19
Ameci Pizza & Pasta - Lake Forest,,#0B1C7,48c2fe8e-82f1-40a4-b834-785adb30b1c7,Delivery - Partner Using Uber App,UberEats iOS,Completed,5/4/21,5:32 PM,27.97,2.17,30.14,0,0,0,0,0,0,0,0,30.14,-5.31,0,0,0,0,0,,0,-2.17,0,22.66,5/10/21,0,0,19
Ameci Pizza & Pasta - Lake Forest,,#03A6F,611eb45d-75bd-4af9-9591-dfb7ef903a6f,Delivery - Partner Using Uber App,UberEats iOS,Completed,5/4/21,7:34 PM,22.98,1.78,24.76,0,0,0,0,0,0,0,0,24.76,-4.37,0,0,0,0,0,,0,-1.78,0,18.61,5/10/21,0,0,19
