"TIMESTAMP_UTC_TIME","TIMESTAMP_UTC_DATE","TIMESTAMP_LOCAL_TIME","TIMESTAMP_LOCAL_DATE","PAYOUT_TIME","PAYOUT_DATE","STORE_ID","BUSINESS_ID","STORE_NAME","MERCHANT_STORE_ID","TRANSACTION_TYPE","TRANSACTION_ID","DOORDASH_ORDER_ID","MERCHANT_DELIVERY_ID","EXTERNAL_ID","DESCRIPTION","FINAL_ORDER_STATUS","CURRENCY","SUBTOTAL","TAX_SUBTOTAL","COMMISSION","COMMISSION_TAX_AMOUNT","MARKETING_FEES","STAFF_TIP","CREDIT","DEBIT","DOORDASH_TRANSACTION_ID","PAYOUT_ID","DRIVE_CHARGE","TAX_REMITTED_BY_DOORDASH_TO_STATE","SUBTOTAL_FOR_TAX","DOORDASH_FUNDED_SUBTOTAL_DISCOUNT_AMOUNT","MERCHANT_FUNDED_SUBTOTAL_DISCOUNT_AMOUNT"
"07:33:02","2021-06-01","00:33:02","2021-06-01","2021-06-01 07:33:02.517070000","2021-06-01",111737,43504,"Ameci Pizza & Pasta (Trabuco Rd)","NULL","PAYOUT","146634296","NULL","N/A","N/A","NULL","N/A","USD",592.00,0.00,0.00,0.00,0.00,0.00,0.00,592.00,"NULL",146634296,0.00,0.00,0.00,NULL,NULL
"18:51:33","2021-06-01","11:51:33","2021-06-01","2021-06-07 07:31:29.208126000","2021-06-07",111737,43504,"Ameci Pizza & Pasta (Trabuco Rd)","NULL","DELIVERY","1ee85f69-bdee-4c4a-a703-1dbeb1eea706","=""b1eea706""","NULL","NULL","Order Received Time: 2021-06-01 18:36:56.741625000
Order Pickup Time: 2021-06-01 18:51:33.656736000","Delivered","USD",20.98,1.89,5.25,0.00,NULL,0.00,17.62,0.00,"2375411911",147117071,0.00,0.00,20.98,NULL,NULL
"19:11:56","2021-06-01","12:11:56","2021-06-01","2021-06-07 07:31:29.208126000","2021-06-07",111737,43504,"Ameci Pizza & Pasta (Trabuco Rd)","NULL","DELIVERY","4baea089-4363-45cf-9ab5-31a66a12cab8","=""6a12cab8""","NULL","NULL","Order Received Time: 2021-06-01 18:40:34.852982000
Order Pickup Time: 2021-06-01 19:11:56.927201000","Delivered","USD",142.79,12.85,35.70,0.00,NULL,0.00,119.94,0.00,"2375513863",147117071,0.00,0.00,142.79,NULL,NULL
"19:50:29","2021-06-01","12:50:29","2021-06-01","2021-06-07 07:31:29.208126000","2021-06-07",111737,43504,"Ameci Pizza & Pasta (Trabuco Rd)","NULL","DELIVERY","56440e55-e2c0-4e08-84e9-62188d976426","=""8d976426""","NULL","NULL","Order Received Time: 2021-06-01 19:28:40.557808000
Order Pickup Time: 2021-06-01 19:50:29.355154000","Delivered","USD",28.97,2.61,7.24,0.00,NULL,0.00,24.34,0.00,"2375695321",147117071,0.00,0.00,28.97,NULL,NULL
"21:04:51","2021-06-01","14:04:51","2021-06-01","2021-06-07 07:31:29.208126000","2021-06-07",111737,43504,"Ameci Pizza & Pasta (Trabuco Rd)","NULL","DELIVERY","b1d2724e-e461-4064-b382-a595ab371efd","=""ab371efd""","NULL","NULL","Order Received Time: 2021-06-01 20:23:08.133765000
Order Pickup Time: 2021-06-01 21:04:51.386465000","Delivered","USD",39.71,3.57,9.93,0.00,NULL,0.00,33.35,0.00,"2376034826",147117071,0.00,0.00,39.71,NULL,NULL
"21:05:10","2021-06-01","14:05:10","2021-06-01","2021-06-07 07:31:29.208126000","2021-06-07",111737,43504,"Ameci Pizza & Pasta (Trabuco Rd)","NULL","DELIVERY","32f06f08-3cb4-40a8-9389-d85f22901336","=""22901336""","NULL","NULL","Order Received Time: 2021-06-01 20:43:40.541373000
Order Pickup Time: 2021-06-01 21:05:10.332043000","Delivered","USD",22.22,2.00,5.56,0.00,NULL,0.00,18.66,0.00,"2376036332",147117071,0.00,0.00,22.22,NULL,NULL
"21:55:37","2021-06-01","14:55:37","2021-06-01","2021-06-07 07:31:29.208126000","2021-06-07",111737,43504,"Ameci Pizza & Pasta (Trabuco Rd)","NULL","DELIVERY","19215f60-0d2e-40d3-a3b9-35c094bb7b7d","=""94bb7b7d""","NULL","NULL","Order Received Time: 2021-06-01 21:39:23.876068000
Order Pickup Time: 2021-06-01 21:55:37.383350000","Delivered","USD",11.99,1.08,3.00,0.00,NULL,0.00,10.07,0.00,"2376289302",147117071,0.00,0.00,11.99,NULL,NULL
"22:42:06","2021-06-01","15:42:06","2021-06-01","2021-06-07 07:31:29.208126000","2021-06-07",111737,43504,"Ameci Pizza & Pasta (Trabuco Rd)","NULL","DELIVERY","f3173f9d-d918-4225-bca8-74dfd4c3f9b6","=""d4c3f9b6""","NULL","NULL","Order Received Time: 2021-06-01 21:59:59.553862000
Order Pickup Time: 2021-06-01 22:42:06.453569000","Delivered","USD",23.98,2.16,6.00,0.00,NULL,0.00,20.14,0.00,"2376564678",147117071,0.00,0.00,23.98,NULL,NULL
"22:42:12","2021-06-01","15:42:12","2021-06-01","2021-06-07 07:31:29.208126000","2021-06-07",111737,43504,"Ameci Pizza & Pasta (Trabuco Rd)","NULL","DELIVERY","fd2098c2-fb6a-4bdd-baa5-7e281b7dd387","=""1b7dd387""","NULL","NULL","Order Received Time: 2021-06-01 21:57:30.835233000
Order Pickup Time: 2021-06-01 22:42:12.132949000","Delivered","USD",19.98,1.80,5.00,0.00,NULL,0.00,16.78,0.00,"2376565295",147117071,0.00,0.00,19.98,NULL,NULL
"01:45:20","2021-06-02","18:45:20","2021-06-01","2021-06-07 07:31:29.208126000","2021-06-07",111737,43504,"Ameci Pizza & Pasta (Trabuco Rd)","NULL","DELIVERY","81719370-a1dc-417b-b5f9-8d4a57a3e83e","=""57a3e83e""","NULL","NULL","Order Received Time: 2021-06-02 01:25:21.452334000
Order Pickup Time: 2021-06-02 01:45:20.238307000","Delivered","USD",53.93,4.85,13.48,0.00,NULL,0.00,45.30,0.00,"2377793570",147117071,0.00,0.00,53.93,NULL,NULL
