"ID","Restaurant","Type","Description","Date","Time","Subtotal","Service","Delivery","Tax","Tip","Restaurant Total","Commission","Processing Fee","Withheld Tax"
"O-855715510886500","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"6/12/21","6:48 PM","82.42","0","2.99","6.62","13.80","105.83","-10.68","-3.53","0"
"W-360615524457288","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"6/13/21","5:51 PM","43.14","0","0.00","3.34","0","46.48","0","-1.72","0"
"O-191415436058397","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"6/4/21","6:37 PM","25.17","0","2.99","2.18","6.07","36.41","-3.52","-1.41","0"
"O-719115672361114","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"6/28/21","6:14 PM","33.57","0","2.99","2.83","5.43","44.82","-4.57","-1.67","0"
"O-803415426429453","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"6/3/21","8:30 PM","71.95","0","2.99","5.81","12.11","92.86","-9.37","-3.13","0"
"O-881215619540252","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"6/22/21","5:53 PM","26.98","0","2.99","2.32","4.84","37.13","-3.75","-1.43","0"
"O-401615584451487","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"6/19/21","7:23 PM","38.72","0","2.99","3.23","6.74","51.68","-5.21","-1.88","0"
"O-922915678980649","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"6/29/21","5:06 PM","21.57","0","0.00","1.67","0","23.24","-2.70","-1.01","0"
"O-428915588453801","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"6/20/21","5:16 PM","18.47","0","2.99","1.66","3.46","26.58","-2.68","-1.11","0"
"O-245215572274095","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"6/18/21","8:42 PM","56.44","0","2.99","4.60","12.81","76.84","-7.43","-2.64","0"
"W-591815648740533","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"6/26/21","1:30 PM","36.68","0","0.00","2.84","0","39.52","0","-1.51","0"
"O-893215562348340","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"6/18/21","5:30 PM","19.28","0","0.00","1.49","0","20.77","-2.41","-0.93","0"
"O-884615664900603","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"6/28/21","4:36 PM","10.99","0","0.00","0.85","1.78","13.62","-1.37","-0.72","0"
"O-944315599679002","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"6/20/21","7:02 PM","47.76","0","2.99","3.93","8.20","62.88","-6.34","-2.22","0"
"O-390215660618949","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"6/27/21","5:49 PM","21.99","0","2.99","1.93","4.03","30.94","-3.12","-1.24","0"
"W-146715563701861","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"6/18/21","12:08 PM","99.14","0","2.99","7.91","16.51","126.55","0","-4.16","0"
"W-023815400812224","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"6/3/21","12:00 PM","73.96","0","2.99","5.96","10.00","92.91","0","-3.13","0"
"W-752515540119371","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"6/15/21","5:51 PM","23.98","0","2.99","2.09","2.00","31.06","0","-1.25","0"
"O-686515619468135","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"6/23/21","4:06 PM","18.47","0","4.99","1.82","5.05","30.33","-2.93","-1.23","0"
"O-146715583759900","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"6/19/21","5:44 PM","38.98","0","0.00","3.02","3.00","45.00","-4.87","-1.67","0"
"W-519215441634240","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"6/5/21","7:08 PM","27.97","0","0.00","2.17","0","30.14","0","-1.22","0"
"O-737415517028811","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"6/13/21","3:28 PM","64.83","0","2.99","5.25","10.96","84.03","-8.48","-2.86","0"
"O-252615672206239","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"6/28/21","6:27 PM","57.95","0","2.99","4.72","6.57","72.23","-7.62","-2.50","0"
"W-191415436029570","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"6/5/21","6:00 PM","21.98","0","2.99","1.93","4.04","30.94","0","-1.24","0"
"W-620915630399054","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"6/25/21","5:44 PM","65.93","0","2.99","5.34","11.14","85.40","0","-2.90","0"
"O-999115606308220","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"6/21/21","6:20 PM","29.29","0","0.00","2.27","0","31.56","-3.66","-1.26","0"
"O-873515634043452","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"6/24/21","8:38 PM","20.97","0","2.99","1.86","5.16","30.98","-3.00","-1.24","0"
"O-221415540306436","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"6/15/21","8:45 PM","37.97","0","0.00","2.94","0","40.91","-4.75","-1.55","0"
"O-922915668919968","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"6/28/21","5:30 PM","42.75","0","4.99","3.70","7.72","59.16","-5.97","-2.10","0"
"O-969815686666427","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"6/29/21","9:28 PM","15.47","0","2.99","1.43","3.33","23.22","-2.31","-1.01","0"
