,"902 Broadway New York, NY 10010",Ameci Pizza & Pasta,,
,"Activity Period: Tue Jun 1, 2021 to Wed","25431 Trabuco Rd, Lake Forest CA, 92630",,
,"Jun 30, 2021",Account ID: 3057,,
,W-9 form reminder,,,
,"For legal reasons, we need your W-9 form and Slice Agreement Acknowledgement. If you haven’t",,,
,"already, return them asap. Talk to your Account Manager or email Partner@SliceLife.com",,,
Summary of Your Activity,,,"From June 1, 2021 to June 30, 2021, your",
Online Orders,,"$6,015.64","restaurant made $6,017.86 with Slice.",
158 orders,,"$7,147.10",Activity Details,
Processing fee,,-$286.22,Net Sales,"$5,739.36"
Slice partnership fee,,-$355.50,"Taxes
Sales Tax Withholding","$489.74
-$489.74"
Sales tax withholding,,-$489.74,Cust. Delivery fee,$317.05
27 Phone Orders,"$1,222.67",,"Tips
Slice Adjustments","$600.95
$62.97"
Slice partnership fee,,-$60.75,Slice Fees,-$702.47
"6 Slice
Adjustments",,$62.97,Total Earnings,"$6,017.86"
"TOTAL OF 185
ORDERS","$1,222.67","$6,017.86","Slice spent $18.00
in funding promo codes",
,"Paid directly by
your custom ers",Total Earnings,for your customers! *,
Order Activity Report Reminder,,,,
The order activity report is not a statement and it does not,,,,
correspond to a payment. The amounts on this report are,,,,
for your reference and reporting needs. Please refer to your,,,,
official statement on the Owner’s Portal for the finalized,,,,
reporting.,,,,

"902 Broadway New York, NY 10010",,,,,Ameci Pizza & Pasta,,,,,,
"Activity Period: Tue Jun 1, 2021 to Wed",,,,,"25431 Trabuco Rd, Lake Forest CA, 92630",,,,,,
"Jun 30, 2021",,,,,Account ID: 3057,,,,,,
Online Orders,,,,,,,,,,,
,,,,,Cust.,,,,,,
,,Order,Pickup,,,Order,,,Order,P'ship,Proc.
Date & Time,Order ID,,,Subtotal,Delivery,,Tax,Tips,,,
,,Type,Delivery,,,Adjust.,,,Total,Fee,Fee
,,,,,Fee,,,,,,
"Jun 01, 2021
Tuesday
8:08pm",47701804,Credit,Delivery,$20.00,$6.99,-$0.01,$2.16,$3.00,$32.14,-$2.25,-$1.29
"Jun 01, 2021
Tuesday
8:59pm",47702255,Credit,Pickup,$26.98,$0.00,$0.00,$2.16,$0.00,$29.14,-$2.25,-$1.17
"Jun 02, 2021
Wednesday
4:53pm",12601291,Phone,-,-,-,-,-,-,-,-$2.25,-
"Jun 02, 2021
Wednesday
5:01pm",47740460,Credit,Delivery,$39.46,$4.99,$0.00,$3.56,$7.89,$55.90,-$2.25,-$2.24
"Jun 02, 2021
Wednesday
5:02pm",12601378,Phone,-,-,-,-,-,-,-,-$2.25,-
"Jun 02, 2021
Wednesday
5:09pm",47741263,Credit,Delivery,$26.97,$2.99,$0.00,$2.40,$5.39,$37.75,-$2.25,-$1.51
"Jun 02, 2021
Wednesday
5:20pm",47742108,Credit,Delivery,$32.00,$1.99,-$0.01,$2.72,$3.20,$39.90,-$2.25,-$1.60
"Jun 02, 2021
Wednesday
5:33pm",47743110,Credit,Delivery,$42.96,$4.99,$0.00,$3.84,$6.44,$58.23,-$2.25,-$2.33
"Jun 02, 2021
Wednesday
6:13pm",47745546,Credit,Delivery,$26.45,$1.99,$0.00,$2.28,$5.29,$36.01,-$2.25,-$1.44
"Jun 02, 2021
Wednesday
6:36pm",47746485,Credit,Delivery,$26.99,$1.99,$0.00,$2.32,$4.05,$35.35,-$2.25,-$1.02
"Jun 02, 2021
Wednesday
7:57pm",12602258,Phone,-,-,-,-,-,-,-,-$2.25,-
"Jun 02, 2021
Wednesday
8:23pm",47748596,Credit,Delivery,$15.57,$2.99,$0.00,$1.48,$0.00,$20.04,-$2.25,-$0.80
"Jun 02, 2021
Wednesday
8:25pm",47748612,Credit,Pickup,$20.00,$0.00,-$0.01,$1.60,$0.00,$21.59,-$2.25,-$0.86
"Jun 02, 2021",,,,,,,,,,,
Wednesday,47748697,Credit,Delivery,$20.00,$2.99,-$0.01,$1.84,$3.00,$27.82,-$2.25,-$1.12
8:32pm,,,,,,,,,,,

"Jun 03, 2021
Thursday
11:24am",12604212,Phone,-,-,-,-,-,-,-,-$2.25,-
"Jun 03, 2021
Thursday
11:26am",12604227,Phone,-,-,-,-,-,-,-,-$2.25,-
"Jun 03, 2021
Thursday
1:58pm",47768176,Credit,Pickup,$10.99,$0.00,$0.00,$0.88,$0.00,$11.87,-$2.25,-$0.48
"Jun 03, 2021
Thursday
4:00pm",47786464,Credit,Delivery,$267.54,$4.99,$0.00,$21.80,$0.00,$294.33,-$2.25,-$11.78
"Jun 03, 2021
Thursday
4:22pm",47789415,Credit,Delivery,$47.44,$4.99,$0.00,$4.19,$7.12,$63.74,-$2.25,-$2.55
"Jun 03, 2021
Thursday
5:34pm",47796911,Credit,Delivery,$22.27,$1.99,$0.00,$1.94,$3.34,$29.54,-$2.25,-$1.18
"Jun 03, 2021
Thursday
5:44pm",47797656,Credit,Pickup,$29.35,$0.00,$0.00,$2.35,$5.87,$37.57,-$2.25,-$1.51
"Jun 03, 2021
Thursday
5:47pm",12608100,Phone,-,-,-,-,-,-,-,-$2.25,-
"Jun 03, 2021
Thursday
7:01pm",12608465,Phone,-,-,-,-,-,-,-,-$2.25,-
"Jun 03, 2021
Thursday
8:14pm",47802946,Credit,Delivery,$43.96,$1.99,$0.00,$3.68,$0.00,$49.63,-$2.25,-$1.99
"Jun 04, 2021
Friday
12:18pm",47818094,Credit,Pickup,$64.51,$0.00,$0.00,$5.16,$9.68,$79.35,-$2.25,-$3.18
"Jun 04, 2021
Friday
4:30pm",47869957,Credit,Pickup,$21.29,$0.00,$0.00,$1.70,$0.00,$22.99,-$2.25,-$0.92
"Jun 04, 2021
Friday
4:39pm",47871815,Credit,Delivery,$20.00,$2.99,-$0.01,$1.84,$3.00,$27.82,-$2.25,-$1.11
"Jun 04, 2021
Friday
4:41pm",47872185,Credit,Delivery,$37.93,$2.99,$0.00,$3.27,$5.00,$49.19,-$2.25,-$1.97
"Jun 04, 2021
Friday
5:05pm",47876638,Credit,Delivery,$63.98,$4.99,-$0.01,$5.52,$9.60,$84.08,-$2.25,-$3.36
"Jun 04, 2021
Friday
5:13pm",47878000,Credit,Pickup,$25.98,$0.00,$0.00,$2.08,$0.00,$28.06,-$2.25,-$1.13
"Jun 04, 2021",,,,,,,,,,,
Friday,47879877,Credit,Delivery,$26.34,$2.99,$0.00,$2.35,$5.27,$36.95,-$2.25,-$1.48
5:25pm,,,,,,,,,,,

"Jun 04, 2021
Friday
6:17pm",47886468,Credit,Pickup,$18.97,$0.00,$0.00,$1.52,$2.00,$22.49,-$2.25,-$0.90
"Jun 04, 2021
Friday
6:17pm",47886492,Credit,Delivery,$47.96,$4.99,$0.00,$4.24,$7.19,$64.38,-$2.25,-$2.58
"Jun 04, 2021
Friday
8:42pm",47893233,Credit,Pickup,$30.98,$0.00,$0.00,$2.48,$0.00,$33.46,-$2.25,-$1.34
"Jun 05, 2021
Saturday
5:54pm",47954733,Credit,Delivery,$85.42,$1.99,$0.00,$6.99,$12.81,$107.21,-$2.25,-$4.29
"Jun 05, 2021
Saturday
6:04pm",47955746,Credit,Pickup,$10.99,$0.00,$0.00,$0.88,$0.00,$11.87,-$2.25,-$0.48
