Store Name,Store ID,Order ID,Workflow ID,Dining Mode,Order Channel,Order Status,Order Date / Refund date,Order Accept Time,Food Sales (excluding tax),Tax on Food Sales,Food sales (including tax),Adjustments (excluding tax),Tax on Adjustments,Promo Spend on food,Tax on Promotion on Food,Special Offer - Delivery,Tax on Special Offer - Delivery,Bag Fee,Marketing Service Fee Adjustment,Total Sales after Adjustments (including tax),Uber Service Fee,Delivery Network Fee,Order Processing Fee,Merchant Fee,Tax on Merchant Fee,Gratuity,Misc Payment Description,Miscellaneous Payments,Marketplace Facilitator Tax,Backup Withholding Tax,Payout,Payout Date,Markup Amount,Markup Tax,Service Fee %
Ameci Pizza & Pasta - Lake Forest,,#98D5A,6c579a52-4cfb-4e36-8bf8-da1c51698d5a,,Unknown,Refund,5/30/21,2:12 PM,-10.99,0,-10.99,0,0,0,0,0,0,0,,0,0,,,0,0,0,,0,0,0,-10.99,6/7/21,,,
Ameci Pizza & Pasta - Lake Forest,,#43EAF,ea58939b-4193-4cb3-8d78-c9e939943eaf,Delivery - Partner Using Uber App,Postmates iOS,Completed,6/1/21,3:01 PM,17.88,1.21,19.09,0,0,0,0,0,0,0,0,19.09,-3.58,0,0,0,0,0,,0,-1.21,0,14.3,6/7/21,0,0,20
Ameci Pizza & Pasta - Lake Forest,,#8A7C3,6db5c4cf-37ed-420b-a4f5-6e3c3818a7c3,Delivery - Partner Using Uber App,Postmates iOS,Completed,6/1/21,4:56 PM,36.2,2.81,39.01,0,0,0,0,0,0,0,0,39.01,-7.24,0,0,0,0,0,,0,-2.81,0,28.96,6/7/21,0,0,20
Ameci Pizza & Pasta - Lake Forest,,#AACCC,ec19f203-a3f5-4c31-b6a5-b28d805aaccc,Delivery - Partner Using Uber App,Postmates iOS,Completed,6/1/21,5:12 PM,67.57,5.24,72.81,0,0,0,0,0,0,0,0,72.81,-13.51,0,0,0,0,0,,0,-5.24,0,54.06,6/7/21,0,0,20
Ameci Pizza & Pasta - Lake Forest,,#696E6,d8e4b79c-e953-4f45-a0fd-3a656d4696e6,Delivery - Partner Using Uber App,Postmates iOS,Completed,6/1/21,6:30 PM,52.95,4.1,57.05,0,0,0,0,0,0,0,0,57.05,-10.59,0,0,0,0,0,,0,-4.1,0,42.36,6/7/21,0,0,20
Ameci Pizza & Pasta - Lake Forest,,#663FD,a38bebba-6e0d-428a-83e7-9f01cde663fd,Delivery - Partner Using Uber App,UberEats Android,Completed,6/1/21,9:06 PM,17.48,1.35,18.83,0,0,0,0,0,0,0,0,18.83,-3.32,0,0,0,0,0,,0,-1.35,0,14.16,6/7/21,0,0,19
Ameci Pizza & Pasta - Lake Forest,,#36112,db47df08-04c5-427e-8336-331d0ce36112,Delivery - Partner Using Uber App,UberEats iOS,Completed,6/2/21,11:51 AM,27.76,2.15,29.91,0,0,0,0,0,0,0,0,29.91,-5.27,0,0,0,0,0,,0,-2.15,0,22.49,6/7/21,0,0,19
Ameci Pizza & Pasta - Lake Forest,,#FD5F7,84b88f65-7821-44e7-8e90-761818dfd5f7,Delivery - Partner Using Uber App,UberEats Web,Completed,6/2/21,1:56 PM,18.99,1.47,20.46,0,0,0,0,0,0,0,0,20.46,-3.61,0,0,0,0,0,,0,-1.47,0,15.38,6/7/21,0,0,19
Ameci Pizza & Pasta - Lake Forest,,#020C6,b366d1ef-d2a0-4cee-88a2-11843af020c6,Delivery - Partner Using Uber App,Postmates iOS,Completed,6/2/21,3:13 PM,37.48,2.9,40.38,0,0,0,0,0,0,0,0,40.38,-7.5,0,0,0,0,0,,0,-2.9,0,29.98,6/7/21,0,0,20
Ameci Pizza & Pasta - Lake Forest,,#4F3C7,22548749-389a-4e5e-99a0-aefb5104f3c7,Delivery - Partner Using Uber App,UberEats Web,Completed,6/2/21,5:19 PM,55.95,4.34,60.29,0,0,0,0,0,0,0,0,60.29,-10.63,0,0,0,0,0,,0,-4.34,0,45.32,6/7/21,0,0,19
