,Ameci Pizza & Pasta - Lake,,,,,,,Forest,,
,Start Date,,,,,,,7/1/2021,,
,End Date,,,,,,,8/1/2021,,
,Prepaid Total,,,,,,,$231.88,,
,Taxes Withheld,,,,,,,$29.53,,
,Orders,,Subtotal      Tax,,Delivery,Tip,,Total,,
,8,,$172.27     $0.00,,$24.00,$35.61,,$231.88,,
,,,Charge,,,,,Note,,
,Prepaid,,Total      $231.88,,,,,,,
Commission (Comm),,,,($30.14),,,,,,
Processing (Proc),,,,($10.50),,,,,,
Total Charges,,,,($40.64),,,,,,
7/7/2021,,ID,,,Tip,Total,Proc,,Comm,
12:00 PM,,Delivery                                       28657091,,,$4.96,$30.22,$1.36,,$3.90,
7/10/2021,,ID,,,Tip,Total,Proc,,Comm,
5:56 PM,,Delivery                                       28710297,,,$7.00,$51.08,$2.09,,$7.19,
7/12/2021,,ID,,,Tip,Total,Proc,,Comm,
11:30 AM,,Delivery                                       28730253,,,$4.82,$25.09,$1.18,,$3.02,
7/14/2021,,ID,,,Tip,Total,Proc,,Comm,
11:18 AM,,Delivery                                       28754637,,,$3.86,$24.13,$1.14,,$3.02,
7/20/2021,,ID,,,Tip,Total,Proc,,Comm,
11:09 AM,,Delivery                                       28837835,,,$3.86,$24.13,$1.14,,$3.02,
7/23/2021,,ID,,,Tip,Total,Proc,,Comm,
11:10 AM,,Delivery                                       28877515,,,$3.86,$24.13,$1.14,,$3.02,
7/27/2021,,ID,,,Tip,Total,Proc,,Comm,
11:17 AM,,Delivery                                       28933033,,,$3.86,$24.13,$1.14,,$3.02,
7/29/2021,,ID,,,Tip,Total,Proc,,Comm,
3:46 PM,,Delivery                                       28963499,,,$3.39,$28.97,$1.31,,$3.95,
Phone: (866) 654-8777     Email: support@eatstreet.com,,,,,,,,,,
