"Delivery Date","Order #",Name,Location,"Food Total",Period,"Check Date"
07/29/2021,1222409,"Aroma Pizza & Pasta","Aroma Pizza & Pasta",276.89,17,08/20/2021
07/29/2021,1228005,"Aroma Pizza & Pasta","Aroma Pizza & Pasta",189.99,17,08/20/2021
07/28/2021,1222448,"Aroma Pizza & Pasta","Aroma Pizza & Pasta",207.13,17,08/20/2021
07/27/2021,1222407,"Aroma Pizza & Pasta","Aroma Pizza & Pasta",252.97,17,08/20/2021
07/26/2021,1222446,"Aroma Pizza & Pasta","Aroma Pizza & Pasta",230.75,17,08/20/2021
07/16/2021,1215389,"Aroma Pizza & Pasta","Aroma Pizza & Pasta",257.31,16,08/06/2021
07/15/2021,1215417,"Aroma Pizza & Pasta","Aroma Pizza & Pasta",142.57,16,08/06/2021
07/14/2021,1218394,"Aroma Pizza & Pasta","Aroma Pizza & Pasta",137.84,16,08/06/2021
07/13/2021,1215525,"Aroma Pizza & Pasta","Aroma Pizza & Pasta",167.80,16,08/06/2021
07/12/2021,1215554,"Aroma Pizza & Pasta","Aroma Pizza & Pasta",189.49,16,08/06/2021
07/06/2021,1208449,"Ameci Pizza & Pasta","Ameci Pizza & Pasta - Lake Forest",159.89,15,07/23/2021
07/02/2021,1213061,"Aroma Pizza & Pasta","Aroma Pizza & Pasta",207.74,15,07/23/2021
