,"902 Broadway New York, NY 10010",Ameci Pizza & Pasta,,
,"Activity Period: Thu Jul 1, 2021 to Sat Jul 31, 2021","25431 Trabuco Rd, Lake Forest CA, 92630",,
,,Account ID: 3057,,
,W-9 form reminder,,,
,"For legal reasons, we need your W-9 form and Slice Agreement Acknowledgement. If you haven’t already, return them asap. Talk to your Account Manager or email",,,
,Partner@SliceLife.com,,,
Summary of Your Activity,,,,
,,,"From July 1, 2021 to July 31, 2021, your restaurant made",
Orders,,"$5,953.53","$5,929.52 with Slice.",
156 online orders,,"$7,072.01",Activity Details,
Processing fee,,-$283.14,,
Slice partnership fee,,-$351.00,"Net Sales
Taxes","$5,627.68
$484.34"
Sales tax withholding,,-$484.34,"Sales Tax Withholding
Cust. Delivery fee","-$484.34
$347.01"
32 Phone Orders,"$1,452.03",,Tips,$612.98
Slice partnership fee,,-$72.00,"Slice Adjustments
Slice Fees","$47.99
-$706.14"
7 Slice Adjustments,,$47.99,,
TOTAL OF 188 ORDERS,"$1,452.03","$5,929.52",Total Earnings,"$5,929.52"
,"Paid directly by
your customers",Total Earnings,Slice spent $47.99,
,,,in funding promotions,
,,,for your customers! *,
Order Activity Report Reminder,,,,
The order activity report is not a statement and it does not correspond to a,,,,
payment. The amounts on this report are for your reference and reporting needs.,,,,
Please refer to your official statement on the Owner’s Portal for the finalized,,,,
reporting.,,,,

Online Orders,,,,,,,,,,,
Date & Time,Order ID,"Order
Type","Pickup
Delivery",Subtotal,"Cust.
Delivery
Fee","Order
Adjust.",Tax,Tips,"Order
Total","P'ship
Fee","Proc.
Fee"
"Jul 01, 2021
Thursday
7:31pm",49378493,Credit,Delivery,$18.53,$1.99,$0.00,$1.64,$3.75,$25.91,-$2.25,-$1.04
"Jul 02, 2021
Friday
3:38pm",49427587,Credit,Delivery,$36.46,$4.99,$0.00,$3.32,$7.29,$52.06,-$2.25,-$2.08
"Jul 02, 2021
Friday
4:38pm",49439608,Credit,Delivery,$20.56,$2.99,$0.00,$1.88,$3.08,$28.51,-$2.25,-$1.14
"Jul 02, 2021
Friday
4:51pm",49441777,Credit,Pickup,$21.29,$0.00,$0.00,$1.70,$0.00,$22.99,-$2.25,-$0.92
"Jul 02, 2021
Friday
4:55pm",49442480,Credit,Pickup,$65.73,$0.00,$0.00,$5.26,$6.57,$77.56,-$2.25,-$3.11
"Jul 02, 2021
Friday
5:25pm",49446848,Credit,Pickup,$12.88,$0.00,$0.00,$1.03,$1.93,$15.84,-$2.25,-$0.64
"Jul 02, 2021
Friday
5:48pm",49449778,Credit,Delivery,$29.56,$2.99,$0.00,$2.60,$4.43,$39.58,-$2.25,-$0.98
"Jul 02, 2021
Friday
6:48pm",49454837,Credit,Delivery,$17.37,$2.99,$0.00,$1.63,$2.61,$24.60,-$2.25,-$0.99
"Jul 02, 2021
Friday
7:29pm",49456746,Credit,Delivery,$38.97,$2.99,$0.00,$3.36,$5.00,$50.32,-$2.25,-$2.02
"Jul 02, 2021
Friday
8:01pm",49457669,Credit,Delivery,$51.96,$1.99,$0.00,$4.32,$7.79,$66.06,-$2.25,-$2.64
"Jul 02, 2021
Friday
8:24pm",49458189,Credit,Delivery,$30.00,$2.99,-$3.01,$2.40,$4.05,$36.43,-$2.25,-$1.46
"Jul 03, 2021
Saturday
1:55pm",49477857,Credit,Delivery,$51.18,$2.99,$0.00,$4.33,$7.68,$66.18,-$2.25,-$2.65
"Jul 03, 2021
Saturday
4:27pm",49500797,Credit,Pickup,$59.66,$0.00,$0.00,$4.77,$3.00,$67.43,-$2.25,-$2.70
"Jul 03, 2021
Saturday
4:57pm",49504626,Credit,Delivery,$32.63,$2.99,$0.00,$2.85,$4.89,$43.36,-$2.25,-$1.73
"Jul 03, 2021
Saturday
5:09pm",49505958,Credit,Pickup,$20.00,$0.00,-$0.01,$1.60,$0.00,$21.59,-$2.25,-$0.87
"Jul 03, 2021
Saturday
5:29pm",49508105,Credit,Pickup,$29.99,$0.00,-$0.01,$2.40,$4.50,$36.88,-$2.25,-$1.48
"Jul 03, 2021
Saturday
7:52pm",49516415,Credit,Delivery,$20.00,$6.99,-$0.01,$2.16,$3.00,$32.14,-$2.25,-$1.29
"Jul 03, 2021
Saturday
8:37pm",49517376,Credit,Delivery,$53.75,$2.99,$0.00,$4.54,$8.51,$69.79,-$2.25,-$2.79
"Jul 03, 2021
Saturday
9:08pm",49517796,Credit,Delivery,$40.94,$4.99,$0.00,$3.67,$4.09,$53.69,-$2.25,-$2.15
