Store Name,Store ID,Order ID,Workflow ID,Dining Mode,Order Channel,Order Status,Order Date / Refund date,Order Accept Time,Food Sales (excluding tax),Tax on Food Sales,Food sales (including tax),Adjustments (excluding tax),Tax on Adjustments,Promo Spend on food,Tax on Promotion on Food,Special Offer - Delivery,Tax on Special Offer - Delivery,Bag Fee,Marketing Service Fee Adjustment,Total Sales after Adjustments (including tax),Uber Service Fee,Delivery Network Fee,Order Processing Fee,Merchant Fee,Tax on Merchant Fee,Gratuity,Misc Payment Description,Miscellaneous Payments,Marketplace Facilitator Tax,Backup Withholding Tax,Payout,Payout Date,Markup Amount,Markup Tax,Service Fee %,Payout reference ID
Ameci Pizza & Pasta - Lake Forest,,#C0C81,5297e0d2-c7da-4a47-a5fb-4f235b4c0c81,Delivery - Partner Using Uber App,Postmates iOS,Completed,7/1/21,12:01 PM,51.95,4.03,55.98,0,0,0,0,0,0,0,0,55.98,-10.39,0,0,0,0,0,,0,-4.03,0,41.56,7/6/21,0,0,20,0NH0EJ3HHCO0VU7
Ameci Pizza & Pasta - Lake Forest,,#F4E40,b6e7dcc2-c575-4f35-854a-2cd64f6f4e40,Delivery - Partner Using Uber App,Postmates iOS,Completed,7/1/21,4:23 PM,39.96,3.1,43.06,0,0,0,0,0,0,0,0,43.06,-7.99,0,0,0,0,0,,0,-3.1,0,31.97,7/6/21,0,0,20,0NH0EJ3HHCO0VU7
Ameci Pizza & Pasta - Lake Forest,,#F4495,d042ce77-6601-4140-bfce-12295b6f4495,Delivery - Partner Using Uber App,Postmates iOS,Completed,7/1/21,4:29 PM,16.98,1.32,18.3,0,0,0,0,0,0,0,0,18.3,-3.4,0,0,0,0,0,,0,-1.32,0,13.58,7/6/21,0,0,20,0NH0EJ3HHCO0VU7
Ameci Pizza & Pasta - Lake Forest,,#9FCA3,f281bf42-92a1-4022-bd6d-76b762f9fca3,Delivery - Partner Using Uber App,UberEats iOS,Completed,7/1/21,5:46 PM,29.98,2.32,32.3,0,0,0,0,0,0,0,0,32.3,-5.7,0,0,0,0,0,,0,-2.32,0,24.28,7/6/21,0,0,19,0NH0EJ3HHCO0VU7
Ameci Pizza & Pasta - Lake Forest,,#4BBFC,391c36b1-0d19-4388-8065-26513804bbfc,Delivery - Partner Using Uber App,Postmates iOS,Completed,7/1/21,6:06 PM,24.77,1.92,26.69,0,0,0,0,0,0,0,0,26.69,-4.95,0,0,0,0,0,,0,-1.92,0,19.82,7/6/21,0,0,20,0NH0EJ3HHCO0VU7
Ameci Pizza & Pasta - Lake Forest,,#4EE71,d96a4974-7acb-499a-8884-425d0da4ee71,Delivery - Partner Using Uber App,Postmates Android,Completed,7/1/21,7:38 PM,21.98,1.7,23.68,0,0,0,0,0,0,0,0,23.68,-4.4,0,0,0,0,0,,0,-1.7,0,17.58,7/6/21,0,0,20,0NH0EJ3HHCO0VU7
Ameci Pizza & Pasta - Lake Forest,,#EEA66,309ac977-69f0-464b-be7d-b6624edeea66,Delivery - Partner Using Uber App,Postmates iOS,Completed,7/1/21,8:10 PM,35.84,2.78,38.62,0,0,0,0,0,0,0,0,38.62,-7.17,0,0,0,0,0,,0,-2.78,0,28.67,7/6/21,0,0,20,0NH0EJ3HHCO0VU7
Ameci Pizza & Pasta - Lake Forest,,#A5A5E,12da63ab-f20d-4486-b6c7-548c2e3a5a5e,Delivery - Partner Using Uber App,UberEats Android,Completed,7/1/21,9:11 PM,21.99,1.7,23.69,0,0,0,0,0,0,0,0,23.69,-4.18,0,0,0,0,0,,0,-1.7,0,17.81,7/6/21,0,0,19,0NH0EJ3HHCO0VU7
Ameci Pizza & Pasta - Lake Forest,,#B45A8,a47447aa-28f4-4aca-907f-8cde628b45a8,Delivery - Partner Using Uber App,Postmates iOS,Completed,7/2/21,11:10 AM,64.99,5.04,70.03,0,0,0,0,0,0,0,0,70.03,-13,0,0,0,0,0,,0,-5.04,0,51.99,7/6/21,0,0,20,0NH0EJ3HHCO0VU7
Ameci Pizza & Pasta - Lake Forest,,#B6619,cbbe37ad-b989-4972-a246-a095d89b6619,Pickup,Postmates iOS,Completed,7/2/21,4:56 PM,18.99,1.47,20.46,0,0,0,0,0,0,0,0,20.46,-1.9,0,0,0,0,0,,0,-1.47,0,17.09,7/6/21,0,0,10,0NH0EJ3HHCO0VU7
Ameci Pizza & Pasta - Lake Forest,,#45986,38915dff-d95d-44f2-9145-966a32045986,Delivery - Partner Using Uber App,UberEats iOS,Completed,7/2/21,5:45 PM,34.97,2.71,37.68,0,0,0,0,0,0,0,0,37.68,-6.64,0,0,0,0,0,,0,-2.71,0,28.33,7/6/21,0,0,19,0NH0EJ3HHCO0VU7
Ameci Pizza & Pasta - Lake Forest,,#DA376,e2f7e42c-3ec0-4212-aebe-f0527b2da376,Delivery - Partner Using Uber App,Postmates iOS,Completed,7/2/21,6:42 PM,39.97,3.1,43.07,0,0,0,0,0,0,0,0,43.07,-7.99,0,0,0,0,0,,0,-3.1,0,31.98,7/6/21,0,0,20,0NH0EJ3HHCO0VU7
Ameci Pizza & Pasta - Lake Forest,,#EF046,3dbef735-652c-4f3f-bdfb-93bb783ef046,Delivery - Partner Using Uber App,UberEats iOS,Completed,7/2/21,6:44 PM,62.91,4.88,67.79,0,0,0,0,0,0,0,0,67.79,-11.95,0,0,0,0,0,,0,-4.88,0,50.96,7/6/21,0,0,19,0NH0EJ3HHCO0VU7
Ameci Pizza & Pasta - Lake Forest,,#E63AA,63bbc4df-c94e-49a9-8ad2-a67842de63aa,Delivery - Partner Using Uber App,UberEats iOS,Completed,7/2/21,6:43 PM,38.45,2.98,41.43,0,0,0,0,0,0,0,0,41.43,-7.31,0,0,0,0,0,,0,-2.98,0,31.14,7/6/21,0,0,19,0NH0EJ3HHCO0VU7
Ameci Pizza & Pasta - Lake Forest,,#44E29,7c4ae752-6567-43f0-960f-44148fe44e29,Delivery - Partner Using Uber App,UberEats iOS,Completed,7/2/21,7:05 PM,21.98,1.7,23.68,0,0,0,0,0,0,0,0,23.68,-4.18,0,0,0,0,0,,0,-1.7,0,17.8,7/6/21,0,0,19,0NH0EJ3HHCO0VU7
Ameci Pizza & Pasta - Lake Forest,,#47B72,397c1dc3-741a-4849-b266-9a46c7c47b72,Delivery - Partner Using Uber App,Postmates iOS,Completed,7/2/21,8:04 PM,10.99,0.85,11.84,0,0,0,0,0,0,0,0,11.84,-2.2,0,0,0,0,0,,0,-0.85,0,8.79,7/6/21,0,0,20,0NH0EJ3HHCO0VU7
Ameci Pizza & Pasta - Lake Forest,,#BB7C3,5995483a-f291-4677-87df-64cdfc3bb7c3,Delivery - Partner Using Uber App,UberEats Android,Completed,7/2/21,8:18 PM,15.57,1.21,16.78,0,0,0,0,0,0,0,0,16.78,-2.96,0,0,0,0,0,,0,-1.21,0,12.61,7/6/21,0,0,19,0NH0EJ3HHCO0VU7
Ameci Pizza & Pasta - Lake Forest,,#8A4E9,7d6cb67d-0582-49e4-9e0e-2d55a808a4e9,Delivery - Partner Using Uber App,Postmates iOS,Completed,7/3/21,1:22 PM,36.66,2.84,39.5,0,0,0,0,0,0,0,0,39.5,-7.33,0,0,0,0,0,,0,-2.84,0,29.33,7/6/21,0,0,20,0NH0EJ3HHCO0VU7
Ameci Pizza & Pasta - Lake Forest,,#307B3,21f3d724-fd15-4b0f-b89a-e224bff307b3,Delivery - Partner Using Uber App,UberEats iOS,Completed,7/3/21,2:50 PM,34.63,2.68,37.31,0,0,0,0,0,0,0,0,37.31,-6.58,0,0,0,0,0,,0,-2.68,0,28.05,7/6/21,0,0,19,0NH0EJ3HHCO0VU7
