"TIMESTAMP_UTC_TIME","TIMESTAMP_UTC_DATE","TIMESTAMP_LOCAL_TIME","TIMESTAMP_LOCAL_DATE","PAYOUT_TIME","PAYOUT_DATE","STORE_ID","BUSINESS_ID","STORE_NAME","MERCHANT_STORE_ID","TRANSACTION_TYPE","TRANSACTION_ID","DOORDASH_ORDER_ID","MERCHANT_DELIVERY_ID","EXTERNAL_ID","DESCRIPTION","FINAL_ORDER_STATUS","CURRENCY","SUBTOTAL","TAX_SUBTOTAL","COMMISSION","COMMISSION_TAX_AMOUNT","MARKETING_FEES","STAFF_TIP","CREDIT","DEBIT","DOORDASH_TRANSACTION_ID","PAYOUT_ID","DRIVE_CHARGE","TAX_REMITTED_BY_DOORDASH_TO_STATE","SUBTOTAL_FOR_TAX","DOORDASH_FUNDED_SUBTOTAL_DISCOUNT_AMOUNT","MERCHANT_FUNDED_SUBTOTAL_DISCOUNT_AMOUNT"
"20:12:07","2021-08-01","13:12:07","2021-08-01","2021-08-05 07:31:20.448616000","2021-08-05",111737,4736,"Ameci Pizza & Pasta (Trabuco Rd)","NULL","DELIVERY","3a757a96-e62c-4d24-99c9-e64b7b5245cf","=""7b5245cf""","NULL","NULL","Order Received Time: 2021-08-01 19:49:37.597591000
Order Pickup Time: 2021-08-01 20:12:07.445490000","Delivered","USD",11.99,1.08,3.00,0.00,0.00,0.00,10.07,0.00,"2690688520",160915485,0.00,0.00,11.99,NULL,NULL
"21:21:39","2021-08-01","14:21:39","2021-08-01","2021-08-05 07:31:20.448616000","2021-08-05",111737,4736,"Ameci Pizza & Pasta (Trabuco Rd)","NULL","DELIVERY","60ec38cc-f6ea-4475-8d77-ba06c0b39607","=""c0b39607""","NULL","NULL","Order Received Time: 2021-08-01 21:05:04.512490000
Order Pickup Time: 2021-08-01 21:21:39.950253000","Delivered","USD",13.98,1.26,3.50,0.00,0.00,0.00,11.74,0.00,"2691090081",160915485,0.00,0.00,13.98,NULL,NULL
"21:54:51","2021-08-01","14:54:51","2021-08-01","2021-08-05 07:31:20.448616000","2021-08-05",111737,4736,"Ameci Pizza & Pasta (Trabuco Rd)","NULL","DELIVERY","6f356235-c1c2-4df8-9165-34ea46241e1a","=""46241e1a""","NULL","NULL","Order Received Time: 2021-08-01 21:27:45.086823000
Order Pickup Time: 2021-08-01 21:54:51.104996000","Delivered","USD",30.26,2.72,7.57,0.00,0.00,0.00,25.41,0.00,"2691302221",160915485,0.00,0.00,30.26,NULL,NULL
"22:41:54","2021-08-01","15:41:54","2021-08-01","2021-08-05 07:31:20.448616000","2021-08-05",111737,4736,"Ameci Pizza & Pasta (Trabuco Rd)","NULL","DELIVERY","7b502758-7510-4b54-9dce-c1e94384a082","=""4384a082""","NULL","NULL","Order Received Time: 2021-08-01 22:21:57.466803000
Order Pickup Time: 2021-08-01 22:41:54.374635000","Delivered","USD",44.96,4.05,11.24,0.00,0.00,0.00,37.77,0.00,"2691632842",160915485,0.00,0.00,44.96,6.74,NULL
"23:23:46","2021-08-01","16:23:46","2021-08-01","2021-08-05 07:31:20.448616000","2021-08-05",111737,4736,"Ameci Pizza & Pasta (Trabuco Rd)","NULL","DELIVERY","9cb50bf7-af50-4627-9399-d0720154c115","=""0154c115""","NULL","NULL","Order Received Time: 2021-08-01 23:00:33.289605000
Order Pickup Time: 2021-08-01 23:23:46.552241000","Delivered","USD",25.77,2.32,6.44,0.00,0.00,0.00,21.65,0.00,"2691947947",160915485,0.00,0.00,25.77,NULL,NULL
"00:20:43","2021-08-02","17:20:43","2021-08-01","2021-08-05 07:31:20.448616000","2021-08-05",111737,4736,"Ameci Pizza & Pasta (Trabuco Rd)","NULL","DELIVERY","f428359a-658c-4e62-b9e0-1c949e60edb8","=""9e60edb8""","NULL","NULL","Order Received Time: 2021-08-01 23:58:15.336268000
Order Pickup Time: 2021-08-02 00:20:43.757550000","Delivered","USD",15.98,1.44,4.00,0.00,0.00,0.00,13.42,0.00,"2692389724",160915485,0.00,0.00,15.98,NULL,NULL
"00:41:05","2021-08-02","17:41:05","2021-08-01","2021-08-05 07:31:20.448616000","2021-08-05",111737,4736,"Ameci Pizza & Pasta (Trabuco Rd)","NULL","DELIVERY","f232ab6c-d937-4e6b-abe7-6865edc36dbd","=""edc36dbd""","NULL","NULL","Order Received Time: 2021-08-02 00:04:00.341515000
Order Pickup Time: 2021-08-02 00:41:05.017355000","Delivered","USD",61.16,5.50,15.29,0.00,0.00,0.00,51.37,0.00,"2692547901",160915485,0.00,0.00,61.16,NULL,NULL
"00:46:54","2021-08-02","17:46:54","2021-08-01","2021-08-05 07:31:20.448616000","2021-08-05",111737,4736,"Ameci Pizza & Pasta (Trabuco Rd)","NULL","DELIVERY","baa7348c-fba9-4d8c-9db6-1fb0fae77387","=""fae77387""","NULL","NULL","Order Received Time: 2021-08-02 00:19:55.220116000
Order Pickup Time: 2021-08-02 00:46:54.574536000","Delivered","USD",23.73,2.14,5.93,0.00,0.00,0.00,19.94,0.00,"2692592119",160915485,0.00,0.00,23.73,NULL,NULL
"01:03:19","2021-08-02","18:03:19","2021-08-01","2021-08-05 07:31:20.448616000","2021-08-05",111737,4736,"Ameci Pizza & Pasta (Trabuco Rd)","NULL","DELIVERY","d33f1ae6-1e85-4ca1-97c6-1c55554600f8","=""554600f8""","NULL","NULL","Order Received Time: 2021-08-02 00:40:09.928314000
Order Pickup Time: 2021-08-02 01:03:19.943825000","Delivered","USD",27.98,2.52,7.00,0.00,0.00,0.00,23.50,0.00,"2692714569",160915485,0.00,0.00,27.98,NULL,NULL
"01:26:03","2021-08-02","18:26:03","2021-08-01","2021-08-05 07:31:20.448616000","2021-08-05",111737,4736,"Ameci Pizza & Pasta (Trabuco Rd)","NULL","DELIVERY","3710ee47-59c6-4084-96f0-31850fbe9f60","=""0fbe9f60""","NULL","NULL","Order Received Time: 2021-08-02 00:58:36.518076000
Order Pickup Time: 2021-08-02 01:26:03.837611000","Delivered","USD",77.14,6.94,19.29,0.00,0.00,0.00,64.79,0.00,"2692879061",160915485,0.00,0.00,77.14,NULL,NULL
