,"902 Broadway New York, NY 10010",Ameci Pizza & Pasta,,
,"Activity Period: Sun Aug 1, 2021 to Tue Aug 31, 2021","25431 Trabuco Rd, Lake Forest CA, 92630",,
,,Account ID: 3057,,
,W-9 form reminder,,,
,"For legal reasons, we need your W-9 form and Slice Agreement Acknowledgement. If you haven’t already, return them asap. Talk to your Account Manager or email",,,
,Partner@SliceLife.com,,,
Summary of Your Activity,,,,
,,,"From August 1, 2021 to August 31, 2021, your restaurant",
Orders,,"$5,033.90","made $5,064.87 with Slice.",
127 online orders,,"$5,967.15",Activity Details,
Processing fee,,-$238.89,,
Slice partnership fee,,-$285.75,"Net Sales
Taxes","$4,706.21
$408.61"
Sales tax withholding,,-$408.61,"Sales Tax Withholding
Cust. Delivery fee","-$408.61
$288.18"
32 Phone Orders,"$1,504.82",,Tips,$564.15
Slice partnership fee,,-$72.00,"Slice Adjustments
Slice Fees","$102.97
-$596.64"
16 Slice Adjustments,,$102.97,,
TOTAL OF 159 ORDERS,"$1,504.82","$5,064.87",Total Earnings,"$5,064.87"
,"Paid directly by
your customers",Total Earnings,Slice spent $100.97,
,,,in funding promotions,
,,,for your customers! *,
Order Activity Report Reminder,,,,
The order activity report is not a statement and it does not correspond to a,,,,
payment. The amounts on this report are for your reference and reporting needs.,,,,
Please refer to your official statement on the Owner’s Portal for the finalized,,,,
reporting.,,,,

Online Orders,,,,,,,,,,,
Date & Time,Order ID,"Order
Type","Pickup
Delivery",Subtotal,"Cust.
Delivery
Fee","Order
Adjust.",Tax,Tips,"Order
Total","P'ship
Fee","Proc.
Fee"
"Aug 01, 2021
Sunday
5:30pm",51114396,Credit,Delivery,$17.36,$6.99,$0.00,$1.95,$4.00,$30.30,-$2.25,-$1.21
"Aug 01, 2021
Sunday
6:14pm",51117186,Credit,Delivery,$32.76,$2.99,$0.00,$2.86,$5.00,$43.61,-$2.25,-$1.75
"Aug 01, 2021
Sunday
6:52pm",13034766,Phone,-,-,-,-,-,-,-,-$2.25,-
"Aug 01, 2021
Sunday
7:26pm",51119657,Credit,Pickup,$38.47,$0.00,$0.00,$3.08,$0.00,$41.55,-$2.25,-$1.66
"Aug 01, 2021
Sunday
8:11pm",51120480,Credit,Delivery,$29.95,$4.99,$0.00,$2.80,$4.49,$42.23,-$2.25,-$1.69
"Aug 01, 2021
Sunday
8:23pm",13034953,Phone,-,-,-,-,-,-,-,-$2.25,-
"Aug 02, 2021
Monday
5:44pm",51154828,Credit,Pickup,$37.00,$0.00,-$0.01,$2.96,$0.00,$39.95,-$2.25,-$1.60
"Aug 02, 2021
Monday
6:23pm",51156572,Credit,Pickup,$20.00,$0.00,-$0.01,$1.60,$0.00,$21.59,-$2.25,-$0.86
"Aug 02, 2021
Monday
6:38pm",51156981,Credit,Pickup,$11.99,$0.00,$0.00,$0.96,$0.00,$12.95,-$2.25,-$0.52
"Aug 02, 2021
Monday
7:00pm",51157471,Credit,Pickup,$30.71,$0.00,$0.00,$2.46,$0.00,$33.17,-$2.25,-$1.33
"Aug 03, 2021
Tuesday
5:05pm",51194696,Credit,Delivery,$19.28,$1.99,$0.00,$1.70,$2.89,$25.86,-$2.25,-$1.04
"Aug 03, 2021
Tuesday
6:18pm",51199213,Credit,Pickup,$20.00,$0.00,-$0.01,$1.60,$2.00,$23.59,-$2.25,-$0.95
"Aug 03, 2021
Tuesday
6:30pm",51199643,Credit,Pickup,$18.99,$0.00,$0.00,$1.52,$2.85,$23.36,-$2.25,-$0.82
"Aug 03, 2021
Tuesday
8:19pm",51201719,Credit,Pickup,$38.97,$0.00,$0.00,$3.12,$3.90,$45.99,-$2.25,-$1.64
"Aug 04, 2021
Wednesday
6:41am",51202823,Credit,Delivery,$75.96,$2.99,$0.00,$6.32,$11.39,$96.66,-$2.25,-$3.87
"Aug 04, 2021
Wednesday
3:17pm",13051023,Phone,-,-,-,-,-,-,-,-$2.25,-
"Aug 04, 2021
Wednesday
5:45pm",51244363,Credit,Delivery,$31.44,$6.99,$0.00,$3.07,$4.72,$46.22,-$2.25,-$1.85
"Aug 04, 2021
Wednesday
6:00pm",51245215,Credit,Delivery,$24.49,$4.99,-$0.01,$2.36,$3.67,$35.50,-$2.25,-$1.42
"Aug 04, 2021
Wednesday
6:09pm",13052981,Phone,-,-,-,-,-,-,-,-$2.25,-
"Aug 05, 2021
Thursday
8:48am",51252450,Credit,Pickup,$21.99,$0.00,$0.00,$1.76,$2.20,$25.95,-$2.25,-$1.04
