Store Name,Store ID,Order ID,Workflow ID,Dining Mode,Order Channel,Order Status,Order Date / Refund date,Order Accept Time,Food Sales (excluding tax),Tax on Food Sales,Food sales (including tax),Adjustments (excluding tax),Tax on Adjustments,Promo Spend on food,Tax on Promotion on Food,Special Offer - Delivery,Tax on Special Offer - Delivery,Bag Fee,Marketing Service Fee Adjustment,Total Sales after Adjustments (including tax),Uber Service Fee,Delivery Network Fee,Order Processing Fee,Merchant Fee,Tax on Merchant Fee,Gratuity,Misc Payment Description,Miscellaneous Payments,Marketplace Facilitator Tax,Backup Withholding Tax,Payout,Payout Date,Markup Amount,Markup Tax,Service Fee %,Payout reference ID
Ameci Pizza & Pasta - Lake Forest,,,,,Unknown,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Restaurant refunds,5.49,0,0,5.49,8/2/21,0,0,,GZ2N0APP3QXBMSA
Ameci Pizza & Pasta - Lake Forest,,,,,Unknown,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Restaurant refunds,9.74,0,0,9.74,8/2/21,0,0,,GZ2N0APP3QXBMSA
Ameci Pizza & Pasta - Lake Forest,,#DAF26,7f76c425-6f91-40fc-977b-8da4085daf26,Delivery - Partner Using Uber App,Postmates iOS,Completed,8/1/21,12:52 PM,15.98,1.24,17.22,0,0,0,0,0,0,0,0,17.22,-3.2,0,0,0,0,0,,0,-1.24,0,12.78,8/2/21,0,0,20,GZ2N0APP3QXBMSA
Ameci Pizza & Pasta - Lake Forest,,#7CC2A,74a7582c-c130-43e5-aabf-4d7ce907cc2a,Delivery - Partner Using Uber App,UberEats Web,Completed,8/1/21,1:31 PM,54.19,4.2,58.39,0,0,0,0,0,0,0,0,58.39,-10.3,0,0,0,0,0,,0,-4.2,0,43.89,8/2/21,0,0,19,GZ2N0APP3QXBMSA
Ameci Pizza & Pasta - Lake Forest,,#0A00E,ba8b6588-2ad2-4192-b42a-58808270a00e,Delivery - Partner Using Uber App,UberEats iOS,Completed,8/1/21,2:03 PM,26.46,2.05,28.51,0,0,0,0,0,0,0,0,28.51,-5.03,0,0,0,0,0,,0,-2.05,0,21.43,8/2/21,0,0,19,GZ2N0APP3QXBMSA
Ameci Pizza & Pasta - Lake Forest,,#369BE,7d53ba06-8463-4666-aa6c-0268b25369be,Delivery - Partner Using Uber App,Postmates iOS,Completed,8/1/21,2:25 PM,39.5,3.06,42.56,0,0,0,0,0,0,0,0,42.56,-7.9,0,0,0,0,0,,0,-3.06,0,31.6,8/2/21,0,0,20,GZ2N0APP3QXBMSA
Ameci Pizza & Pasta - Lake Forest,,#89D97,fe4dd13c-9889-478e-a1dc-8b48ce289d97,Delivery - Partner Using Uber App,UberEats iOS,Completed,8/1/21,4:06 PM,32.55,2.52,35.07,0,0,0,0,0,0,0,0,35.07,-6.18,0,0,0,0,0,,0,-2.52,0,26.37,8/2/21,0,0,19,GZ2N0APP3QXBMSA
Ameci Pizza & Pasta - Lake Forest,,#45633,61f7356e-e3a3-48d2-8793-8a3607d45633,Delivery - Partner Using Uber App,Postmates Web,Completed,8/1/21,5:01 PM,38.51,2.98,41.49,0,0,0,0,0,0,0,0,41.49,-7.7,0,0,0,0,0,,0,-2.98,0,30.81,8/2/21,0,0,20,GZ2N0APP3QXBMSA
Ameci Pizza & Pasta - Lake Forest,,#85F7A,ea0ae663-b07d-46fb-aa1b-3e7bd0185f7a,Delivery - Partner Using Uber App,UberEats iOS,Completed,8/1/21,5:08 PM,23.98,1.86,25.84,0,0,0,0,0,0,0,0,25.84,-4.56,0,0,0,0,0,,0,-1.86,0,19.42,8/2/21,0,0,19,GZ2N0APP3QXBMSA
Ameci Pizza & Pasta - Lake Forest,,#A8D47,1030b908-e3b9-4a89-b096-7c20c2fa8d47,Delivery - Partner Using Uber App,UberEats iOS,Completed,8/1/21,5:39 PM,26.99,2.09,29.08,0,0,0,0,0,0,0,0,29.08,-5.13,0,0,0,0,0,,0,-2.09,0,21.86,8/2/21,0,0,19,GZ2N0APP3QXBMSA
Ameci Pizza & Pasta - Lake Forest,,#B9624,df87ed11-821a-4168-9216-a33e7fcb9624,Delivery - Partner Using Uber App,UberEats Android,Completed,8/1/21,6:37 PM,42.96,3.33,46.29,0,0,0,0,0,0,0,0,46.29,-8.16,0,0,0,0,0,,0,-3.33,0,34.8,8/2/21,0,0,19,GZ2N0APP3QXBMSA
Ameci Pizza & Pasta - Lake Forest,,#78ABC,5d44a77b-c9fc-40eb-a803-5a8bd0778abc,Delivery - Partner Using Uber App,Postmates iOS,Completed,8/1/21,7:18 PM,34.96,2.71,37.67,0,0,0,0,0,0,0,0,37.67,-6.99,0,0,0,0,0,,0,-2.71,0,27.97,8/2/21,0,0,20,GZ2N0APP3QXBMSA
Ameci Pizza & Pasta - Lake Forest,,#36F96,f6584a56-0155-4270-9b67-d3081fc36f96,Delivery - Partner Using Uber App,Postmates Android,Completed,8/1/21,7:53 PM,46.21,3.58,49.79,0,0,0,0,0,0,0,0,49.79,-9.24,0,0,0,0,0,,0,-3.58,0,36.97,8/2/21,0,0,20,GZ2N0APP3QXBMSA
Ameci Pizza & Pasta - Lake Forest,,#7EFDC,fbf2aa67-f843-466a-a81c-daa2eac7efdc,Delivery - Partner Using Uber App,Postmates Web,Completed,8/1/21,8:08 PM,33.97,2.63,36.6,0,0,0,0,0,0,0,0,36.6,-6.79,0,0,0,0,0,,0,-2.63,0,27.18,8/2/21,0,0,20,GZ2N0APP3QXBMSA
Ameci Pizza & Pasta - Lake Forest,,#408DD,e28b3736-ba83-46c1-b2fc-cf6db0a408dd,Delivery - Partner Using Uber App,Postmates Android,Completed,8/1/21,8:35 PM,33.97,2.63,36.6,0,0,0,0,0,0,0,0,36.6,-6.79,0,0,0,0,0,,0,-2.63,0,27.18,8/2/21,0,0,20,GZ2N0APP3QXBMSA
Ameci Pizza & Pasta - Lake Forest,,#0C7EF,651e7716-502a-4e92-ad87-56595050c7ef,Delivery - Partner Using Uber App,Postmates iOS,Completed,8/2/21,3:19 PM,16.98,1.32,18.3,0,0,0,0,0,0,0,0,18.3,-3.4,0,0,0,0,0,,0,-1.32,0,13.58,8/9/21,0,0,20,233OGXLE5YHH4MK
Ameci Pizza & Pasta - Lake Forest,,#EF264,5e94f47b-03f2-45a1-9e97-9bf1796ef264,Delivery - Partner Using Uber App,UberEats Android,Completed,8/2/21,4:19 PM,38.94,3.02,41.96,0,0,0,0,0,0,0,0,41.96,-7.4,0,0,0,0,0,,0,-3.02,0,31.54,8/9/21,0,0,19,233OGXLE5YHH4MK
Ameci Pizza & Pasta - Lake Forest,,#40A8E,a907c595-4da4-4af5-b2fd-75a1ea740a8e,Delivery - Partner Using Uber App,Postmates Web,Completed,8/2/21,5:18 PM,39.96,3.1,43.06,0,0,0,0,0,0,0,0,43.06,-7.99,0,0,0,0,0,,0,-3.1,0,31.97,8/9/21,0,0,20,233OGXLE5YHH4MK
