Store Name,Store ID,Order ID,Workflow ID,Dining Mode,Order Channel,Order Status,Order Date / Refund date,Order Accept Time,Food Sales (excluding tax),Tax on Food Sales,Food sales (including tax),Adjustments (excluding tax),Tax on Adjustments,Promo Spend on food,Tax on Promotion on Food,Special Offer - Delivery,Tax on Special Offer - Delivery,Bag Fee,Marketing Service Fee Adjustment,Total Sales after Adjustments (including tax),Uber Service Fee,Delivery Network Fee,Order Processing Fee,Merchant Fee,Tax on Merchant Fee,Gratuity,Misc Payment Description,Miscellaneous Payments,Marketplace Facilitator Tax,Backup Withholding Tax,Payout,Payout Date,Markup Amount,Markup Tax,Service Fee %,Payout reference ID
Ameci Pizza & Pasta - Lake Forest,,#E9D5B,c959002a-b571-4c7b-9e56-fe3b538e9d5b,Delivery - Partner Using Uber App,Postmates iOS,Completed,9/1/21,10:48 AM,15.56,1.21,16.77,0,0,0,0,0,0,0,0,16.77,-3.11,0,0,0,0,0,,0,-1.21,0,12.45,9/7/21,0,0,20,PT6TOXC26KHICPJ
Ameci Pizza & Pasta - Lake Forest,,#7DCBB,4c1c5da3-c70f-4208-bf82-1c343067dcbb,Delivery - Partner Using Uber App,UberEats iOS,Completed,9/1/21,4:01 PM,14.99,1.16,16.15,0,0,0,0,0,0,0,0,16.15,-2.85,0,0,0,0,0,,0,-1.16,0,12.14,9/7/21,0,0,19,PT6TOXC26KHICPJ
Ameci Pizza & Pasta - Lake Forest,,#5ADD5,1aac178c-0074-45dc-a651-5ea31305add5,Delivery - Partner Using Uber App,Postmates iOS,Completed,9/1/21,6:19 PM,35.76,2.77,38.53,0,0,0,0,0,0,0,0,38.53,-7.15,0,0,0,0,0,,0,-2.77,0,28.61,9/7/21,0,0,20,PT6TOXC26KHICPJ
Ameci Pizza & Pasta - Lake Forest,,#36D50,c635db0e-97d8-472c-8484-4a390a536d50,Delivery - Partner Using Uber App,Postmates Android,Completed,9/1/21,6:29 PM,23.98,1.86,25.84,0,0,0,0,0,0,0,0,25.84,-4.8,0,0,0,0,0,,0,-1.86,0,19.18,9/7/21,0,0,20,PT6TOXC26KHICPJ
Ameci Pizza & Pasta - Lake Forest,,#E0CB5,22dd0cfb-363c-46ab-b874-50adbf9e0cb5,Delivery - Partner Using Uber App,Postmates Android,Completed,9/2/21,12:53 PM,18.97,1.47,20.44,0,0,0,0,0,0,0,0,20.44,-3.79,0,0,0,0,0,,0,-1.47,0,15.18,9/7/21,0,0,20,PT6TOXC26KHICPJ
Ameci Pizza & Pasta - Lake Forest,,#0404D,28f0a988-38d9-4f24-a878-3bcefdd0404d,Delivery - Partner Using Uber App,UberEats Web,Completed,9/2/21,6:03 PM,26.99,2.09,29.08,0,0,0,0,0,0,0,0,29.08,-5.13,0,0,0,0,0,,0,-2.09,0,21.86,9/7/21,0,0,19,PT6TOXC26KHICPJ
Ameci Pizza & Pasta - Lake Forest,,#33FE4,2b784f05-5659-4142-b1a0-174857e33fe4,Delivery - Partner Using Uber App,Postmates Android,Completed,9/2/21,6:07 PM,22.98,1.78,24.76,0,0,0,0,0,0,0,0,24.76,-4.6,0,0,0,0,0,,0,-1.78,0,18.38,9/7/21,0,0,20,PT6TOXC26KHICPJ
Ameci Pizza & Pasta - Lake Forest,,#C4CF1,86b51ff5-9f34-4060-aaa2-5049713c4cf1,Delivery - Partner Using Uber App,UberEats Android,Completed,9/2/21,6:30 PM,64.94,5.03,69.97,0,0,0,0,0,0,0,0,69.97,-12.34,0,0,0,0,0,,0,-5.03,0,52.6,9/7/21,0,0,19,PT6TOXC26KHICPJ
Ameci Pizza & Pasta - Lake Forest,,#47929,5c2a8157-885c-4bcd-8e4f-462bf5847929,Delivery - Partner Using Uber App,UberEats Android,Completed,9/2/21,7:08 PM,31.97,2.48,34.45,0,0,0,0,0,0,0,0,34.45,-6.07,0,0,0,0,0,,0,-2.48,0,25.9,9/7/21,0,0,19,PT6TOXC26KHICPJ
Ameci Pizza & Pasta - Lake Forest,,#DE366,c9ea8291-cbe9-4e7d-bb87-da52b13de366,Delivery - Partner Using Uber App,UberEats iOS,Completed,9/2/21,9:07 PM,11.99,0.93,12.92,0,0,0,0,0,0,0,0,12.92,-2.28,0,0,0,0,0,,0,-0.93,0,9.71,9/7/21,0,0,19,PT6TOXC26KHICPJ
