"TIMESTAMP_UTC_TIME","TIMESTAMP_UTC_DATE","TIMESTAMP_LOCAL_TIME","TIMESTAMP_LOCAL_DATE","PAYOUT_TIME","PAYOUT_DATE","STORE_ID","BUSINESS_ID","STORE_NAME","MERCHANT_STORE_ID","TRANSACTION_TYPE","TRANSACTION_ID","DOORDASH_ORDER_ID","MERCHANT_DELIVERY_ID","EXTERNAL_ID","DESCRIPTION","FINAL_ORDER_STATUS","CURRENCY","SUBTOTAL","TAX_SUBTOTAL","COMMISSION","COMMISSION_TAX_AMOUNT","MARKETING_FEES","STAFF_TIP","CREDIT","DEBIT","DOORDASH_TRANSACTION_ID","PAYOUT_ID","DRIVE_CHARGE","TAX_REMITTED_BY_DOORDASH_TO_STATE","SUBTOTAL_FOR_TAX","DOORDASH_FUNDED_SUBTOTAL_DISCOUNT_AMOUNT","MERCHANT_FUNDED_SUBTOTAL_DISCOUNT_AMOUNT"
"20:44:10","2021-10-01","13:44:10","2021-10-01","2021-10-05 07:31:52.616830000","2021-10-05",111737,4736,"Ameci Pizza & Pasta (Trabuco Rd)","NULL","DELIVERY","361a0f98-191e-48c0-8ec3-676161c420d0","=""61c420d0""","NULL","NULL","Order Received Time: 2021-10-01 20:28:38.160926000
Order Pickup Time: 2021-10-01 20:44:10.086648000","Delivered","USD",22.73,2.05,5.68,0.00,0.00,0.00,19.10,0.00,"3014468646",174784647,0.00,0.00,22.73,NULL,NULL
"21:28:10","2021-10-01","14:28:10","2021-10-01","2021-10-05 07:31:52.616830000","2021-10-05",111737,4736,"Ameci Pizza & Pasta (Trabuco Rd)","NULL","DELIVERY","6cc792e9-6c77-40fd-bb25-d16442e67adb","=""42e67adb""","NULL","NULL","Order Received Time: 2021-10-01 21:01:33.979861000
Order Pickup Time: 2021-10-01 21:28:10.565702000","Delivered","USD",18.97,1.71,4.74,0.00,0.00,0.00,15.94,0.00,"3014732408",174784647,0.00,0.00,18.97,NULL,NULL
"23:36:07","2021-10-01","16:36:07","2021-10-01","2021-10-05 07:31:52.616830000","2021-10-05",111737,4736,"Ameci Pizza & Pasta (Trabuco Rd)","NULL","DELIVERY","cb7d4794-ebe9-4eb2-b036-c6927d9cc4ed","=""7d9cc4ed""","NULL","NULL","Order Received Time: 2021-10-01 23:13:47.907644000
Order Pickup Time: 2021-10-01 23:36:07.555908000","Delivered","USD",35.46,3.19,8.87,0.00,0.00,0.00,29.78,0.00,"3015781761",174784647,0.00,0.00,35.46,NULL,NULL
"00:09:26","2021-10-02","17:09:26","2021-10-01","2021-10-05 07:31:52.616830000","2021-10-05",111737,4736,"Ameci Pizza & Pasta (Trabuco Rd)","NULL","DELIVERY","5e10548d-20f8-4189-b6b6-5c256a4a3691","=""6a4a3691""","NULL","NULL","Order Received Time: 2021-10-01 23:36:44.075219000
Order Pickup Time: 2021-10-02 00:09:26.766807000","Delivered","USD",10.99,0.99,2.75,0.00,0.00,0.00,9.23,0.00,"3016103898",174784647,0.00,0.00,10.99,NULL,NULL
"00:13:29","2021-10-02","17:13:29","2021-10-01","2021-10-05 07:31:52.616830000","2021-10-05",111737,4736,"Ameci Pizza & Pasta (Trabuco Rd)","NULL","DELIVERY","8fe7b0fb-41b2-44bb-9573-3ba37ffb61d0","=""7ffb61d0""","NULL","NULL","Order Received Time: 2021-10-01 23:45:17.400343000
Order Pickup Time: 2021-10-02 00:13:29.870628000","Delivered","USD",59.46,5.35,14.87,0.00,0.00,0.00,49.94,0.00,"3016143156",174784647,0.00,0.00,59.46,NULL,NULL
"00:18:50","2021-10-02","17:18:50","2021-10-01","2021-10-05 07:31:52.616830000","2021-10-05",111737,4736,"Ameci Pizza & Pasta (Trabuco Rd)","NULL","DELIVERY","7962f6cf-149f-408e-a865-8c2f80d010f9","=""80d010f9""","NULL","NULL","Order Received Time: 2021-10-01 23:54:30.209289000
Order Pickup Time: 2021-10-02 00:18:50.263918000","Delivered","USD",42.97,3.87,10.74,0.00,0.00,0.00,36.10,0.00,"3016195066",174784647,0.00,0.00,42.97,NULL,NULL
"00:19:27","2021-10-02","17:19:27","2021-10-01","2021-10-05 07:31:52.616830000","2021-10-05",111737,4736,"Ameci Pizza & Pasta (Trabuco Rd)","NULL","DELIVERY","4421b6b1-99c2-4b0e-8bff-29f1ed9d0452","=""ed9d0452""","NULL","NULL","Order Received Time: 2021-10-02 00:00:18.349522000
Order Pickup Time: 2021-10-02 00:19:27.510965000","Delivered","USD",33.46,3.01,8.37,0.00,0.00,0.00,28.10,0.00,"3016201230",174784647,0.00,0.00,33.46,NULL,NULL
"00:21:42","2021-10-02","17:21:42","2021-10-01","2021-10-05 07:31:52.616830000","2021-10-05",111737,4736,"Ameci Pizza & Pasta (Trabuco Rd)","NULL","DELIVERY","dd0a5d1b-cb82-475e-b3e5-3a67b8eca0ce","=""b8eca0ce""","NULL","NULL","Order Received Time: 2021-10-02 00:00:16.325825000
Order Pickup Time: 2021-10-02 00:21:42.538381000","Delivered","USD",23.98,2.16,6.00,0.00,0.00,0.00,20.14,0.00,"3016223418",174784647,0.00,0.00,23.98,NULL,NULL
"00:37:25","2021-10-02","17:37:25","2021-10-01","2021-10-05 07:31:52.616830000","2021-10-05",111737,4736,"Ameci Pizza & Pasta (Trabuco Rd)","NULL","DELIVERY","0560ffd2-8552-4a98-bcd5-d2838b8780df","=""8b8780df""","NULL","NULL","Order Received Time: 2021-10-02 00:07:00.207720000
Order Pickup Time: 2021-10-02 00:37:25.805285000","Delivered","USD",56.20,5.06,14.05,0.00,0.00,0.00,47.21,0.00,"3016376258",174784647,0.00,0.00,56.20,NULL,NULL
"00:43:09","2021-10-02","17:43:09","2021-10-01","2021-10-05 07:31:52.616830000","2021-10-05",111737,4736,"Ameci Pizza & Pasta (Trabuco Rd)","NULL","DELIVERY","cba04bf6-b214-4f6e-81a2-e5aeb745571b","=""b745571b""","NULL","NULL","Order Received Time: 2021-10-02 00:17:33.383223000
Order Pickup Time: 2021-10-02 00:43:09.420321000","Delivered","USD",44.96,4.05,11.24,0.00,0.00,0.00,37.77,0.00,"3016431232",174784647,0.00,0.00,44.96,NULL,NULL
