EatStreet Order,Date,Order Status,Subtotal,Tax,Tip,Delivery Fee,Total,Subtotal Restaurant,Tax Restaurant,Total Restaurant,Total Fee,Commission Charged
29886877,10/4/21 13:13,Active,16.48,1.44,3.58,3,26.59,16.48,0,23.06,3.99,2.88
29909685,10/6/21 13:13,Active,16.48,1.44,3.58,3,26.59,16.48,0,23.06,3.99,2.88
30015587,10/14/21 13:25,Active,18.13,2.09,4.04,3,29.35,16.48,0,23.52,4,2.88
30053279,10/16/21 19:56,Active,18.13,2.09,5,3,30.31,16.48,0,24.48,4.04,2.88
,,,,,,,,,,,,
,,,,,,,,,,,,
Restaurant Commission,,,,,,,,,,,,
"Copyright (c) 2000-2021 salesforce.com, inc. All rights reserved.",,,,,,,,,,,,
Confidential Information - Do Not Distribute,,,,,,,,,,,,
Generated By:  Jamison Huseth  11/9/2021 9:32 AM,,,,,,,,,,,,
EatStreet,,,,,,,,,,,,
