"ID","Restaurant","Type","Description","Date","Time","Subtotal","Delivery","Service","Tax","Tip","Restaurant Total","Commission","Delivery Commission","Processing Fee","Withheld Tax"
"W-250416701517277","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/10/21","11:52 AM","52.97","0.00","0","4.11","5.71","62.79","0","0","-2.22","0"
"O-884416851634363","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/24/21","9:22 PM","16.47","2.99","0","1.51","3.15","24.12","-2.43","0","-1.04","0"
"W-824116680326024","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/7/21","6:07 PM","26.56","2.99","0","2.29","4.78","36.62","0","0","-1.42","0"
"O-742616774666429","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/16/21","7:26 PM","26.95","2.99","0","2.32","3.23","35.49","-3.74","0","-1.38","0"
"O-742616634660564","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/2/21","6:46 PM","34.98","2.99","0","2.94","6.13","47.04","-4.75","0","-1.73","0"
"O-214216663625638","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/6/21","5:22 PM","34.43","2.99","0","2.90","6.04","46.36","-4.68","0","-1.71","0"
"W-884416871635285","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/26/21","5:56 PM","23.98","2.99","0","2.09","5.30","34.36","0","0","-1.35","0"
"O-937116904937547","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/29/21","6:45 PM","22.58","4.99","0","2.14","3.65","33.36","-3.45","0","-1.32","0"
"O-046016714762259","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/10/21","7:02 PM","15.98","2.99","0","1.47","2.58","23.02","-2.37","0","-1.00","0"
"O-824616876162073","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/27/21","12:00 PM","23.98","2.99","0","2.09","4.35","33.41","-3.37","0","-1.32","0"
"W-801316918902267","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/31/21","4:45 PM","62.47","0.00","0","4.84","0","67.31","0","0","-2.35","0"
"O-579716688372901","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/7/21","10:00 PM","11.99","0.00","0","0.93","0","12.92","-1.50","-1.20","-0.69","0"
"W-696516665592961","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/6/21","4:25 PM","15.48","2.99","0","1.43","3.98","23.88","0","0","-1.03","0"
"W-496216823752500","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/22/21","5:16 PM","61.04","4.99","0","5.12","10.67","81.82","0","0","-2.80","0"
"O-696516745515577","Ameci Pizza & Pasta - Trabuco Rd","Adjustment of O-696516745515577","Change of plans","10/13/21","6:59 PM","-37.71","0.00","0","-2.92","0","-40.63","4.71","0","1.54","0"
"O-742616774602941","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/17/21","4:19 PM","75.19","4.99","0","6.22","16.20","102.60","-10.02","0","-3.43","0"
"W-910516627528448","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/2/21","5:11 PM","31.71","2.99","0","2.69","3.00","40.39","0","0","-1.53","0"
"O-112616758203707","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/14/21","6:05 PM","32.06","2.99","0","2.71","7.55","45.31","-4.38","0","-1.68","0"
"O-845416740516199","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/13/21","7:02 PM","37.71","0.00","0","2.92","0","40.63","-4.71","0","-1.54","0"
"O-937116904938221","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/29/21","6:05 PM","53.94","2.99","0","4.41","6.13","67.47","-7.12","0","-2.36","0"
"W-901816836829561","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/22/21","5:36 PM","22.98","0.00","0","1.78","2.00","26.76","0","0","-1.12","0"
"O-735116844287597","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/23/21","7:18 PM","25.17","2.99","0","2.18","3.03","33.37","-3.52","0","-1.32","0"
"O-913516637903862","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/3/21","12:50 PM","24.97","0.00","0","1.94","4.03","30.94","-3.12","0","-1.24","0"
"O-046016664766741","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/5/21","9:16 PM","71.69","4.99","0","5.95","16.53","99.16","-9.59","0","-3.32","0"
"O-398716767961785","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/15/21","8:55 PM","31.97","2.99","0","2.71","7.53","45.20","-4.37","0","-1.68","0"
"W-046016644769120","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/3/21","5:24 PM","32.97","0.00","0","2.56","5.33","40.86","0","0","-1.55","0"
"O-628116914895395","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/30/21","6:00 PM","10.99","0.00","0","0.85","0","11.84","-1.37","0","-0.66","0"
"W-250416621570094","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/2/21","5:00 PM","79.54","0.00","0","6.16","0","85.70","0","0","-2.91","0"
"W-579716758374670","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/14/21","9:07 PM","31.98","2.99","0","2.71","3.00","40.68","0","0","-1.54","0"
"O-395616862937092","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/25/21","6:59 PM","30.27","2.99","0","2.58","6.52","42.36","-4.16","0","-1.59","0"
"O-900516888190708","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/28/21","11:45 AM","87.96","0.00","0","6.82","0","94.78","-11.00","0","-3.19","0"
