DateWeekEnding,Orders,OrderTotal,AmountDue,CSHangups,CSProblems,CSStatusChecks
10/4/2020 12:00:00 AM,8,341.20,133.36,0,0,0
10/11/2020 12:00:00 AM,4,212.18,78.54,2,0,0
10/18/2020 12:00:00 AM,6,324.91,118.01,0,0,0
10/25/2020 12:00:00 AM,8,333.97,133.35,0,0,1
11/1/2020 12:00:00 AM,5,221.45,84.92,0,0,0
11/8/2020 12:00:00 AM,2,58.09,25.04,0,0,0
11/15/2020 12:00:00 AM,4,159.20,63.96,2,0,0
11/22/2020 12:00:00 AM,7,316.48,121.89,0,0,1
11/29/2020 12:00:00 AM,5,208.88,83.88,1,1,1
12/6/2020 12:00:00 AM,4,132.26,54.98,0,0,0
12/13/2020 12:00:00 AM,2,64.03,27.05,0,0,0
12/20/2020 12:00:00 AM,3,117.20,46.41,1,0,0
12/27/2020 12:00:00 AM,3,133.88,51.36,1,0,1
1/3/2021 12:00:00 AM,3,125.90,49.74,1,0,0
1/10/2021 12:00:00 AM,5,175.62,70.81,0,0,0
1/17/2021 12:00:00 AM,6,262.00,100.03,2,0,0
1/24/2021 12:00:00 AM,4,147.32,60.97,1,0,0
1/31/2021 12:00:00 AM,3,124.54,49.00,0,0,0
2/7/2021 12:00:00 AM,5,168.05,70.24,0,0,0
2/14/2021 12:00:00 AM,3,88.96,38.53,0,0,0
2/21/2021 12:00:00 AM,10,362.40,146.20,1,0,0
2/28/2021 12:00:00 AM,3,138.15,54.52,0,0,0
3/7/2021 12:00:00 AM,3,114.40,45.30,0,0,0
3/14/2021 12:00:00 AM,9,494.44,182.28,0,0,0
3/21/2021 12:00:00 AM,8,580.63,204.19,3,0,1
3/28/2021 12:00:00 AM,6,224.47,89.56,0,1,0
4/4/2021 12:00:00 AM,4,176.49,68.57,0,0,0
4/11/2021 12:00:00 AM,4,156.07,60.95,0,0,0
4/18/2021 12:00:00 AM,9,517.67,175.58,0,0,0
4/25/2021 12:00:00 AM,6,234.90,87.85,2,1,3
5/2/2021 12:00:00 AM,4,273.05,90.86,0,0,0
5/9/2021 12:00:00 AM,1,55.18,18.48,2,0,0
5/16/2021 12:00:00 AM,2,77.47,29.61,2,0,0
5/23/2021 12:00:00 AM,8,309.84,116.46,1,0,3
5/30/2021 12:00:00 AM,4,90.90,39.47,0,0,0
6/6/2021 12:00:00 AM,2,120.88,41.22,0,0,0
6/13/2021 12:00:00 AM,6,282.42,102.47,1,0,1
6/20/2021 12:00:00 AM,5,332.91,109.33,0,0,0
6/27/2021 12:00:00 AM,3,129.89,47.94,2,0,0
7/4/2021 12:00:00 AM,1,123.70,38.52,1,0,0
7/11/2021 12:00:00 AM,6,253.68,93.46,1,0,0
7/18/2021 12:00:00 AM,4,176.59,62.04,0,0,1
7/25/2021 12:00:00 AM,7,382.51,133.57,0,0,0
8/1/2021 12:00:00 AM,3,113.48,42.94,0,0,0
8/8/2021 12:00:00 AM,6,285.56,100.85,1,0,1
8/15/2021 12:00:00 AM,2,68.34,26.46,0,0,0
8/22/2021 12:00:00 AM,6,244.89,92.54,1,0,1
8/29/2021 12:00:00 AM,8,299.57,115.16,1,0,1
9/5/2021 12:00:00 AM,5,264.98,93.36,3,0,1
9/12/2021 12:00:00 AM,5,162.29,65.28,1,0,0
9/19/2021 12:00:00 AM,8,325.42,124.33,1,0,0
9/26/2021 12:00:00 AM,8,449.31,153.60,4,1,0
10/3/2021 12:00:00 AM,6,223.18,83.66,0,0,0
10/10/2021 12:00:00 AM,5,228.20,82.24,2,0,0
10/17/2021 12:00:00 AM,2,129.74,43.92,2,0,0
10/24/2021 12:00:00 AM,1,28.29,11.90,2,0,0
10/31/2021 12:00:00 AM,0,0.00,0.00,1,0,0
