"902 Broadway New York, NY 10010",,Ameci Pizza & Pasta,,
"Activity Period: Fri Oct 1, 2021 to Sun Oct 31, 2021",,"25431 Trabuco Rd, Lake Forest CA, 92630",,
,,Account ID: 3057,,
W-9 form reminder,,,,
"For legal reasons, we need your W-9 form and Slice Agreement Acknowledgement. If you haven’t already, return them asap. Talk to your Account Manager or email",,,,
Partner@SliceLife.com,,,,
Summary of Your Activity,,,,
,,,"From October 1, 2021 to October 31, 2021, your restaurant",
Orders,,"$5,356.00","made $5,433.97 with Slice.",
149 online orders,,"$6,382.84",Activity Details,
Processing fee,,-$255.59,,
Slice partnership fee,,-$333.00,"Net Sales
Taxes","$5,071.51
$438.25"
Sales tax withholding,,-$438.25,"Sales Tax Withholding
Cust. Delivery fee","-$438.25
$310.08"
25 Phone Orders,"$1,072.04",,Tips,$563.00
Slice partnership fee,,-$56.25,"Slice Adjustments
Slice Fees","$134.22
-$644.84"
13 Slice Adjustments,,$134.22,,
TOTAL OF 174 ORDERS,"$1,072.04","$5,433.97",Total Earnings,"$5,433.97"
,"Paid directly by
your customers",Total Earnings,Slice spent $94.95,
,,,in funding promotions,
,,,for your customers! *,
Order Activity Report Reminder,,,,
The order activity report is not a statement and it does not correspond to a,,,,
payment. The amounts on this report are for your reference and reporting needs.,,,,
Please refer to your official statement on the Owner’s Portal for the finalized,,,,
reporting.,,,,

Online Orders,,,,,,,,,,,
Date & Time,Order ID,"Order
Type","Pickup
Delivery",Subtotal,"Cust.
Delivery
Fee","Order
Adjust.",Tax,Tips,"Order
Total","P'ship
Fee","Proc.
Fee"
"Oct 01, 2021
Friday
9:48am",54477980,Credit,Delivery,$32.00,$2.99,-$0.01,$2.80,$5.00,$42.78,-$2.25,-$1.71
"Oct 01, 2021
Friday
12:02pm",54483887,Credit,Pickup,$10.99,$0.00,$0.00,$0.88,$3.00,$14.87,-$2.25,-$0.60
"Oct 01, 2021
Friday
2:44pm",54510399,Credit,Delivery,$22.73,$2.99,$0.00,$2.06,$3.41,$31.19,-$2.25,-$1.25
"Oct 01, 2021
Friday
5:55pm",54554286,Credit,Delivery,$37.68,$1.99,$0.00,$3.17,$7.54,$50.38,-$2.25,-$2.02
"Oct 01, 2021
Friday
5:56pm",13491761,Phone,-,-,-,-,-,-,-,-$2.25,-
"Oct 01, 2021
Friday
6:33pm",54557635,Credit,Delivery,$24.71,$4.99,$0.00,$2.38,$3.71,$35.79,-$2.25,-$1.43
"Oct 01, 2021
Friday
6:59pm",54559160,Credit,Delivery,$23.53,$1.99,$0.00,$2.04,$0.00,$27.56,-$2.25,-$1.11
"Oct 01, 2021
Friday
8:32pm",54562052,Credit,Delivery,$59.81,$4.99,$0.00,$5.18,$8.97,$78.95,-$2.25,-$3.16
"Oct 02, 2021
Saturday
5:00pm",54622371,Credit,Delivery,$43.97,$2.99,$0.00,$3.76,$6.60,$57.32,-$2.25,-$2.30
"Oct 02, 2021
Saturday
5:21pm",54625218,Credit,Pickup,$14.98,$0.00,$0.00,$1.20,$3.00,$19.18,-$2.25,-$0.77
"Oct 02, 2021
Saturday
5:41pm",13500707,Phone,-,-,-,-,-,-,-,-$2.25,-
"Oct 02, 2021
Saturday
5:56pm",54628893,Credit,Delivery,$27.06,$4.99,$0.00,$2.56,$5.41,$40.02,-$2.25,-$1.60
"Oct 02, 2021
Saturday
6:16pm",54630547,Credit,Delivery,$66.21,$1.99,$0.00,$5.46,$5.00,$78.66,-$2.25,-$3.15
"Oct 02, 2021
Saturday
6:26pm",54631229,Credit,Delivery,$20.04,$1.99,$0.00,$1.76,$3.01,$26.80,-$2.25,-$1.07
"Oct 02, 2021
Saturday
6:28pm",54631298,Credit,Pickup,$44.59,$0.00,$0.00,$3.57,$6.69,$54.85,-$2.25,-$2.20
"Oct 02, 2021
Saturday
6:44pm",54632263,Credit,Pickup,$20.00,$0.00,-$0.01,$1.60,$0.00,$21.59,-$2.25,-$0.87
"Oct 02, 2021
Saturday
6:53pm",54632743,Credit,Pickup,$20.00,$0.00,-$0.01,$1.60,$0.00,$21.59,-$2.25,-$0.87
"Oct 02, 2021
Saturday
7:03pm",54633194,Credit,Pickup,$26.99,$0.00,$0.00,$2.16,$0.00,$29.15,-$2.25,-$1.17
"Oct 03, 2021
Sunday
12:56pm",54655463,Credit,Delivery,$40.96,$1.99,$0.00,$3.44,$0.00,$46.39,-$2.25,-$1.86
