Store Name,Store ID,Order ID,Workflow ID,Dining Mode,Order Channel,Order Status,Order Date / Refund date,Order Accept Time,Food Sales (excluding tax),Tax on Food Sales,Food sales (including tax),Adjustments (excluding tax),Tax on Adjustments,Promo Spend on food,Tax on Promotion on Food,Special Offer - Delivery,Tax on Special Offer - Delivery,Bag Fee,Marketing Service Fee Adjustment,Total Sales after Adjustments (including tax),Uber Service Fee,Delivery Network Fee,Order Processing Fee,Merchant Fee,Tax on Merchant Fee,Gratuity,Misc Payment Description,Miscellaneous Payments,Marketplace Facilitator Tax,Backup Withholding Tax,Payout,Payout Date,Markup Amount,Markup Tax,Service Fee %,Payout reference ID
Ameci Pizza & Pasta - Lake Forest,,#8E9C2,d582b76b-1431-4c21-b14f-a64796d8e9c2,Delivery - Partner Using Uber App,UberEats Android,Completed,10/1/21,4:42 PM,26.96,2.09,29.05,0,0,0,0,0,0,0,0,29.05,-5.12,0,0,0,0,0,,0,-2.09,0,21.84,10/4/21,0,0,19,KPHKPEFAOKPW7L3
Ameci Pizza & Pasta - Lake Forest,,#5863A,364eec91-ec7d-4481-95d4-5c3a2745863a,Delivery - Partner Using Uber App,UberEats iOS,Completed,10/1/21,6:27 PM,20.98,1.63,22.61,0,0,0,0,0,0,0,0,22.61,-3.99,0,0,0,0,0,,0,-1.63,0,16.99,10/4/21,0,0,19,KPHKPEFAOKPW7L3
Ameci Pizza & Pasta - Lake Forest,,#AC024,3090819d-5256-4982-8f6e-306e04aac024,Delivery - Partner Using Uber App,UberEats iOS,Completed,10/1/21,6:50 PM,50.43,3.91,54.34,0,0,0,0,0,0,0,0,54.34,-9.58,0,0,0,0,0,,0,-3.91,0,40.85,10/4/21,0,0,19,KPHKPEFAOKPW7L3
Ameci Pizza & Pasta - Lake Forest,,#FDEA9,44d5bfba-e6b0-4011-bd86-d685263fdea9,Delivery - Partner Using Uber App,Postmates iOS,Completed,10/1/21,8:09 PM,23.73,1.84,25.57,0,0,0,0,0,0,0,0,25.57,-4.51,0,0,0,0,0,,0,-1.84,0,19.22,10/4/21,0,0,19,KPHKPEFAOKPW7L3
Ameci Pizza & Pasta - Lake Forest,,#95D1D,86549b4e-118f-45d4-acc6-04fff3095d1d,Delivery - Partner Using Uber App,Postmates iOS,Completed,10/1/21,9:16 PM,18.77,1.45,20.22,0,0,0,0,0,0,0,0,20.22,-3.57,0,0,0,0,0,,0,-1.45,0,15.2,10/4/21,0,0,19,KPHKPEFAOKPW7L3
Ameci Pizza & Pasta - Lake Forest,,#46FCA,1acc7730-909a-4576-a741-5df5ba946fca,Delivery - Partner Using Uber App,Postmates iOS,Completed,10/2/21,2:08 PM,30.96,2.4,33.36,0,0,0,0,0,0,0,0,33.36,-5.88,0,0,0,0,0,,0,-2.4,0,25.08,10/4/21,0,0,19,KPHKPEFAOKPW7L3
Ameci Pizza & Pasta - Lake Forest,,#F9920,145b0f74-f9bf-4d93-a471-58290eaf9920,Delivery - Partner Using Uber App,UberEats iOS,Completed,10/2/21,2:36 PM,29.06,2.25,31.31,0,0,0,0,0,0,0,0,31.31,-5.52,0,0,0,0,0,,0,-2.25,0,23.54,10/4/21,0,0,19,KPHKPEFAOKPW7L3
Ameci Pizza & Pasta - Lake Forest,,#B1A04,3ce73eae-5e44-42cd-a616-032e8cbb1a04,Delivery - Partner Using Uber App,UberEats Web,Completed,10/2/21,3:44 PM,22.76,1.76,24.52,0,0,0,0,0,0,0,0,24.52,-4.32,0,0,0,0,0,,0,-1.76,0,18.44,10/4/21,0,0,19,KPHKPEFAOKPW7L3
Ameci Pizza & Pasta - Lake Forest,,#7BCD8,8424e968-67af-4e32-a689-c19ea957bcd8,Delivery - Partner Using Uber App,UberEats iOS,Completed,10/2/21,4:49 PM,23.97,1.86,25.83,0,0,0,0,0,0,0,0,25.83,-4.55,0,0,0,0,0,,0,-1.86,0,19.42,10/4/21,0,0,19,KPHKPEFAOKPW7L3
Ameci Pizza & Pasta - Lake Forest,,#8FA2E,2d9a312c-1202-4ad1-9bdc-426ea648fa2e,Delivery - Partner Using Uber App,UberEats iOS,Completed,10/2/21,4:52 PM,40.03,3.1,43.13,0,0,0,0,0,0,0,0,43.13,-7.61,0,0,0,0,0,,0,-3.1,0,32.42,10/4/21,0,0,19,KPHKPEFAOKPW7L3
Ameci Pizza & Pasta - Lake Forest,,#D3AAE,ead612de-a584-4846-9ca7-b88c1c7d3aae,Delivery - Partner Using Uber App,Postmates iOS,Completed,10/2/21,5:09 PM,57.18,4.43,61.61,0,0,0,0,0,0,0,0,61.61,-10.86,0,0,0,0,0,,0,-4.43,0,46.32,10/4/21,0,0,19,KPHKPEFAOKPW7L3
Ameci Pizza & Pasta - Lake Forest,,#64170,38370382-2735-474a-89a3-49fb36d64170,Delivery - Partner Using Uber App,UberEats Android,Completed,10/2/21,5:51 PM,23.98,1.86,25.84,0,0,0,0,0,0,0,0,25.84,-4.56,0,0,0,0,0,,0,-1.86,0,19.42,10/4/21,0,0,19,KPHKPEFAOKPW7L3
Ameci Pizza & Pasta - Lake Forest,,#8B9F2,508ae0e1-6375-4938-8ff9-8294b3f8b9f2,Delivery - Partner Using Uber App,Postmates iOS,Completed,10/2/21,5:09 PM,49.67,3.85,53.52,0,0,0,0,0,0,0,0,53.52,-9.44,0,0,0,0,0,,0,-3.85,0,40.23,10/4/21,0,0,19,KPHKPEFAOKPW7L3
