"TIMESTAMP_UTC_TIME","TIMESTAMP_UTC_DATE","TIMESTAMP_LOCAL_TIME","TIMESTAMP_LOCAL_DATE","PAYOUT_TIME","PAYOUT_DATE","STORE_ID","BUSINESS_ID","STORE_NAME","MERCHANT_STORE_ID","TRANSACTION_TYPE","TRANSACTION_ID","DOORDASH_ORDER_ID","MERCHANT_DELIVERY_ID","EXTERNAL_ID","DESCRIPTION","FINAL_ORDER_STATUS","CURRENCY","SUBTOTAL","TAX_SUBTOTAL","COMMISSION","COMMISSION_TAX_AMOUNT","MARKETING_FEES","STAFF_TIP","CREDIT","DEBIT","DOORDASH_TRANSACTION_ID","PAYOUT_ID","DRIVE_CHARGE","TAX_REMITTED_BY_DOORDASH_TO_STATE","SUBTOTAL_FOR_TAX","DOORDASH_FUNDED_SUBTOTAL_DISCOUNT_AMOUNT","MERCHANT_FUNDED_SUBTOTAL_DISCOUNT_AMOUNT","CONSUMER_DELIVERY_FEE","CONSUMER_SERVICE_FEE","CONSUMER_SMALL_ORDER_FEE","CONSUMER_LEGISLATIVE_FEE","CONSUMER_TIP"
"18:20:34","2021-11-01","11:20:34","2021-11-01","2021-11-05 07:32:02.642317000","2021-11-05",111737,4736,"Ameci Pizza & Pasta (Trabuco Rd)","NULL","DELIVERY","f32103e5-8a8c-433c-9bcb-a62c3055bbda","=""3055bbda""","NULL","NULL","Order Received Time: 2021-11-01 18:03:07.815400000
Order Pickup Time: 2021-11-01 18:20:34.755476000","Delivered","USD",13.98,1.26,3.50,0.00,0.00,0.00,11.74,0.00,"3173294172",181292822,0.00,0.00,13.98,NULL,NULL,"0.00","0.70","0.00","0.00","3.00"
"19:19:44","2021-11-01","12:19:44","2021-11-01","2021-11-05 07:32:02.642317000","2021-11-05",111737,4736,"Ameci Pizza & Pasta (Trabuco Rd)","NULL","DELIVERY","6b56b0f4-f32f-4e42-9bc4-d207d0d86443","=""d0d86443""","NULL","NULL","Order Received Time: 2021-11-01 18:57:28.376742000
Order Pickup Time: 2021-11-01 19:19:44.332999000","Delivered","USD",22.98,2.07,5.75,0.00,0.00,0.00,19.30,0.00,"3173588238",181292822,0.00,0.00,22.98,NULL,NULL,"0.00","1.15","0.00","0.00","4.00"
"19:42:19","2021-11-01","12:42:19","2021-11-01","2021-11-05 07:32:02.642317000","2021-11-05",111737,4736,"Ameci Pizza & Pasta (Trabuco Rd)","NULL","DELIVERY","a987d5d5-b904-435b-9ad6-28a621cd625b","=""21cd625b""","NULL","NULL","Order Received Time: 2021-11-01 19:19:38.503298000
Order Pickup Time: 2021-11-01 19:42:19.115784000","Delivered","USD",20.73,1.87,5.18,0.00,0.00,0.00,17.42,0.00,"3173696857",181292822,0.00,0.00,20.73,NULL,NULL,"1.99","3.11","0.00","0.00","4.50"
"20:34:23","2021-11-01","13:34:23","2021-11-01","2021-11-05 07:32:02.642317000","2021-11-05",111737,4736,"Ameci Pizza & Pasta (Trabuco Rd)","NULL","DELIVERY","a82603f7-f1c3-428a-9f32-7ffac283a76e","=""c283a76e""","NULL","NULL","Order Received Time: 2021-11-01 20:11:28.717007000
Order Pickup Time: 2021-11-01 20:34:23.145080000","Delivered","USD",13.98,1.26,3.50,0.00,0.00,0.00,11.74,0.00,"3173939903",181292822,0.00,0.00,13.98,NULL,NULL,"0.00","0.70","0.00","0.00","4.00"
"21:18:25","2021-11-01","14:18:25","2021-11-01","2021-11-05 07:32:02.642317000","2021-11-05",111737,4736,"Ameci Pizza & Pasta (Trabuco Rd)","NULL","DELIVERY","301e6d8f-6355-439b-a52d-45f558f62a46","=""58f62a46""","NULL","NULL","Order Received Time: 2021-11-01 20:54:23.048844000
Order Pickup Time: 2021-11-01 21:18:25.511892000","Delivered","USD",11.99,1.08,3.00,0.00,0.00,0.00,10.07,0.00,"3174150158",181292822,0.00,0.00,11.99,NULL,NULL,"0.00","0.60","2.99","0.00","2.50"
"23:52:32","2021-11-01","16:52:32","2021-11-01","2021-11-05 07:32:02.642317000","2021-11-05",111737,4736,"Ameci Pizza & Pasta (Trabuco Rd)","NULL","DELIVERY","2ceb0b80-8f00-4b38-a4de-d5693348e791","=""3348e791""","NULL","NULL","Order Received Time: 2021-11-01 23:32:15.968603000
Order Pickup Time: 2021-11-01 23:52:32.689157000","Delivered","USD",67.87,6.11,16.97,0.00,0.00,0.00,57.01,0.00,"3175119729",181292822,0.00,0.00,67.87,NULL,NULL,"0.00","3.39","0.00","0.00","13.50"
"00:34:36","2021-11-02","17:34:36","2021-11-01","2021-11-05 07:32:02.642317000","2021-11-05",111737,4736,"Ameci Pizza & Pasta (Trabuco Rd)","NULL","DELIVERY","48a01977-0819-49ff-adca-96a058c57cb8","=""58c57cb8""","NULL","NULL","Order Received Time: 2021-11-02 00:11:42.761453000
Order Pickup Time: 2021-11-02 00:34:36.657845000","Delivered","USD",34.73,3.13,8.68,0.00,0.00,0.00,29.18,0.00,"3175425695",181292822,0.00,0.00,34.73,NULL,NULL,"1.99","5.21","0.00","0.00","6.00"
"00:48:06","2021-11-02","17:48:06","2021-11-01","2021-11-05 07:32:02.642317000","2021-11-05",111737,4736,"Ameci Pizza & Pasta (Trabuco Rd)","NULL","DELIVERY","1372815f-3278-42dc-b13b-166d505d5dd1","=""505d5dd1""","NULL","NULL","Order Received Time: 2021-11-02 00:27:07.816834000
Order Pickup Time: 2021-11-02 00:48:06.633870000","Delivered","USD",33.70,3.03,8.43,0.00,0.00,0.00,28.30,0.00,"3175521712",181292822,0.00,0.00,33.70,NULL,NULL,"5.99","5.06","0.00","0.00","10.00"
"01:25:23","2021-11-02","18:25:23","2021-11-01","2021-11-05 07:32:02.642317000","2021-11-05",111737,4736,"Ameci Pizza & Pasta (Trabuco Rd)","NULL","DELIVERY","da04ae51-0db5-4014-b7f6-8d1f57cdffe0","=""57cdffe0""","NULL","NULL","Order Received Time: 2021-11-02 01:07:19.231657000
Order Pickup Time: 2021-11-02 01:25:23.029254000","Delivered","USD",13.78,1.24,3.45,0.00,0.00,0.00,11.57,0.00,"3175773540",181292822,0.00,0.00,13.78,NULL,NULL,"0.00","0.69","0.00","0.00","1.50"
"01:37:27","2021-11-02","18:37:27","2021-11-01","2021-11-05 07:32:02.642317000","2021-11-05",111737,4736,"Ameci Pizza & Pasta (Trabuco Rd)","NULL","DELIVERY","83f61461-44f8-439c-9dc7-ac45f04cd5c8","=""f04cd5c8""","NULL","NULL","Order Received Time: 2021-11-02 01:16:14.721273000
Order Pickup Time: 2021-11-02 01:37:27.569311000","Delivered","USD",12.78,1.15,3.20,0.00,0.00,0.00,10.73,0.00,"3175850618",181292822,0.00,0.00,12.78,NULL,NULL,"0.00","0.64","0.00","0.00","3.00"
