Store Name,Store ID,Order ID,Workflow ID,Dining Mode,Order Channel,Order Status,Order Date / Refund date,Order Accept Time,Food Sales (excluding tax),Tax on Food Sales,Food sales (including tax),Adjustments (excluding tax),Tax on Adjustments,Promo Spend on food,Tax on Promotion on Food,Special Offer - Delivery,Tax on Special Offer - Delivery,Bag Fee,Marketing Service Fee Adjustment,Total Sales after Adjustments (including tax),Uber Service Fee,Delivery Network Fee,Order Processing Fee,Merchant Fee,Tax on Merchant Fee,Gratuity,Misc Payment Description,Miscellaneous Payments,Marketplace Facilitator Tax,Backup Withholding Tax,Payout,Payout Date,Markup Amount,Markup Tax,Service Fee %,Payout reference ID
Ameci Pizza & Pasta - Lake Forest,,#FDBEF,002f93d1-df48-4736-8868-d091526fdbef,,Unknown,Refund,10/29/21,5:59 PM,-35.99,0,-35.99,0,0,0,0,0,0,0,,0,0,,,0,0,0,,0,0,0,-35.99,11/9/21,,,,1Y88FL7XI1JIIC1
Ameci Pizza & Pasta - Lake Forest,,#69637,e9113438-3fe7-46ef-96be-04f5b7f69637,Delivery - Partner Using Uber App,UberEats iOS,Completed,11/1/21,4:01 PM,39.71,3.08,42.79,0,0,0,0,0,0,0,0,42.79,-7.54,0,0,0,0,0,,0,-3.08,0,32.17,11/9/21,0,0,19,1Y88FL7XI1JIIC1
Ameci Pizza & Pasta - Lake Forest,,#AA136,8496901d-5c39-4d15-ae72-0ef1a88aa136,Delivery - Partner Using Uber App,UberEats iOS,Completed,11/1/21,4:07 PM,63.43,4.92,68.35,0,0,0,0,0,0,0,0,68.35,-12.05,0,0,0,0,0,,0,-4.92,0,51.38,11/9/21,0,0,19,1Y88FL7XI1JIIC1
Ameci Pizza & Pasta - Lake Forest,,#4D0B1,921f198f-aae2-42a7-aee4-b1a73ca4d0b1,Delivery - Partner Using Uber App,UberEats iOS,Completed,11/1/21,4:41 PM,22.98,1.78,24.76,0,0,0,0,0,0,0,0,24.76,-4.37,0,0,0,0,0,,0,-1.78,0,18.61,11/9/21,0,0,19,1Y88FL7XI1JIIC1
Ameci Pizza & Pasta - Lake Forest,,#EC58D,4f68f2a6-7d0c-4fbf-a523-60f01deec58d,Delivery - Partner Using Uber App,UberEats iOS,Completed,11/1/21,5:49 PM,34.72,2.69,37.41,0,0,0,0,0,0,0,0,37.41,-6.6,0,0,0,0,0,,0,-2.69,0,28.12,11/9/21,0,0,19,1Y88FL7XI1JIIC1
Ameci Pizza & Pasta - Lake Forest,,#9AD66,4f0a2a63-8ae5-4cc7-898c-98327269ad66,Delivery - Partner Using Uber App,UberEats iOS,Completed,11/1/21,6:32 PM,30.97,2.4,33.37,0,0,0,0,0,0,0,0,33.37,-5.88,0,0,0,0,0,,0,-2.4,0,25.09,11/9/21,0,0,19,1Y88FL7XI1JIIC1
Ameci Pizza & Pasta - Lake Forest,,#A78DE,14f75d65-3aad-489e-9765-331f905a78de,Delivery - Partner Using Uber App,Postmates iOS,Completed,11/1/21,7:22 PM,37.96,2.94,40.9,0,0,0,0,0,0,0,0,40.9,-7.21,0,0,0,0,0,,0,-2.94,0,30.75,11/9/21,0,0,19,1Y88FL7XI1JIIC1
Ameci Pizza & Pasta - Lake Forest,,#C96C5,cdc5d77a-6ac8-4c87-897d-399e0cfc96c5,Delivery - Partner Using Uber App,UberEats iOS,Completed,11/2/21,6:53 PM,22.48,1.74,24.22,0,0,0,0,0,0,0,0,24.22,-4.27,0,0,0,0,0,,0,-1.74,0,18.21,11/9/21,0,0,19,1Y88FL7XI1JIIC1
Ameci Pizza & Pasta - Lake Forest,,#A5EDC,fd33679d-21bf-4f18-b1c1-e566f95a5edc,Delivery - Partner Using Uber App,Postmates iOS,Completed,11/2/21,6:46 PM,34.96,2.71,37.67,0,0,0,0,0,0,0,0,37.67,-6.64,0,0,0,0,0,,0,-2.71,0,28.32,11/9/21,0,0,19,1Y88FL7XI1JIIC1
Ameci Pizza & Pasta - Lake Forest,,#2C3B5,f867da62-7ce2-49d3-b872-69d16ea2c3b5,Delivery - Partner Using Uber App,UberEats iOS,Completed,11/3/21,12:16 PM,24.96,1.93,26.89,0,0,0,0,0,0,0,0,26.89,-4.74,0,0,0,0,0,,0,-1.93,0,20.22,11/9/21,0,0,19,1Y88FL7XI1JIIC1
