"TIMESTAMP_UTC_TIME","TIMESTAMP_UTC_DATE","TIMESTAMP_LOCAL_TIME","TIMESTAMP_LOCAL_DATE","PAYOUT_TIME","PAYOUT_DATE","STORE_ID","BUSINESS_ID","STORE_NAME","MERCHANT_STORE_ID","TRANSACTION_TYPE","TRANSACTION_ID","DOORDASH_ORDER_ID","MERCHANT_DELIVERY_ID","EXTERNAL_ID","DESCRIPTION","FINAL_ORDER_STATUS","CURRENCY","SUBTOTAL","TAX_SUBTOTAL","COMMISSION","COMMISSION_TAX_AMOUNT","MARKETING_FEES","STAFF_TIP","CREDIT","DEBIT","DOORDASH_TRANSACTION_ID","PAYOUT_ID","DRIVE_CHARGE","TAX_REMITTED_BY_DOORDASH_TO_STATE","SUBTOTAL_FOR_TAX","DOORDASH_FUNDED_SUBTOTAL_DISCOUNT_AMOUNT","MERCHANT_FUNDED_SUBTOTAL_DISCOUNT_AMOUNT","CONSUMER_DELIVERY_FEE","CONSUMER_SERVICE_FEE","CONSUMER_SMALL_ORDER_FEE","CONSUMER_LEGISLATIVE_FEE","CONSUMER_TIP"
"20:42:12","2021-12-01","12:42:12","2021-12-01","2021-12-06 08:32:27.542961000","2021-12-06",111737,4736,"Ameci Pizza & Pasta (Trabuco Rd)","NULL","DELIVERY","1b9288ce-5f70-4030-9420-1a2649cd387f","=""49cd387f""","NULL","NULL","Order Received Time: 2021-12-01 20:18:14.420239000
Order Pickup Time: 2021-12-01 20:42:12.424230000","Delivered","USD",52.22,4.70,13.06,0.00,0.00,0.00,43.86,0.00,"3328067710",187235466,0.00,0.00,52.22,NULL,NULL,"1.99","7.83","0.00","0.00","3.00"
"20:57:14","2021-12-01","12:57:14","2021-12-01","2021-12-06 08:32:27.542961000","2021-12-06",111737,4736,"Ameci Pizza & Pasta (Trabuco Rd)","NULL","DELIVERY","303a5aa3-975f-4e39-a5f5-55c3265dfb6f","=""265dfb6f""","NULL","NULL","Order Received Time: 2021-12-01 20:33:19.181473000
Order Pickup Time: 2021-12-01 20:57:14.965653000","Delivered","USD",23.98,2.16,6.00,0.00,0.00,0.00,20.14,0.00,"3328139397",187235466,0.00,0.00,23.98,NULL,NULL,"0.00","1.20","0.00","0.00","7.00"
"21:23:36","2021-12-01","13:23:36","2021-12-01","2021-12-06 08:32:27.542961000","2021-12-06",111737,4736,"Ameci Pizza & Pasta (Trabuco Rd)","NULL","DELIVERY","a0bc5a73-7da1-40f5-9770-3f07d4761cff","=""d4761cff""","NULL","NULL","Order Received Time: 2021-12-01 21:00:56.121933000
Order Pickup Time: 2021-12-01 21:23:36.310234000","Delivered","USD",15.96,1.44,3.99,0.00,0.00,0.00,13.41,0.00,"3328267945",187235466,0.00,0.00,15.96,NULL,NULL,"0.00","2.39","0.00","0.00","5.21"
"22:46:02","2021-12-01","14:46:02","2021-12-01","2021-12-06 08:32:27.542961000","2021-12-06",111737,4736,"Ameci Pizza & Pasta (Trabuco Rd)","NULL","DELIVERY","a27f9dd1-cc40-4970-b8bb-bfb2decb96d0","=""decb96d0""","NULL","NULL","Order Received Time: 2021-12-01 22:29:46.100371000
Order Pickup Time: 2021-12-01 22:46:02.284593000","Delivered","USD",11.99,1.08,3.00,0.00,0.00,0.00,10.07,0.00,"3328709485",187235466,0.00,0.00,11.99,NULL,NULL,"1.99","1.80","3.00","0.00","2.50"
"01:06:43","2021-12-02","17:06:43","2021-12-01","2021-12-06 08:32:27.542961000","2021-12-06",111737,4736,"Ameci Pizza & Pasta (Trabuco Rd)","NULL","DELIVERY","6b0b5174-1046-4886-93ba-2953ca1fb3ea","=""ca1fb3ea""","NULL","NULL","Order Received Time: 2021-12-02 00:41:40.054538000
Order Pickup Time: 2021-12-02 01:06:43.356544000","Delivered","USD",39.97,3.60,9.99,0.00,0.00,0.00,33.58,0.00,"3329752993",187235466,0.00,0.00,39.97,NULL,NULL,"0.00","2.00","0.00","0.00","5.00"
"01:19:27","2021-12-02","17:19:27","2021-12-01","2021-12-06 08:32:27.542961000","2021-12-06",111737,4736,"Ameci Pizza & Pasta (Trabuco Rd)","NULL","DELIVERY","4e658731-0ad5-453b-afdc-6876d687a2e7","=""d687a2e7""","NULL","NULL","Order Received Time: 2021-12-02 00:51:42.876281000
Order Pickup Time: 2021-12-02 01:19:27.401472000","Delivered","USD",26.52,2.39,6.63,0.00,0.00,0.00,22.28,0.00,"3329854758",187235466,0.00,0.00,26.52,5.00,NULL,"0.00","1.33","0.00","0.00","5.00"
"01:22:29","2021-12-02","17:22:29","2021-12-01","2021-12-06 08:32:27.542961000","2021-12-06",111737,4736,"Ameci Pizza & Pasta (Trabuco Rd)","NULL","DELIVERY","aefe006b-48f8-4ab9-9acc-703ef9420f90","=""f9420f90""","NULL","NULL","Order Received Time: 2021-12-02 00:54:29.868056000
Order Pickup Time: 2021-12-02 01:22:29.583154000","Delivered","USD",23.71,2.13,5.93,0.00,0.00,0.00,19.91,0.00,"3329879108",187235466,0.00,0.00,23.71,NULL,NULL,"0.00","1.19","0.00","0.00","4.97"
"01:45:39","2021-12-02","17:45:39","2021-12-01","2021-12-06 08:32:27.542961000","2021-12-06",111737,4736,"Ameci Pizza & Pasta (Trabuco Rd)","NULL","DELIVERY","0d15892c-3012-4991-9716-7b478cc65a58","=""8cc65a58""","NULL","NULL","Order Received Time: 2021-12-02 01:25:55.768834000
Order Pickup Time: 2021-12-02 01:45:39.749348000","Delivered","USD",25.98,2.34,6.50,0.00,0.00,0.00,21.82,0.00,"3330063398",187235466,0.00,0.00,25.98,NULL,NULL,"0.00","1.30","0.00","0.00","8.00"
"02:47:59","2021-12-02","18:47:59","2021-12-01","2021-12-06 08:32:27.542961000","2021-12-06",111737,4736,"Ameci Pizza & Pasta (Trabuco Rd)","NULL","DELIVERY","901789ef-4dbe-45d8-b01e-3633bea1b8f7","=""bea1b8f7""","NULL","NULL","Order Received Time: 2021-12-02 02:19:30.033661000
Order Pickup Time: 2021-12-02 02:47:59.821882000","Delivered","USD",20.96,1.89,5.24,0.00,0.00,0.00,17.61,0.00,"3330505845",187235466,0.00,0.00,20.96,NULL,NULL,"0.00","1.05","0.00","0.00","3.50"
"02:52:23","2021-12-02","18:52:23","2021-12-01","2021-12-06 08:32:27.542961000","2021-12-06",111737,4736,"Ameci Pizza & Pasta (Trabuco Rd)","NULL","DELIVERY","8da00081-4b22-4db8-be4d-eccf25e18946","=""25e18946""","NULL","NULL","Order Received Time: 2021-12-02 02:24:27.161451000
Order Pickup Time: 2021-12-02 02:52:23.960907000","Delivered","USD",73.69,6.63,18.42,0.00,0.00,0.00,61.90,0.00,"3330533054",187235466,0.00,0.00,73.69,NULL,NULL,"0.00","3.68","0.00","0.00","7.50"
