Store Name,Store ID,Order ID,Workflow ID,Dining Mode,Order Channel,Order Status,Order Date / Refund date,Order Accept Time,Food Sales (excluding tax),Tax on Food Sales,Food sales (including tax),Adjustments (excluding tax),Tax on Adjustments,Promo Spend on food,Tax on Promotion on Food,Special Offer - Delivery,Tax on Special Offer - Delivery,Bag Fee,Marketing Service Fee Adjustment,Total Sales after Adjustments (including tax),Uber Service Fee,Delivery Network Fee,Order Processing Fee,Merchant Fee,Tax on Merchant Fee,Gratuity,Misc Payment Description,Miscellaneous Payments,Marketplace Facilitator Tax,Backup Withholding Tax,Payout,Payout Date,Markup Amount,Markup Tax,Service Fee %,Payout reference ID
Ameci Pizza & Pasta - Lake Forest,,#811EC,95d64efb-344d-4f18-9ec0-6fd6e56811ec,Delivery - Partner Using Uber App,Postmates iOS,Completed,12/1/21,12:55 PM,31.01,2.4,33.41,0,0,0,0,0,0,0,0,33.41,-5.89,0,0,0,0,0,,0,-2.4,0,25.12,12/7/21,0,0,19,RRAXHKISW9UJZOP
Ameci Pizza & Pasta - Lake Forest,,#12BBB,733ecf7a-0499-4feb-9f6c-c973c1912bbb,Delivery - Partner Using Uber App,UberEats Android,Completed,12/1/21,1:05 PM,59.94,4.65,64.59,0,0,0,0,0,0,0,0,64.59,-11.39,0,0,0,0,0,,0,-4.65,0,48.55,12/7/21,0,0,19,RRAXHKISW9UJZOP
Ameci Pizza & Pasta - Lake Forest,,#40DCF,a3746349-e287-4955-a163-d4e55df40dcf,Delivery - Partner Using Uber App,UberEats iOS,Completed,12/1/21,2:53 PM,29.67,2.3,31.97,0,0,0,0,0,0,0,0,31.97,-5.64,0,0,0,0,0,,0,-2.3,0,24.03,12/7/21,0,0,19,RRAXHKISW9UJZOP
Ameci Pizza & Pasta - Lake Forest,,#1EC8D,df789e7b-e4e3-408f-8cc6-bedf11c1ec8d,Delivery - Partner Using Uber App,UberEats Android,Completed,12/1/21,4:27 PM,29.73,2.3,32.03,0,0,0,0,0,0,0,0,32.03,-5.65,0,0,0,0,0,,0,-2.3,0,24.08,12/7/21,0,0,19,RRAXHKISW9UJZOP
Ameci Pizza & Pasta - Lake Forest,,#58D6F,f498b651-7f4d-4c91-909c-d74c3e258d6f,Delivery - Partner Using Uber App,UberEats iOS,Completed,12/1/21,6:01 PM,44.46,3.45,47.91,0,0,0,0,0,0,0,0,47.91,-8.45,0,0,0,0,0,,0,-3.45,0,36.01,12/7/21,0,0,19,RRAXHKISW9UJZOP
Ameci Pizza & Pasta - Lake Forest,,#42D57,ad911a19-3ec5-4197-82b0-cb7dbb842d57,Delivery - Partner Using Uber App,UberEats Web,Completed,12/1/21,7:53 PM,24.21,1.88,26.09,0,0,0,0,0,0,0,0,26.09,-4.6,0,0,0,0,0,,0,-1.88,0,19.61,12/7/21,0,0,19,RRAXHKISW9UJZOP
Ameci Pizza & Pasta - Lake Forest,,#6A8A4,b1eb4a33-8a95-4406-8609-a55b53c6a8a4,Delivery - Partner Using Uber App,UberEats iOS,Completed,12/1/21,8:18 PM,37.22,2.88,40.1,0,0,0,0,0,0,0,0,40.1,-7.07,0,0,0,0,0,,0,-2.88,0,30.15,12/7/21,0,0,19,RRAXHKISW9UJZOP
Ameci Pizza & Pasta - Lake Forest,,#C5FB9,06cd55db-13e9-4159-b25f-4cbb563c5fb9,Delivery - Partner Using Uber App,UberEats iOS,Completed,12/1/21,9:16 PM,33.97,2.63,36.6,0,0,0,0,0,0,0,0,36.6,-6.45,0,0,0,0,0,,0,-2.63,0,27.52,12/7/21,0,0,19,RRAXHKISW9UJZOP
Ameci Pizza & Pasta - Lake Forest,,#614B1,017feaa7-2377-4fdf-b0ce-3f4d281614b1,Delivery - Partner Using Uber App,Postmates iOS,Completed,12/2/21,12:17 PM,33.98,2.63,36.61,0,0,0,0,0,0,0,0,36.61,-6.46,0,0,0,0,0,,0,-2.63,0,27.52,12/7/21,0,0,19,RRAXHKISW9UJZOP
Ameci Pizza & Pasta - Lake Forest,,#39BCC,199eb182-110c-4580-8f1a-ed31bed39bcc,Delivery - Partner Using Uber App,UberEats iOS,Completed,12/2/21,4:11 PM,21.99,1.7,23.69,0,0,0,0,0,0,0,0,23.69,-4.18,0,0,0,0,0,,0,-1.7,0,17.81,12/7/21,0,0,19,RRAXHKISW9UJZOP
