"ID","Restaurant","Type","Description","Date","Time","Subtotal","Delivery Fee","Service Fee","Tax","Tip","Restaurant Total","Commission","Processing Fee","Withheld Tax"
"O-520317819975088","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"1/28/22","5:03 PM","35.77","0.00","0","2.77","0","38.54","-4.47","-1.48","0"
"W-117017739799247","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"1/20/22","6:44 PM","18.99","0.00","0","1.47","0","20.46","0","-0.92","0"
"O-419717575518859","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"1/5/22","12:31 PM","36.04","2.99","0","3.02","0","42.05","-4.88","-1.58","0"
"O-949417829821953","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"1/29/22","7:13 PM","35.26","2.99","0","2.96","4.12","45.33","-4.78","-1.68","0"
"O-955817657683215","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"1/12/22","8:27 PM","29.97","0.00","0","2.32","0","32.29","-3.75","-1.28","0"
"O-941017586279102","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"1/5/22","6:49 PM","33.97","2.99","0","2.86","5.97","45.79","-4.62","-1.70","0"
"W-411417561751798","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"1/4/22","1:08 PM","43.50","0.00","0","3.37","0","46.87","0","-1.73","0"
"O-421617686557100","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"1/15/22","7:41 PM","37.46","2.99","0","3.13","6.54","50.12","-5.06","-1.83","0"
"O-353517668978368","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"1/13/22","7:27 PM","35.26","2.99","0","2.96","4.12","45.33","-4.78","-1.68","0"
"O-247817630411552","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"1/11/22","12:07 PM","41.98","2.99","0","3.48","6.78","55.23","-5.62","-1.98","0"
"O-117017749762461","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"1/22/22","1:08 PM","18.99","0.00","0","1.47","0","20.46","-2.37","-0.92","0"
"O-347817600227822","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"1/7/22","5:40 PM","35.97","2.99","0","3.02","6.30","48.28","-4.87","-1.77","0"
