DateWeekEnding,Orders,OrderTotal,AmountDue,CSHangups,CSProblems,CSStatusChecks
4/4/2021 12:00:00 AM,4,176.49,68.57,0,0,0
4/11/2021 12:00:00 AM,4,156.07,60.95,0,0,0
4/18/2021 12:00:00 AM,9,517.67,175.58,0,0,0
4/25/2021 12:00:00 AM,6,234.90,87.85,2,1,3
5/2/2021 12:00:00 AM,4,273.05,90.86,0,0,0
5/9/2021 12:00:00 AM,1,55.18,18.48,2,0,0
5/16/2021 12:00:00 AM,2,77.47,29.61,2,0,0
5/23/2021 12:00:00 AM,8,309.84,116.46,1,0,3
5/30/2021 12:00:00 AM,4,90.90,39.47,0,0,0
6/6/2021 12:00:00 AM,2,120.88,41.22,0,0,0
6/13/2021 12:00:00 AM,6,282.42,102.47,1,0,1
6/20/2021 12:00:00 AM,5,332.91,109.33,0,0,0
6/27/2021 12:00:00 AM,3,129.89,47.94,2,0,0
7/4/2021 12:00:00 AM,1,123.70,38.52,1,0,0
7/11/2021 12:00:00 AM,6,253.68,93.46,1,0,0
7/18/2021 12:00:00 AM,4,176.59,62.04,0,0,1
7/25/2021 12:00:00 AM,7,382.51,133.57,0,0,0
8/1/2021 12:00:00 AM,3,113.48,42.94,0,0,0
8/8/2021 12:00:00 AM,6,285.56,100.85,1,0,1
8/15/2021 12:00:00 AM,2,68.34,26.46,0,0,0
8/22/2021 12:00:00 AM,6,244.89,92.54,1,0,1
8/29/2021 12:00:00 AM,8,299.57,115.16,1,0,1
9/5/2021 12:00:00 AM,5,264.98,93.36,3,0,1
9/12/2021 12:00:00 AM,5,162.29,65.28,1,0,0
9/19/2021 12:00:00 AM,8,325.42,124.33,1,0,0
9/26/2021 12:00:00 AM,8,449.31,153.60,4,1,0
10/3/2021 12:00:00 AM,6,223.18,83.66,0,0,0
10/10/2021 12:00:00 AM,5,228.20,82.24,2,0,0
10/17/2021 12:00:00 AM,2,129.74,43.92,2,0,0
10/24/2021 12:00:00 AM,1,28.29,11.90,2,0,0
10/31/2021 12:00:00 AM,0,0.00,0.00,1,0,0
11/7/2021 12:00:00 AM,5,181.72,70.06,0,0,0
11/14/2021 12:00:00 AM,5,169.72,65.58,0,0,1
11/21/2021 12:00:00 AM,3,109.48,43.85,0,0,0
11/28/2021 12:00:00 AM,3,117.63,47.11,1,0,0
12/5/2021 12:00:00 AM,4,194.91,82.03,1,0,0
12/12/2021 12:00:00 AM,6,228.21,106.04,1,0,0
12/19/2021 12:00:00 AM,5,173.29,81.99,0,1,0
12/26/2021 12:00:00 AM,2,69.43,32.81,0,0,0
1/2/2022 12:00:00 AM,5,188.68,86.75,1,0,1
1/9/2022 12:00:00 AM,1,31.47,14.63,0,0,0
1/16/2022 12:00:00 AM,3,194.45,77.25,1,0,0
1/23/2022 12:00:00 AM,5,199.81,89.65,2,0,0
1/30/2022 12:00:00 AM,5,197.31,90.72,2,0,0
2/6/2022 12:00:00 AM,2,66.72,31.85,1,0,0
2/13/2022 12:00:00 AM,5,242.30,102.78,3,1,0
2/20/2022 12:00:00 AM,7,365.31,156.40,2,0,0
2/27/2022 12:00:00 AM,7,316.69,139.64,0,0,1
3/6/2022 12:00:00 AM,5,202.67,91.83,1,0,0
3/13/2022 12:00:00 AM,6,255.85,114.53,1,0,1
3/20/2022 12:00:00 AM,1,21.81,12.13,1,0,0
3/27/2022 12:00:00 AM,4,193.00,84.66,4,0,0
4/3/2022 12:00:00 AM,6,294.89,125.92,0,0,2
4/10/2022 12:00:00 AM,9,328.12,152.49,0,0,0
4/17/2022 12:00:00 AM,3,177.95,73.55,0,0,1
4/24/2022 12:00:00 AM,4,131.84,63.14,3,0,0
5/1/2022 12:00:00 AM,7,237.97,113.70,3,0,0
