Store Name,Store ID,Order ID,Workflow ID,Dining Mode,Order Channel,Order Status,Order Date / Refund date,Order Accept Time,Food Sales (excluding tax),Tax on Food Sales,Food sales (including tax),Adjustments (excluding tax),Tax on Adjustments,Promo Spend on food,Tax on Promotion on Food,Special Offer - Delivery,Tax on Special Offer - Delivery,Bag Fee,Marketing Service Fee Adjustment,Total Sales after Adjustments (including tax),Uber Service Fee,Delivery Network Fee,Order Processing Fee,Merchant Fee,Tax on Merchant Fee,Gratuity,Misc Payment Description,Miscellaneous Payments,Marketplace Facilitator Tax,Backup Withholding Tax,Payout,Payout Date,Markup Amount,Markup Tax,Service Fee %,Payout reference ID
Ameci Pizza & Pasta - Lake Forest,,#161D6,eeb8baac-544a-49c8-b228-65fec3d161d6,Delivery - Partner Using Uber App,Postmates iOS,Completed,1/1/22,3:13 PM,29.45,2.28,31.73,0,0,0,0,0,0,0,0,31.73,-5.6,0,0,0,0,0,,0,-2.28,0,23.85,1/3/22,0,0,19,UEM943RE1F8Y6M2
Ameci Pizza & Pasta - Lake Forest,,#04C8D,3da0ec43-d203-42fc-9e1a-97c514e04c8d,Delivery - Partner Using Uber App,Postmates iOS,Completed,1/1/22,3:05 PM,39.47,3.06,42.53,0,0,0,0,0,0,0,0,42.53,-7.5,0,0,0,0,0,,0,-3.06,0,31.97,1/3/22,0,0,19,UEM943RE1F8Y6M2
Ameci Pizza & Pasta - Lake Forest,,#A500C,fc0145f0-9981-48b5-a74a-242305da500c,Delivery - Partner Using Uber App,Postmates iOS,Completed,1/1/22,3:55 PM,35.95,2.79,38.74,0,0,0,0,0,0,0,0,38.74,-6.83,0,0,0,0,0,,0,-2.79,0,29.12,1/3/22,0,0,19,UEM943RE1F8Y6M2
Ameci Pizza & Pasta - Lake Forest,,#79B23,e60c81a2-206b-4fea-9aa9-f11093079b23,Delivery - Partner Using Uber App,UberEats iOS,Completed,1/1/22,5:11 PM,16.73,1.3,18.03,0,0,0,0,0,0,0,0,18.03,-3.18,0,0,0,0,0,,0,-1.3,0,13.55,1/3/22,0,0,19,UEM943RE1F8Y6M2
Ameci Pizza & Pasta - Lake Forest,,#A3216,f92f3203-b2c7-452e-bbe3-a0f54baa3216,Delivery - Partner Using Uber App,UberEats iOS,Completed,1/1/22,5:24 PM,29.98,2.32,32.3,0,0,0,0,0,0,0,0,32.3,-5.7,0,0,0,0,0,,0,-2.32,0,24.28,1/3/22,0,0,19,UEM943RE1F8Y6M2
Ameci Pizza & Pasta - Lake Forest,,#1F71B,e7f22f86-b68e-4de0-8ae4-3f71a081f71b,Delivery - Partner Using Uber App,UberEats iOS,Completed,1/1/22,5:12 PM,35.97,2.79,38.76,0,0,0,0,0,0,0,0,38.76,-6.83,0,0,0,0,0,,0,-2.79,0,29.14,1/3/22,0,0,19,UEM943RE1F8Y6M2
Ameci Pizza & Pasta - Lake Forest,,#C149E,b4b49864-ccbe-4bd7-a400-5678d94c149e,Delivery - Partner Using Uber App,UberEats Android,Completed,1/1/22,5:28 PM,11.99,0.93,12.92,0,0,0,0,0,0,0,0,12.92,-2.28,0,0,0,0,0,,0,-0.93,0,9.71,1/3/22,0,0,19,UEM943RE1F8Y6M2
Ameci Pizza & Pasta - Lake Forest,,#8E7E4,03e8bde0-cdc4-4ffd-bfe4-5d749bd8e7e4,Delivery - Partner Using Uber App,UberEats Android,Completed,1/1/22,6:09 PM,38.97,3.02,41.99,0,0,0,0,0,0,0,0,41.99,-7.4,0,0,0,0,0,,0,-3.02,0,31.57,1/3/22,0,0,19,UEM943RE1F8Y6M2
Ameci Pizza & Pasta - Lake Forest,,#89191,e52659de-b08f-44d1-9d6e-548097a89191,Delivery - Partner Using Uber App,UberEats iOS,Completed,1/1/22,6:59 PM,22.98,1.78,24.76,0,0,0,0,0,0,0,0,24.76,-4.37,0,0,0,0,0,,0,-1.78,0,18.61,1/3/22,0,0,19,UEM943RE1F8Y6M2
Ameci Pizza & Pasta - Lake Forest,,#B3191,d2a6c815-fcd3-472e-8348-2c9b465b3191,Delivery - Partner Using Uber App,UberEats Web,Completed,1/2/22,11:49 AM,21.99,1.7,23.69,0,0,0,0,0,0,0,0,23.69,-4.18,0,0,0,0,0,,0,-1.7,0,17.81,1/3/22,0,0,19,UEM943RE1F8Y6M2
