"ID","Restaurant","Type","Description","Date","Time","Subtotal","Delivery Fee","Service Fee","Tax","Tip","Restaurant Total","Commission","Processing Fee","Withheld Tax"
"W-720017986252947","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"2/15/22","4:19 PM","33.72","0.00","0","2.61","0","36.33","0","-1.41","0"
"O-003417890668020","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"2/5/22","4:50 PM","95.65","0.00","0","7.41","0","103.06","-11.96","-3.44","0"
"O-902618097529335","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"2/26/22","12:31 PM","87.72","0.00","0","6.80","0","94.52","-10.97","-3.18","0"
"O-685618043323462","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"2/20/22","7:58 PM","21.98","0.00","0","1.70","0","23.68","-2.75","-1.02","0"
"O-962617995310741","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"2/16/22","1:07 PM","32.94","2.99","0","2.78","3.55","42.26","-4.49","-1.59","0"
"O-230318066163358","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"2/23/22","12:12 PM","33.97","0.00","0","2.63","0","36.60","-4.25","-1.42","0"
"O-902617947559505","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"2/10/22","5:01 PM","26.99","0.00","0","2.09","0","29.08","-3.37","-1.19","0"
"O-534118065320656","Ameci Pizza & Pasta - Trabuco Rd","Adjustment of O-534118065320656","Late delivery (order is too late)","2/22/22","9:48 PM","-44.75","-4.99","0","-3.86","-7.23","-60.83","6.22","2.16","0"
"O-949417859898738","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"2/1/22","5:48 PM","26.47","2.99","0","2.28","4.76","36.50","-3.68","-1.41","0"
"W-985118109914770","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"2/27/22","5:15 PM","44.97","2.99","0","3.72","7.75","59.43","0","-2.11","0"
"O-514517965993246","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"2/13/22","1:50 PM","19.98","0.00","0","1.55","0","21.53","-2.50","-0.96","0"
"O-961517962881073","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"2/13/22","3:00 PM","24.77","2.99","0","2.15","4.48","34.39","-3.47","-1.35","0"
"O-020618066460792","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"2/22/22","5:34 PM","26.99","0.00","0","2.09","0","29.08","-3.37","-1.19","0"
"O-985118069925481","Ameci Pizza & Pasta - Trabuco Rd","Cash Order",,"2/22/22","8:44 PM","18.99","2.99","0","1.70","0","28.68","-2.75","0","0"
"T-AwEAAAAAAATV6auGJmCRixHslOwlp25E9YI","Ameci Pizza & Pasta - Trabuco Rd","Account Adjustment","11861802-0804875 - AR","2/19/22","5:56 AM","0","0.00","0","0.00","0","32.47","0","0","0"
"O-534117915358627","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"2/8/22","12:10 PM","11.78","0.00","0","0.91","0","12.69","-1.47","-0.69","0"
