"ID","Restaurant","Type","Description","Date","Time","Subtotal","Delivery Fee","Service Fee","Tax","Tip","Restaurant Total","Commission","Processing Fee","Withheld Tax"
"O-734518250933562","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/13/22","7:32 PM","26.51","4.99","0","2.44","2.86","36.80","-3.94","-1.42","0"
"O-657318166567658","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/4/22","6:53 PM","51.96","2.99","0","4.26","5.92","65.13","-6.87","-2.29","0"
"O-278918241010460","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/12/22","6:30 PM","29.98","2.99","0","2.55","5.32","40.84","-4.12","-1.55","0"
"W-178218305579987","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/18/22","6:00 PM","110.88","0.00","0","8.59","0","119.47","0","-3.94","0"
"O-431518181388564","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/6/22","4:49 PM","35.98","2.99","0","3.02","6.29","48.28","-4.87","-1.77","0"
"W-398318292852225","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/19/22","6:30 PM","113.94","0.00","0","8.83","0","122.77","0","-4.04","0"
"O-024418203856349","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/8/22","7:04 PM","31.95","2.99","0","2.71","5.64","43.29","-4.37","-1.62","0"
"W-230218238213408","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/11/22","7:12 PM","48.44","2.99","0","3.98","5.00","60.41","0","-2.14","0"
"O-767518313820442","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/19/22","8:53 PM","31.56","2.99","0","2.68","6.80","44.03","-4.32","-1.64","0"
"O-098518162933094","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/4/22","6:23 PM","33.97","2.99","0","2.86","7.96","47.78","-4.62","-1.76","0"
"W-840818240654767","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/13/22","4:41 PM","175.46","2.99","0","13.83","15.00","207.28","0","-6.62","0"
"O-643418426700989","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/30/22","7:38 PM","15.98","2.99","0","1.47","3.06","23.50","-2.37","-1.02","0"
"O-880118365989013","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/24/22","6:05 PM","14.99","0.00","0","1.16","0","16.15","-1.87","-0.79","0"
"O-431518231387190","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/11/22","6:33 PM","11.99","0.00","0","0.93","0","12.92","-1.50","-0.69","0"
"O-769018345165691","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/23/22","11:41 AM","13.78","0.00","0","1.07","2.97","17.82","-1.72","-0.84","0"
"O-840818230603567","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/11/22","6:01 PM","25.77","2.99","0","2.23","4.65","35.64","-3.60","-1.39","0"
"O-120718340806345","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/22/22","6:11 PM","52.96","0.00","0","4.10","0","57.06","-6.62","-2.04","0"
"W-230218148218669","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/3/22","12:00 PM","85.94","2.99","0","6.89","14.37","110.19","0","-3.66","0"
"O-882118317494467","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/19/22","9:13 PM","63.35","2.99","0","5.14","5.00","76.48","-8.29","-2.63","0"
"O-063218377442014","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/25/22","5:57 PM","31.46","2.99","0","2.67","6.00","43.12","-4.31","-1.62","0"
"W-278918231015334","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/11/22","5:31 PM","45.76","0.00","0","3.55","4.93","54.24","0","-1.95","0"
"O-840818150605762","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/3/22","9:58 PM","26.96","2.99","0","2.32","5.00","37.27","-3.74","-1.44","0"
"O-602018317204335","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/19/22","6:28 PM","21.57","2.99","0","1.90","2.65","29.11","-3.07","-1.19","0"
"O-398318362855422","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/24/22","7:37 PM","67.33","4.99","0","5.61","7.26","85.19","-9.04","-2.90","0"
"O-229618205374234","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/8/22","5:16 PM","25.17","0.00","0","1.95","0","27.12","-3.15","-1.13","0"
"O-074318388304681","Ameci Pizza & Pasta - Trabuco Rd","Adjustment of O-074318388304681","Refund for missing item(s) Missing large salad","3/26/22","10:03 PM","-3.99","0.00","0","-0.31","0","-4.30","0","0","0"
"O-921118253941275","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/13/22","7:19 PM","11.99","0.00","0","0.93","0","12.92","-1.50","-0.69","0"
"W-398318272855903","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/15/22","8:28 PM","31.49","2.99","0","2.67","3.00","40.15","0","-1.52","0"
"O-879418408222977","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/29/22","5:37 PM","16.78","0.00","0","1.30","0","18.08","-2.10","-0.85","0"
"O-145418398173885","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/27/22","7:12 PM","29.97","2.99","0","2.55","8.07","43.58","-4.12","-1.63","0"
"O-235418136998412","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/2/22","12:46 PM","13.78","0.00","0","1.07","0","14.85","-1.72","-0.75","0"
"O-235418156990775","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/3/22","6:25 PM","46.75","0.00","0","3.62","0","50.37","-5.84","-1.84","0"
"O-602018297294796","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/18/22","4:05 PM","19.28","2.99","0","1.72","3.12","27.11","-2.78","-1.13","0"
"O-351718399008280","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/28/22","5:10 PM","48.95","0.00","0","3.79","7.91","60.65","-6.12","-2.15","0"
"O-120718250807710","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/14/22","3:33 PM","22.58","0.00","0","1.75","0","24.33","-2.82","-1.04","0"
"O-024418233857886","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/11/22","6:27 PM","38.35","4.99","0","3.36","4.88","51.58","-5.42","-1.87","0"
"O-493218387629344","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/26/22","6:13 PM","28.97","0.00","0","2.25","0","31.22","-3.62","-1.25","0"
"O-363518316072038","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/20/22","4:45 PM","21.57","2.99","0","1.90","5.00","31.46","-3.07","-1.26","0"
"O-882118387494291","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/26/22","8:01 PM","36.97","0.00","0","2.87","0","39.84","-4.62","-1.52","0"
"O-024418143851677","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/2/22","6:55 PM","64.71","4.99","0","5.41","13.95","89.06","-8.71","-3.02","0"
"W-023118166233854","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/4/22","9:02 PM","20.97","4.99","0","2.02","1.00","28.98","0","-1.18","0"
"O-921118213947839","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/9/22","7:15 PM","18.99","2.99","0","1.70","2.00","25.68","-2.75","-1.08","0"
"W-372018410580869","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/30/22","12:37 PM","21.98","2.99","0","1.93","3.00","29.90","0","-1.21","0"
"O-252118352165314","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/23/22","10:07 PM","11.99","0.00","0","0.93","0","12.92","-1.50","-0.69","0"
"O-351718419076925","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/29/22","6:40 PM","51.92","2.99","0","4.25","11.83","70.99","-6.86","-2.47","0"
"O-278918231010146","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/11/22","5:39 PM","34.72","0.00","0","2.69","0","37.41","-4.34","-1.44","0"
"O-433918386109116","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/26/22","8:03 PM","57.96","2.99","0","4.72","0","65.67","-7.62","-2.30","0"
"O-782518197018048","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/8/22","4:21 PM","34.97","0.00","0","2.71","0","37.68","-4.37","-1.45","0"
"O-323718433017890","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/31/22","5:48 PM","80.75","0.00","0","6.26","0","87.01","-10.09","-2.95","0"
"O-138618164313858","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/4/22","7:02 PM","66.91","2.99","0","5.42","25.00","100.32","-8.74","-3.36","0"
"O-552718422999410","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/31/22","4:27 PM","15.47","2.99","0","1.43","3.98","23.87","-2.31","-1.03","0"
"O-840818170603385","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/5/22","5:02 PM","35.97","0.00","0","2.79","0","38.76","-4.50","-1.48","0"
"W-541118251236251","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/14/22","12:00 PM","24.45","0.00","0","1.89","0","26.34","0","-1.10","0"
"O-063218257443692","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/14/22","5:30 PM","29.98","4.99","0","2.71","7.54","45.22","-4.37","-1.68","0"
"O-398318382857467","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/26/22","5:53 PM","16.78","2.99","0","1.53","3.20","24.50","-2.47","-1.05","0"
"O-098518222929087","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/11/22","2:42 PM","24.56","2.99","0","2.13","2.65","32.33","-3.44","-1.29","0"
"O-074318358300045","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/23/22","7:46 PM","66.44","2.99","0","5.38","11.22","86.03","-8.68","-2.92","0"
"O-840818150603751","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/3/22","7:04 PM","23.96","0.00","0","1.86","0","25.82","-3.00","-1.09","0"
"O-145418348177595","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/22/22","6:51 PM","53.61","2.99","0","4.38","9.14","70.12","-7.08","-2.44","0"
"O-074318388304681","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/26/22","9:28 PM","48.46","4.99","0","4.15","5.76","63.36","-6.68","-2.23","0"
"O-817418294638569","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/18/22","5:26 PM","40.42","2.99","0","3.36","5.00","51.77","-5.43","-1.88","0"
