Store Name,Store ID,Order ID,Workflow ID,Dining Mode,Order Channel,Order Status,Order Date / Refund date,Order Accept Time,Food Sales (excluding tax),Tax on Food Sales,Food sales (including tax),Adjustments (excluding tax),Tax on Adjustments,Promo Spend on food,Tax on Promotion on Food,Special Offer - Delivery,Tax on Special Offer - Delivery,Bag Fee,Marketing Service Fee Adjustment,Total Sales after Adjustments (including tax),Uber Service Fee,Delivery Network Fee,Order Processing Fee,Merchant Fee,Tax on Merchant Fee,Gratuity,Misc Payment Description,Miscellaneous Payments,Marketplace Facilitator Tax,Backup Withholding Tax,Payout,Payout Date,Markup Amount,Markup Tax,Service Fee %,Payout reference ID
Ameci Pizza & Pasta - Lake Forest,,#25604,ed7d7177-125e-453f-84c3-b5c7d3925604,Delivery - Partner Using Uber App,UberEats iOS,Completed,3/1/22,11:12 AM,40.56,3.14,43.7,0,0,0,0,0,0,0,0,43.7,-7.71,0,0,0,0,0,,0,-3.14,0,32.85,3/7/22,0,0,19,PA3BPWDXDWMU6IZ
Ameci Pizza & Pasta - Lake Forest,,#8F9FE,d2805623-f50c-48c4-8449-7d0f2b88f9fe,Delivery - Partner Using Uber App,UberEats Web,Completed,3/1/22,11:00 AM,158.37,12.27,170.64,0,0,0,0,0,0,0,0,170.64,-30.09,0,0,0,0,0,,0,-12.27,0,128.28,3/7/22,0,0,19,PA3BPWDXDWMU6IZ
Ameci Pizza & Pasta - Lake Forest,,#8F9FE,d2805623-f50c-48c4-8449-7d0f2b88f9fe,,Unknown,Refund,3/1/22,11:00 AM,-10.99,-0.85,-11.84,0,0,0,0,0,0,0,,0,0,,,0,0,0,,0,0.85,0,-10.99,3/7/22,,,,PA3BPWDXDWMU6IZ
Ameci Pizza & Pasta - Lake Forest,,#27596,8b950a08-9678-4f96-8a1d-bb75b0227596,Delivery - Partner Using Uber App,Postmates iOS,Completed,3/1/22,12:14 PM,21.31,1.65,22.96,0,0,0,0,0,0,0,0,22.96,-4.05,0,0,0,0,0,,0,-1.65,0,17.26,3/7/22,0,0,19,PA3BPWDXDWMU6IZ
Ameci Pizza & Pasta - Lake Forest,,#5619F,8d9210f5-9021-4650-986e-99e34745619f,Delivery - Partner Using Uber App,UberEats iOS,Completed,3/1/22,5:09 PM,55.95,4.34,60.29,0,0,0,0,0,0,0,0,60.29,-10.63,0,0,0,0,0,,0,-4.34,0,45.32,3/7/22,0,0,19,PA3BPWDXDWMU6IZ
Ameci Pizza & Pasta - Lake Forest,,#8A393,698b6002-7d97-4350-bc8c-5bc5d208a393,Delivery - Partner Using Uber App,UberEats Web,Completed,3/1/22,6:37 PM,55.45,4.3,59.75,0,0,0,0,0,0,0,0,59.75,-10.54,0,0,0,0,0,,0,-4.3,0,44.91,3/7/22,0,0,19,PA3BPWDXDWMU6IZ
Ameci Pizza & Pasta - Lake Forest,,#94E58,974965ad-c465-4d25-be58-98c083794e58,Delivery - Partner Using Uber App,UberEats Android,Completed,3/1/22,6:30 PM,26.96,2.09,29.05,0,0,0,0,0,0,0,0,29.05,-5.12,0,0,0,0,0,,0,-2.09,0,21.84,3/7/22,0,0,19,PA3BPWDXDWMU6IZ
Ameci Pizza & Pasta - Lake Forest,,#7EC52,640bdcfa-b9e2-4121-a124-3118dc87ec52,Delivery - Partner Using Uber App,UberEats iOS,Completed,3/1/22,6:40 PM,34.46,2.67,37.13,0,0,0,0,0,0,0,0,37.13,-6.55,0,0,0,0,0,,0,-2.67,0,27.91,3/7/22,0,0,19,PA3BPWDXDWMU6IZ
Ameci Pizza & Pasta - Lake Forest,,#56504,741c9ca2-a9a6-4253-88f1-11bd0f156504,Delivery - Partner Using Uber App,UberEats Web,Completed,3/1/22,7:41 PM,40.53,3.14,43.67,0,0,0,0,0,0,0,0,43.67,-7.7,0,0,0,0,0,,0,-3.14,0,32.83,3/7/22,0,0,19,PA3BPWDXDWMU6IZ
Ameci Pizza & Pasta - Lake Forest,,#56504,741c9ca2-a9a6-4253-88f1-11bd0f156504,,Unknown,Refund,3/1/22,7:41 PM,-3.58,-0.28,-3.86,0,0,0,0,0,0,0,,0,0,,,0,0,0,,0,0.28,0,-3.58,3/7/22,,,,PA3BPWDXDWMU6IZ
