"ID","Restaurant","Type","Description","Date","Time","Subtotal","Delivery Fee","Service Fee","Tax","Tip","Restaurant Total","Commission","Processing Fee","Withheld Tax"
"O-434118617109025","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"4/18/22","8:06 PM","29.98","2.99","0","2.55","7.10","42.62","-4.12","-1.60","0"
"O-470218554410111","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"4/12/22","8:32 PM","22.47","0.00","0","1.74","0","24.21","-2.81","-1.04","0"
"O-434118667106770","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"4/23/22","7:23 PM","39.97","2.99","0","3.33","9.25","55.54","-5.37","-1.99","0"
"O-897618445318604","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"4/1/22","8:28 PM","27.16","2.99","0","2.33","4.87","37.35","-3.77","-1.44","0"
"O-596418554766891","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"4/13/22","12:01 PM","22.18","0.00","0","1.72","0","23.90","-2.77","-1.03","0"
"O-247018459768899","Ameci Pizza & Pasta - Trabuco Rd","Adjustment of O-247018459768899","Tip increased by diner via self-service - Tip updated by diner via help interaction","4/2/22","10:05 PM","0","0.00","0","0.00","0","0.00","0","0","0"
"O-823818722372340","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"4/30/22","5:45 PM","15.87","0.00","0","1.23","0","17.10","-1.98","-0.82","0"
"W-398118570155742","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"4/15/22","3:58 PM","71.90","0.00","0","5.57","11.62","89.09","0","-3.02","0"
"O-732418656333760","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"4/22/22","5:57 PM","40.97","0.00","0","3.18","0","44.15","-5.12","-1.65","0"
"W-707618588525656","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"4/15/22","6:44 PM","45.94","2.99","0","3.79","9.90","62.62","0","-2.21","0"
"W-643418446759180","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"4/2/22","3:50 PM","21.48","0.00","0","1.66","1.16","24.30","0","-1.04","0"
