Store Name,Store ID,Order ID,Workflow ID,Dining Mode,Order Channel,Order Status,Order Date / Refund date,Order Accept Time,Food Sales (excluding tax),Tax on Food Sales,Food sales (including tax),Adjustments (excluding tax),Tax on Adjustments,Promo Spend on food,Tax on Promotion on Food,Special Offer - Delivery,Tax on Special Offer - Delivery,Bag Fee,Marketing Service Fee Adjustment,Total Sales after Adjustments (including tax),Uber Service Fee,Delivery Network Fee,Order Processing Fee,Merchant Fee,Tax on Merchant Fee,Gratuity,Misc Payment Description,Miscellaneous Payments,Marketplace Facilitator Tax,Backup Withholding Tax,Payout,Payout Date,Markup Amount,Markup Tax,Service Fee %,Payout reference ID
Ameci Pizza & Pasta - Lake Forest,,#46ED5,1c0362cb-6154-41f9-bf03-87ca4da46ed5,Delivery - Partner Using Uber App,Postmates iOS,Completed,4/1/22,10:51 AM,177.89,13.79,191.68,0,0,0,0,0,0,0,0,191.68,-33.8,0,0,0,0,0,,0,-13.79,0,144.09,4/4/22,0,0,19,RETJV9VZEKJAI2T
Ameci Pizza & Pasta - Lake Forest,,#9F44A,2735143c-6af3-4723-862a-22c6ecd9f44a,Delivery - Partner Using Uber App,UberEats iOS,Completed,4/1/22,11:30 AM,41.27,3.2,44.47,0,0,0,0,0,0,0,0,44.47,-7.84,0,0,0,0,0,,0,-3.2,0,33.43,4/4/22,0,0,19,RETJV9VZEKJAI2T
Ameci Pizza & Pasta - Lake Forest,,#E7A28,f43b8310-9dc0-4868-bfef-55a23cee7a28,Delivery - Partner Using Uber App,Postmates iOS,Completed,4/1/22,11:42 AM,11.99,0.93,12.92,0,0,0,0,0,0,0,0,12.92,-2.28,0,0,0,0,0,,0,-0.93,0,9.71,4/4/22,0,0,19,RETJV9VZEKJAI2T
Ameci Pizza & Pasta - Lake Forest,,#3B0B6,6f01e882-6556-44d0-a480-4d94e253b0b6,Delivery - Partner Using Uber App,UberEats iOS,Completed,4/1/22,11:39 AM,21.98,1.7,23.68,0,0,0,0,0,0,0,0,23.68,-4.18,0,0,0,0,0,,0,-1.7,0,17.8,4/4/22,0,0,19,RETJV9VZEKJAI2T
Ameci Pizza & Pasta - Lake Forest,,#7CEB6,64537a3e-1cbc-4bd3-98ec-3c1a7c07ceb6,Delivery - Partner Using Uber App,UberEats iOS,Completed,4/1/22,11:56 AM,22.98,1.78,24.76,0,0,0,0,0,0,0,0,24.76,-4.37,0,0,0,0,0,,0,-1.78,0,18.61,4/4/22,0,0,19,RETJV9VZEKJAI2T
Ameci Pizza & Pasta - Lake Forest,,#01057,5efb7ccd-2474-4403-8e8b-305f4e501057,Delivery - Partner Using Uber App,Postmates Android,Completed,4/1/22,12:30 PM,18.24,1.41,19.65,0,0,0,0,0,0,0,0,19.65,-3.47,0,0,0,0,0,,0,-1.41,0,14.77,4/4/22,0,0,19,RETJV9VZEKJAI2T
Ameci Pizza & Pasta - Lake Forest,,#631EB,abbbd82e-6877-4962-88b8-c24724d631eb,Delivery - Partner Using Uber App,UberEats iOS,Completed,4/1/22,2:04 PM,33.97,2.63,36.6,0,0,0,0,0,0,0,0,36.6,-6.45,0,0,0,0,0,,0,-2.63,0,27.52,4/4/22,0,0,19,RETJV9VZEKJAI2T
Ameci Pizza & Pasta - Lake Forest,,#31E60,2b1f2fc8-9e0e-4ae1-887e-59d35b231e60,Delivery - Partner Using Uber App,Postmates iOS,Completed,4/1/22,2:32 PM,32.96,2.55,35.51,0,0,0,0,0,0,0,0,35.51,-6.26,0,0,0,0,0,,0,-2.55,0,26.7,4/4/22,0,0,19,RETJV9VZEKJAI2T
Ameci Pizza & Pasta - Lake Forest,,#F8882,925c6e4a-ba70-4a94-b902-726232cf8882,Delivery - Partner Using Uber App,UberEats iOS,Completed,4/1/22,4:15 PM,62.67,4.86,67.53,0,0,0,0,0,0,0,0,67.53,-11.91,0,0,0,0,0,,0,-4.86,0,50.76,4/4/22,0,0,19,RETJV9VZEKJAI2T
Ameci Pizza & Pasta - Lake Forest,,#AEBEA,6788a425-c10e-4076-b494-c01def5aebea,Delivery - Partner Using Uber App,UberEats iOS,Completed,4/1/22,5:35 PM,19.98,1.55,21.53,0,0,0,0,0,0,0,0,21.53,-3.8,0,0,0,0,0,,0,-1.55,0,16.18,4/4/22,0,0,19,RETJV9VZEKJAI2T
