"Invoice","","","","","","",""
"","","","","","","",""
"Date","Subtotal","Tax","Delivery Fee","Tip","Total","Payment Type","Order Type"
"5/6/2022 18:55:09","19.92","1.54","0","0","21.46","credit_card","pickup"
"5/6/2022 21:27:16","31.48","2.67","2.99","5.57","42.71","credit_card","delivery"
"5/8/2022 16:22:23","31.74","2.69","2.99","0","37.42","credit_card","delivery"
"5/12/2022 14:33:53","11.54","0.89","0","1","13.43","credit_card","pickup"
"5/21/2022 18:38:42","31.97","2.71","2.99","7.53","45.2","credit_card","delivery"
"Total","126.65","10.5","8.97","14.1","160.22","",""
"","","","","","","",""
"All Orders","160.22","","(all orders including cash and credit card paid orders) ","","","",""
"Pre-Paid Orders","160.22","","(orders where the customer paid with a credit card online) ","","","",""
"MenuStar Fees","11.14","","(includes credit card processing fee) ","","","",""
"Adjustments","0","","(credits/debts posted to your account) ","","","",""
"Net Payout","149.08","","(you will receive a check for this amount in 3-4 days)","","","",""
