"TIMESTAMP_UTC_TIME","TIMESTAMP_UTC_DATE","TIMESTAMP_LOCAL_TIME","TIMESTAMP_LOCAL_DATE","PAYOUT_TIME","PAYOUT_DATE","STORE_ID","BUSINESS_ID","STORE_NAME","MERCHANT_STORE_ID","TRANSACTION_TYPE","TRANSACTION_ID","RELATED_DOORDASH_DELIVERY_ID","MERCHANT_DELIVERY_ID","EXTERNAL_ID","DESCRIPTION","FINAL_ORDER_STATUS","CURRENCY","SUBTOTAL","TAX_AMOUNT","COMMISSION","COMMISSION_TAX_AMOUNT","MARKETING_FEES","CREDIT","DEBIT","DOORDASH_TRANSACTION_ID","DRIVE_CHARGE","TAX_REMITTED_BY_DOORDASH_TO_STATE"
"05:41:14","2020-09-17","22:41:14","2020-09-16","2020-09-21 07:38:50.789388000","2020-09-21",486867,223895,"Aroma Pizza & Pasta - ToS","NULL","STORE_PAYMENT",115682966,"888548009","NULL","NULL","merchant_payment_adjustment","Cancelled","USD",11.58,0.00,0.00,0.00,0.00,11.58,0.00,"1167479507",0.00,0.00
"05:01:36","2020-09-07","22:01:36","2020-09-06","2020-09-10 07:35:30.845855000","2020-09-10",486867,223895,"Aroma Pizza & Pasta - ToS","NULL","DELIVERY",889002486,"889002486","NULL","NULL","Order Received Time: 2020-09-07 04:12:09.108175000
Order Pickup Time: 2020-09-07 05:01:36.272810000","Delivered","USD",20.98,1.63,3.15,0.00,0.99,18.47,0.00,"1131645018",0.00,0.00
"04:53:48","2020-09-07","21:53:48","2020-09-06","2020-09-10 07:35:30.845855000","2020-09-10",486867,223895,"Aroma Pizza & Pasta - ToS","NULL","DELIVERY",888986405,"888986405","NULL","NULL","Order Received Time: 2020-09-07 03:57:52.381212000
Order Pickup Time: 2020-09-07 04:53:48.889431000","Delivered","USD",15.48,1.20,2.32,0.00,0.99,13.37,0.00,"1131633966",0.00,0.00
"04:52:31","2020-09-04","21:52:31","2020-09-03","2020-09-07 07:37:21.772903000","2020-09-07",486867,223895,"Aroma Pizza & Pasta - ToS","NULL","ERROR_CHARGE",110866271,"880448293","NULL","NULL","Issue: 1 Garlic Cheese Rolls incorrect
Customer Explanation: Hi Kenny,

Thank you for contacting our support team. We sincerely apologize for the issue with your order.

We have issued credits to your account in the amount of $5.49 for the inconvenience.

These credits are available immediately and will automatically be applied towards your next order.

If you have any questions or need help, our support teams are available at the links below!

Best regards,
DoorDash and Caviar Support
help.doordash.com / help.trycaviar.com

*Please do not reply to this email. Replies are not delivered to sender.","Delivered","USD",4.52,0.00,0.00,0.00,0.00,0.00,4.52,"1120227799",0.00,0.00
"04:36:44","2020-09-17","21:36:44","2020-09-16","2020-09-21 07:38:50.789388000","2020-09-21",486867,223895,"Aroma Pizza & Pasta - ToS","NULL","DELIVERY",916193675,"916193675","NULL","NULL","Order Received Time: 2020-09-17 04:07:08.883938000
Order Pickup Time: 2020-09-17 04:36:44.986895000","Delivered","USD",48.45,3.75,7.27,0.00,0.99,43.94,0.00,"1167408614",0.00,0.00
"04:31:58","2020-09-13","21:31:58","2020-09-12","2020-09-16 07:36:18.880898000","2020-09-16",486867,223895,"Aroma Pizza & Pasta - ToS","NULL","DELIVERY",905667283,"905667283","NULL","NULL","Order Received Time: 2020-09-13 04:09:31.023226000
Order Pickup Time: 2020-09-13 04:31:58.413721000","Delivered","USD",24.44,1.89,3.67,0.00,0.99,21.67,0.00,"1153367497",0.00,0.00
"04:31:55","2020-09-13","21:31:55","2020-09-12","2020-09-16 07:36:18.880898000","2020-09-16",486867,223895,"Aroma Pizza & Pasta - ToS","NULL","DELIVERY",905666124,"905666124","NULL","NULL","Order Received Time: 2020-09-13 04:08:39.149187000
Order Pickup Time: 2020-09-13 04:31:55.286825000","Delivered","USD",28.33,2.20,4.25,0.00,0.99,25.29,0.00,"1153367389",0.00,0.00
"04:29:23","2020-09-03","21:29:23","2020-09-02","2020-09-07 07:37:21.772903000","2020-09-07",486867,223895,"Aroma Pizza & Pasta - ToS","NULL","DELIVERY",877706293,"877706293","NULL","NULL","Order Received Time: 2020-09-03 04:03:29.685252000
Order Pickup Time: 2020-09-03 04:29:23.646987000","Delivered","USD",21.73,1.68,3.26,0.00,0.00,20.15,0.00,"1116495430",0.00,0.00
"04:29:20","2020-09-04","21:29:20","2020-09-03","2020-09-07 07:37:21.772903000","2020-09-07",486867,223895,"Aroma Pizza & Pasta - ToS","NULL","DELIVERY",880467985,"880467985","NULL","NULL","Order Received Time: 2020-09-04 04:01:45.218745000
Order Pickup Time: 2020-09-04 04:29:20.222682000","Delivered","USD",61.46,4.76,9.22,0.00,0.00,57.00,0.00,"1120193054",0.00,0.00
"04:29:19","2020-09-03","21:29:19","2020-09-02","2020-09-07 07:37:21.772903000","2020-09-07",486867,223895,"Aroma Pizza & Pasta - ToS","NULL","DELIVERY",877692927,"877692927","NULL","NULL","Order Received Time: 2020-09-03 03:49:58.251092000
Order Pickup Time: 2020-09-03 04:29:19.897367000","Delivered","USD",16.98,1.32,2.55,0.00,0.00,15.75,0.00,"1116495296",0.00,0.00
"04:28:11","2020-09-05","21:28:11","2020-09-04","2020-09-08 07:37:03.449412000","2020-09-08",486867,223895,"Aroma Pizza & Pasta - ToS","NULL","DELIVERY",883588486,"883588486","NULL","NULL","Order Received Time: 2020-09-05 04:13:53.256505000
Order Pickup Time: 2020-09-05 04:28:11.254614000","Delivered","USD",16.98,1.32,2.55,0.00,0.00,15.75,0.00,"1124311240",0.00,0.00
