"ID","Restaurant","Type","Description","Date","Time","Subtotal","Service","Delivery","Tax","Tip","Restaurant Total","Commission","Delivery Commission","Processing Fee","Withheld Tax","Targeted Promotion"
"O-427212775600525","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"9/11/20","6:48 PM","19.74","0","1.99","1.68","3.51","26.92","-5.43","0","-1.12","0","0"
"O-815612812070183","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"9/15/20","8:29 PM","33.73","0","0.00","2.61","0","36.34","-8.43","0","-1.41","0","0"
"O-825512717104532","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"9/5/20","9:34 PM","53.97","0","8.99","4.34","6.73","74.03","-15.74","0","-2.34","0","-7.00"
"O-521312703347063","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"9/4/20","7:38 PM","15.74","0","4.99","1.07","4.36","26.16","-5.18","0","-0.88","0","-7.00"
"O-631512724639320","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"9/7/20","5:17 PM","47.88","0","2.99","3.94","8.22","63.03","-12.72","0","-2.22","0","0"
"O-168712818437969","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"9/15/20","8:21 PM","21.96","0","6.99","2.24","6.24","37.43","-7.24","0","-1.44","0","0"
"O-990012927992987","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"9/27/20","3:17 PM","47.23","0","2.99","3.89","8.11","62.22","-12.56","0","-2.20","0","0"
"O-768312789542510","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"9/13/20","2:30 PM","17.99","0","8.99","1.55","2.85","31.38","-6.75","0","-1.04","0","-7.00"
"O-786812788514701","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"9/12/20","5:47 PM","63.96","0","2.99","4.64","3.00","74.59","-16.74","0","-2.36","0","-7.00"
"O-011312715432523","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"9/6/20","4:56 PM","15.48","0","6.99","1.74","2.42","26.63","-5.62","0","-1.11","0","0"
"O-388212935071935","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"9/27/20","6:07 PM","31.71","0","4.99","2.85","3.96","43.51","-9.18","0","-1.63","0","0"
"O-030012729240013","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"9/7/20","5:15 PM","37.72","0","0.00","2.92","2.36","43.00","-9.43","0","-1.61","0","0"
